Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
56	-20	20	1060	56	-20	20	1060	56	-20	20	1060	56	-20	20	1060	56	-20	20	1060	56	-20	20	1060
57	-23	23	1083	57	-23	23	1083	57	-23	23	1083	57	-23	23	1083	57	-23	23	1083	57	-23	23	1083
58	-17	17	1100	58	-17	17	1100	58	-17	17	1100	58	-17	17	1100	58	-17	17	1100	58	-17	17	1100
59	-15	15	1115	59	-15	15	1115	59	-15	15	1115	59	-15	15	1115	59	-15	15	1115	59	-15	15	1115
60	-19	19	1134	60	-19	19	1134	60	-19	19	1134	60	-19	19	1134	60	-19	19	1134	60	-19	19	1134
61	-15	15	1149	61	-15	15	1149	61	-15	15	1149	61	-15	15	1149	61	-15	15	1149	61	-15	15	1149
62	-19	19	1168	62	-19	19	1168	62	-19	19	1168	62	-19	19	1168	62	-19	19	1168	62	-19	19	1168
63	-15	15	1183	63	-15	15	1183	63	-15	15	1183	63	-15	15	1183	63	-15	15	1183	63	-15	15	1183
64	-15	15	1198	64	-15	15	1198	64	-15	15	1198	64	-15	15	1198	64	-15	15	1198	64	-15	15	1198
65	-15	15	1213	65	-15	15	1213	65	-15	15	1213	65	-15	15	1213	65	-15	15	1213	65	-15	15	1213
66	-17	17	1230	66	-17	17	1230	66	-17	17	1230	66	-17	17	1230	66	-17	17	1230	66	-17	17	1230
67	-17	17	1247	67	-17	17	1247	67	-17	17	1247	67	-17	17	1247	67	-17	17	1247	67	-17	17	1247
68	-23	23	1270	68	-23	23	1270	68	-23	23	1270	68	-23	23	1270	68	-23	23	1270	68	-23	23	1270
69	-17	17	1287	69	-17	17	1287	69	-17	17	1287	69	-17	17	1287	69	-17	17	1287	69	-17	17	1287
70	-15	15	1302	70	-15	15	1302	70	-15	15	1302	70	-15	15	1302	70	-15	15	1302	70	-15	15	1302
71	-118	19	1321	71	-118	19	1321	71	-118	19	1321	71	-118	19	1321	71	-118	19	1321	71	-118	19	1321
72	-15	15	1336	72	-15	15	1336	72	-15	15	1336	72	-15	15	1336	72	-15	15	1336	72	-15	15	1336
73	-15	15	1351	73	-15	15	1351	73	-15	15	1351	73	-15	15	1351	73	-15	15	1351	73	-15	15	1351
74	-15	15	1366	74	-15	15	1366	74	-15	15	1366	74	-15	15	1366	74	-15	15	1366	74	-15	15	1366
75	-21	21	1387	75	-21	21	1387	75	-21	21	1387	75	-21	21	1387	75	-21	21	1387	75	-21	21	1387
76	-15	15	1402	76	-15	15	1402	76	-15	15	1402	76	-15	15	1402	76	-15	15	1402	76	-15	15	1402
77	-15	15	1417	77	-15	15	1417	77	-15	15	1417	77	-15	15	1417	77	-15	15	1417	77	-15	15	1417
78	-19	19	1436	78	-19	19	1436	78	-19	19	1436	78	-19	19	1436	78	-19	19	1436	78	-19	19	1436
79	-15	15	1451	79	-15	15	1451	79	-15	15	1451	79	-15	15	1451	79	-15	15	1451	79	-15	15	1451
80	-15	15	1466	80	-15	15	1466	80	-15	15	1466	80	-15	15	1466	80	-15	15	1466	80	-15	15	1466
81	-17	17	1483	81	-17	17	1483	81	-17	17	1483	81	-17	17	1483	81	-17	17	1483	81	-17	17	1483
82	-17	17	1500	82	-17	17	1500	82	-17	17	1500	82	-17	17	1500	82	-17	17	1500	82	-17	17	1500
83	-18	18	1518	83	-18	18	1518	83	-18	18	1518	83	-18	18	1518	83	-18	18	1518	83	-18	18	1518
84	-21	21	1539	84	-21	21	1539	84	-21	21	1539	84	-21	21	1539	84	-21	21	1539	84	-21	21	1539
85	-15	15	1554	85	-15	15	1554	85	-15	15	1554	85	-15	15	1554	85	-15	15	1554	85	-15	15	1554
86	-17	17	1571	86	-17	17	1571	86	-17	17	1571	86	-17	17	1571	86	-17	17	1571	86	-17	17	1571
87	-19	19	1590	87	-19	19	1590	87	-19	19	1590	87	-19	19	1590	87	-19	19	1590	87	-19	19	1590
88	-15	15	1605	88	-15	15	1605	88	-15	15	1605	88	-15	15	1605	88	-15	15	1605	88	-15	15	1605
89	-19	19	1624	89	-19	19	1624	89	-19	19	1624	89	-19	19	1624	89	-19	19	1624	89	-19	19	1624
90	-18	18	1642	90	-18	18	1642	90	-18	18	1642	90	-18	18	1642	90	-18	18	1642	90	-18	18	1642
91	-17	17	1659	91	-17	17	1659	91	-17	17	1659	91	-17	17	1659	91	-17	17	1659	91	-17	17	1659
92	-17	17	1676	92	-17	17	1676	92	-17	17	1676	92	-17	17	1676	92	-17	17	1676	92	-17	17	1676
93	-15	15	1691	93	-15	15	1691	93	-15	15	1691	93	-15	15	1691	93	-15	15	1691	93	-15	15	1691
94	-15	15	1706	94	-15	15	1706	94	-15	15	1706	94	-15	15	1706	94	-15	15	1706	94	-15	15	1706
95	-17	17	1723	95	-17	17	1723	95	-17	17	1723	95	-17	17	1723	95	-17	17	1723	95	-17	17	1723
