Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	291	291	0	1.0	291	291	0	1.0	291	291	0	1.0	291	291	0	1.0	291	291	0	1.0	291	291	0	1.0	291	291	0	1.0	291	291	0	1.0	291	291	0	1.0	291	291	0	1.0	291	291	0	1.0	291	291	0	1.0	291	291	0	1.0	291	291	0	1.0	291	291
1	1.0	67	358	1	1.0	67	358	1	1.0	67	358	1	1.0	67	358	1	1.0	67	358	1	1.0	67	358	1	1.0	67	358	1	1.0	67	358	1	1.0	67	358	1	1.0	67	358	1	1.0	67	358	1	1.0	67	358	1	1.0	67	358	1	1.0	67	358	1	1.0	67	358
2	1.0	21	379	2	1.0	21	379	2	1.0	21	379	2	1.0	21	379	2	1.0	21	379	2	1.0	21	379	2	1.0	21	379	2	1.0	21	379	2	1.0	21	379	2	1.0	21	379	2	1.0	21	379	2	1.0	21	379	2	1.0	21	379	2	1.0	21	379	2	1.0	21	379
3	1.0	20	399	3	1.0	20	399	3	1.0	20	399	3	1.0	20	399	3	1.0	20	399	3	1.0	20	399	3	1.0	20	399	3	1.0	20	399	3	1.0	20	399	3	1.0	20	399	3	1.0	20	399	3	1.0	20	399	3	1.0	20	399	3	1.0	20	399	3	1.0	20	399
4	1.0	20	419	4	1.0	20	419	4	1.0	20	419	4	1.0	20	419	4	1.0	20	419	4	1.0	20	419	4	1.0	20	419	4	1.0	20	419	4	1.0	20	419	4	1.0	20	419	4	1.0	20	419	4	1.0	20	419	4	1.0	20	419	4	1.0	20	419	4	1.0	20	419
5	1.0	19	438	5	1.0	19	438	5	1.0	19	438	5	1.0	19	438	5	1.0	19	438	5	1.0	19	438	5	1.0	19	438	5	1.0	19	438	5	1.0	19	438	5	1.0	19	438	5	1.0	19	438	5	1.0	19	438	5	1.0	19	438	5	1.0	19	438	5	1.0	19	438
6	1.0	18	456	6	1.0	18	456	6	1.0	18	456	6	1.0	18	456	6	1.0	18	456	6	1.0	18	456	6	1.0	18	456	6	1.0	18	456	6	1.0	18	456	6	1.0	18	456	6	1.0	18	456	6	1.0	18	456	6	1.0	18	456	6	1.0	18	456	6	1.0	18	456
7	1.0	24	480	7	1.0	24	480	7	1.0	24	480	7	1.0	24	480	7	1.0	24	480	7	1.0	24	480	7	1.0	24	480	7	1.0	24	480	7	1.0	24	480	7	1.0	24	480	7	1.0	24	480	7	1.0	24	480	7	1.0	24	480	7	1.0	24	480	7	1.0	24	480
8	1.0	18	498	8	1.0	18	498	8	1.0	18	498	8	1.0	18	498	8	1.0	18	498	8	1.0	18	498	8	1.0	18	498	8	1.0	18	498	8	1.0	18	498	8	1.0	18	498	8	1.0	18	498	8	1.0	18	498	8	1.0	18	498	8	1.0	18	498	8	1.0	18	498
9	1.0	18	516	9	1.0	18	516	9	1.0	18	516	9	1.0	18	516	9	1.0	18	516	9	1.0	18	516	9	1.0	18	516	9	1.0	18	516	9	1.0	18	516	9	1.0	18	516	9	1.0	18	516	9	1.0	18	516	9	1.0	18	516	9	1.0	18	516	9	1.0	18	516
