Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	763	763	0	1.0	763	763	0	1.0	763	763
1	1.0	73	836	1	1.0	73	836	1	1.0	73	836
2	1.0	62	898	2	1.0	62	898	2	1.0	62	898
3	1.0	67	965	3	1.0	67	965	3	1.0	67	965
4	1.0	42	1007	4	1.0	42	1007	4	1.0	42	1007
5	1.0	53	1060	5	1.0	53	1060	5	1.0	53	1060
6	1.0	49	1109	6	1.0	49	1109	6	1.0	49	1109
7	1.0	38	1147	7	1.0	38	1147	7	1.0	38	1147
8	1.0	47	1194	8	1.0	47	1194	8	1.0	47	1194
9	1.0	35	1229	9	1.0	35	1229	9	1.0	35	1229
10	1.0	33	1262	10	1.0	33	1262	10	1.0	33	1262
11	1.0	43	1305	11	1.0	43	1305	11	1.0	43	1305
12	1.0	31	1336	12	1.0	31	1336	12	1.0	31	1336
13	1.0	33	1369	13	1.0	33	1369	13	1.0	33	1369
14	1.0	42	1411	14	1.0	42	1411	14	1.0	42	1411
15	1.0	26	1437	15	1.0	26	1437	15	1.0	26	1437
16	1.0	16	1453	16	1.0	16	1453	16	1.0	16	1453
17	1.0	20	1473	17	1.0	20	1473	17	1.0	20	1473
18	1.0	31	1504	18	1.0	31	1504	18	1.0	31	1504
19	1.0	37	1541	19	1.0	37	1541	19	1.0	37	1541
20	1.0	19	1560	20	1.0	19	1560	20	1.0	19	1560
21	1.0	16	1576	21	1.0	16	1576	21	1.0	16	1576
22	1.0	22	1598	22	1.0	22	1598	22	1.0	22	1598
23	1.0	16	1614	23	1.0	16	1614	23	1.0	16	1614
24	1.0	16	1630	24	1.0	16	1630	24	1.0	16	1630
25	1.0	20	1650	25	1.0	20	1650	25	1.0	20	1650
26	1.0	26	1676	26	1.0	26	1676	26	1.0	26	1676
27	1.0	17	1693	27	1.0	17	1693	27	1.0	17	1693
28	1.0	18	1711	28	1.0	18	1711	28	1.0	18	1711
29	1.0	16	1727	29	1.0	16	1727	29	1.0	16	1727
30	1.0	16	1743	30	1.0	16	1743	30	1.0	16	1743
31	1.0	16	1759	31	1.0	16	1759	31	1.0	16	1759
32	1.0	18	1777	32	1.0	18	1777	32	1.0	18	1777
33	1.0	16	1793	33	1.0	16	1793	33	1.0	16	1793
34	1.0	17	1810	34	1.0	17	1810	34	1.0	17	1810
35	1.0	24	1834	35	1.0	24	1834	35	1.0	24	1834
36	1.0	17	1851	36	1.0	17	1851	36	1.0	17	1851
37	1.0	18	1869	37	1.0	18	1869	37	1.0	18	1869
38	1.0	16	1885	38	1.0	16	1885	38	1.0	16	1885
39	1.0	16	1901	39	1.0	16	1901	39	1.0	16	1901
40	1.0	16	1917	40	1.0	16	1917	40	1.0	16	1917
41	1.0	16	1933	41	1.0	16	1933	41	1.0	16	1933
42	1.0	16	1949	42	1.0	16	1949	42	1.0	16	1949
43	1.0	16	1965	43	1.0	16	1965	43	1.0	16	1965
44	1.0	17	1982	44	1.0	17	1982	44	1.0	17	1982
45	1.0	17	1999	45	1.0	17	1999	45	1.0	17	1999
46	1.0	24	2023	46	1.0	24	2023	46	1.0	24	2023
47	1.0	18	2041	47	1.0	18	2041	47	1.0	18	2041
48	1.0	21	2062	48	1.0	21	2062	48	1.0	21	2062
49	1.0	18	2080	49	1.0	18	2080	49	1.0	18	2080
