Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243	0	1.0	243	243
1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537	1	1.0	294	537
2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588	2	1.0	51	588
3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680	3	1.0	92	680
4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731	4	1.0	51	731
5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801	5	1.0	70	801
6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850	6	1.0	49	850
7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892	7	1.0	42	892
8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919	8	1.0	27	919
9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941	9	1.0	22	941
