Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
62	-32	32	4242	62	-32	32	4242	62	-32	32	4242	62	-32	32	4242	62	-32	32	4242
63	-31	31	4273	63	-31	31	4273	63	-31	31	4273	63	-31	31	4273	63	-31	31	4273
64	-21	21	4294	64	-21	21	4294	64	-21	21	4294	64	-21	21	4294	64	-21	21	4294
65	-26	26	4320	65	-26	26	4320	65	-26	26	4320	65	-26	26	4320	65	-26	26	4320
66	-24	24	4344	66	-24	24	4344	66	-24	24	4344	66	-24	24	4344	66	-24	24	4344
67	-21	21	4365	67	-21	21	4365	67	-21	21	4365	67	-21	21	4365	67	-21	21	4365
68	-30	30	4395	68	-30	30	4395	68	-30	30	4395	68	-30	30	4395	68	-30	30	4395
69	-27	27	4422	69	-27	27	4422	69	-27	27	4422	69	-27	27	4422	69	-27	27	4422
70	-133	34	4456	70	-133	34	4456	70	-133	34	4456	70	-133	34	4456	70	-133	34	4456
71	-22	22	4478	71	-22	22	4478	71	-22	22	4478	71	-22	22	4478	71	-22	22	4478
72	-19	19	4497	72	-19	19	4497	72	-19	19	4497	72	-19	19	4497	72	-19	19	4497
73	-21	21	4518	73	-21	21	4518	73	-21	21	4518	73	-21	21	4518	73	-21	21	4518
74	-26	26	4544	74	-26	26	4544	74	-26	26	4544	74	-26	26	4544	74	-26	26	4544
75	-17	17	4561	75	-17	17	4561	75	-17	17	4561	75	-17	17	4561	75	-17	17	4561
76	-23	23	4584	76	-23	23	4584	76	-23	23	4584	76	-23	23	4584	76	-23	23	4584
77	-21	21	4605	77	-21	21	4605	77	-21	21	4605	77	-21	21	4605	77	-21	21	4605
78	-23	23	4628	78	-23	23	4628	78	-23	23	4628	78	-23	23	4628	78	-23	23	4628
79	-17	17	4645	79	-17	17	4645	79	-17	17	4645	79	-17	17	4645	79	-17	17	4645
80	-22	22	4667	80	-22	22	4667	80	-22	22	4667	80	-22	22	4667	80	-22	22	4667
81	-138	39	4706	81	-138	39	4706	81	-138	39	4706	81	-138	39	4706	81	-138	39	4706
82	-25	25	4731	82	-25	25	4731	82	-25	25	4731	82	-25	25	4731	82	-25	25	4731
83	-21	21	4752	83	-21	21	4752	83	-21	21	4752	83	-21	21	4752	83	-21	21	4752
84	-21	21	4773	84	-21	21	4773	84	-21	21	4773	84	-21	21	4773	84	-21	21	4773
85	-19	19	4792	85	-19	19	4792	85	-19	19	4792	85	-19	19	4792	85	-19	19	4792
86	-19	19	4811	86	-19	19	4811	86	-19	19	4811	86	-19	19	4811	86	-19	19	4811
87	-15	15	4826	87	-15	15	4826	87	-15	15	4826	87	-15	15	4826	87	-15	15	4826
88	-23	23	4849	88	-23	23	4849	88	-23	23	4849	88	-23	23	4849	88	-23	23	4849
89	-21	21	4870	89	-21	21	4870	89	-21	21	4870	89	-21	21	4870	89	-21	21	4870
90	-25	25	4895	90	-25	25	4895	90	-25	25	4895	90	-25	25	4895	90	-25	25	4895
91	-23	23	4918	91	-23	23	4918	91	-23	23	4918	91	-23	23	4918	91	-23	23	4918
92	-117	18	4936	92	-117	18	4936	92	-117	18	4936	92	-117	18	4936	92	-117	18	4936
93	-26	26	4962	93	-26	26	4962	93	-26	26	4962	93	-26	26	4962	93	-26	26	4962
94	-19	19	4981	94	-19	19	4981	94	-19	19	4981	94	-19	19	4981	94	-19	19	4981
95	-20	20	5001	95	-20	20	5001	95	-20	20	5001	95	-20	20	5001	95	-20	20	5001
96	-23	23	5024	96	-23	23	5024	96	-23	23	5024	96	-23	23	5024	96	-23	23	5024
