Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	670	670	0	1.0	670	670	0	1.0	670	670	0	1.0	670	670	0	1.0	670	670	0	1.0	670	670	0	1.0	670	670	0	1.0	670	670	0	1.0	670	670	0	1.0	670	670	0	1.0	670	670
1	1.0	369	1039	1	1.0	369	1039	1	1.0	369	1039	1	1.0	369	1039	1	1.0	369	1039	1	1.0	369	1039	1	1.0	369	1039	1	1.0	369	1039	1	1.0	369	1039	1	1.0	369	1039	1	1.0	369	1039
2	1.0	790	1829	2	1.0	790	1829	2	1.0	790	1829	2	1.0	790	1829	2	1.0	790	1829	2	1.0	790	1829	2	1.0	790	1829	2	1.0	790	1829	2	1.0	790	1829	2	1.0	790	1829	2	1.0	790	1829
3	1.0	803	2632	3	1.0	803	2632	3	1.0	803	2632	3	1.0	803	2632	3	1.0	803	2632	3	1.0	803	2632	3	1.0	803	2632	3	1.0	803	2632	3	1.0	803	2632	3	1.0	803	2632	3	1.0	803	2632
4	1.0	1716	4348	4	1.0	1716	4348	4	1.0	1716	4348	4	1.0	1716	4348	4	1.0	1716	4348	4	1.0	1716	4348	4	1.0	1716	4348	4	1.0	1716	4348	4	1.0	1716	4348	4	1.0	1716	4348	4	1.0	1716	4348
5	1.0	209	4557	5	1.0	209	4557	5	1.0	209	4557	5	1.0	209	4557	5	1.0	209	4557	5	1.0	209	4557	5	1.0	209	4557	5	1.0	209	4557	5	1.0	209	4557	5	1.0	209	4557	5	1.0	209	4557
6	1.0	73	4630	6	1.0	73	4630	6	1.0	73	4630	6	1.0	73	4630	6	1.0	73	4630	6	1.0	73	4630	6	1.0	73	4630	6	1.0	73	4630	6	1.0	73	4630	6	1.0	73	4630	6	1.0	73	4630
7	1.0	180	4810	7	1.0	180	4810	7	1.0	180	4810	7	1.0	180	4810	7	1.0	180	4810	7	1.0	180	4810	7	1.0	180	4810	7	1.0	180	4810	7	1.0	180	4810	7	1.0	180	4810	7	1.0	180	4810
8	1.0	41	4851	8	1.0	41	4851	8	1.0	41	4851	8	1.0	41	4851	8	1.0	41	4851	8	1.0	41	4851	8	1.0	41	4851	8	1.0	41	4851	8	1.0	41	4851	8	1.0	41	4851	8	1.0	41	4851
9	1.0	265	5116	9	1.0	265	5116	9	1.0	265	5116	9	1.0	265	5116	9	1.0	265	5116	9	1.0	265	5116	9	1.0	265	5116	9	1.0	265	5116	9	1.0	265	5116	9	1.0	265	5116	9	1.0	265	5116
