Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819	16	1.0	17	819
17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835	17	1.0	16	835
18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854	18	1.0	19	854
19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872	19	1.0	18	872
20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888	20	1.0	16	888
21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908	21	1.0	20	908
22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926	22	1.0	18	926
23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946	23	1.0	20	946
24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968	24	1.0	22	968
25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988	25	1.0	20	988
26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007	26	1.0	19	1007
27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028	27	1.0	21	1028
28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046	28	1.0	18	1046
29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069	29	1.0	23	1069
30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089	30	1.0	20	1089
31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108	31	1.0	19	1108
32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126	32	1.0	18	1126
33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150	33	1.0	24	1150
34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166	34	1.0	16	1166
35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186	35	1.0	20	1186
36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211	36	1.0	25	1211
37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229	37	1.0	18	1229
38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250	38	1.0	21	1250
39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268	39	1.0	18	1268
40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284	40	1.0	16	1284
41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301	41	1.0	17	1301
42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317	42	1.0	16	1317
43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337	43	1.0	20	1337
44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354	44	1.0	17	1354
45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372	45	1.0	18	1372
46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388	46	1.0	16	1388
47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404	47	1.0	16	1404
48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420	48	1.0	16	1420
49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438	49	1.0	18	1438
