Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445	10	-95	95	1445
11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506	11	-61	61	1506
12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557	12	-51	51	1557
13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640	13	-83	83	1640
14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676	14	-36	36	1676
15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728	15	-52	52	1728
16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756	16	-28	28	1756
17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799	17	-43	43	1799
18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859	18	-159	60	1859
19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907	19	-48	48	1907
20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942	20	-35	35	1942
21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977	21	-35	35	1977
22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012	22	-35	35	2012
23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047	23	-35	35	2047
24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088	24	-41	41	2088
25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130	25	-42	42	2130
26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158	26	-28	28	2158
27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191	27	-33	33	2191
28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232	28	-41	41	2232
29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255	29	-122	23	2255
30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287	30	-32	32	2287
31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312	31	-124	25	2312
32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344	32	-32	32	2344
33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371	33	-27	27	2371
34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404	34	-33	33	2404
