Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904	20	-34	34	1904
21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938	21	-34	34	1938
22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970	22	-32	32	1970
23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013	23	-43	43	2013
24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058	24	-144	45	2058
25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085	25	-27	27	2085
26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119	26	-34	34	2119
27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150	27	-31	31	2150
28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172	28	-22	22	2172
29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212	29	-40	40	2212
30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255	30	-43	43	2255
31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284	31	-29	29	2284
32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301	32	-17	17	2301
33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322	33	-21	21	2322
34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357	34	-134	35	2357
35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390	35	-33	33	2390
36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419	36	-29	29	2419
37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438	37	-19	19	2438
38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477	38	-138	39	2477
39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499	39	-22	22	2499
40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517	40	-18	18	2517
41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540	41	-23	23	2540
42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566	42	-26	26	2566
43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583	43	-17	17	2583
44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610	44	-27	27	2610
45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633	45	-23	23	2633
46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650	46	-17	17	2650
47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673	47	-23	23	2673
48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719	48	-145	46	2719
49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741	49	-22	22	2741
