Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816	10	1.0	110	4816
11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976	11	1.0	160	4976
12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228	12	1.0	252	5228
13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263	13	1.0	35	5263
14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286	14	1.0	23	5286
15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344	15	1.0	58	5344
16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460	16	1.0	116	5460
17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551	17	1.0	91	5551
18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629	18	1.0	78	5629
19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674	19	1.0	45	5674
20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736	20	1.0	62	5736
21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842	21	1.0	106	5842
22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867	22	1.0	25	5867
23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887	23	1.0	20	5887
24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922	24	1.0	35	5922
25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946	25	1.0	24	5946
26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977	26	1.0	31	5977
27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108	27	1.0	131	6108
28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136	28	1.0	28	6136
29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156	29	1.0	20	6156
30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195	30	1.0	39	6195
31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219	31	1.0	24	6219
32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241	32	1.0	22	6241
33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287	33	1.0	46	6287
34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320	34	1.0	33	6320
35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339	35	1.0	19	6339
36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357	36	1.0	18	6357
37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379	37	1.0	22	6379
38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397	38	1.0	18	6397
39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421	39	1.0	24	6421
40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437	40	1.0	16	6437
41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459	41	1.0	22	6459
42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481	42	1.0	22	6481
43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498	43	1.0	17	6498
44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526	44	1.0	28	6526
45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549	45	1.0	23	6549
46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575	46	1.0	26	6575
47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591	47	1.0	16	6591
48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609	48	1.0	18	6609
49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640	49	1.0	31	6640
