Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
51	-98.0	98	9803	51	-98.0	98	9803	51	-98.0	98	9803	51	-98.0	98	9803	51	-98.0	98	9803
52	-106.0	106	9909	52	-106.0	106	9909	52	-106.0	106	9909	52	-106.0	106	9909	52	-106.0	106	9909
53	-99.0	99	10008	53	-99.0	99	10008	53	-99.0	99	10008	53	-99.0	99	10008	53	-99.0	99	10008
54	-107.0	107	10115	54	-107.0	107	10115	54	-107.0	107	10115	54	-107.0	107	10115	54	-107.0	107	10115
55	-110.0	110	10225	55	-110.0	110	10225	55	-110.0	110	10225	55	-110.0	110	10225	55	-110.0	110	10225
56	-106.0	106	10331	56	-106.0	106	10331	56	-106.0	106	10331	56	-106.0	106	10331	56	-106.0	106	10331
57	-189.0	189	10520	57	-189.0	189	10520	57	-189.0	189	10520	57	-189.0	189	10520	57	-189.0	189	10520
58	-85.0	85	10605	58	-85.0	85	10605	58	-85.0	85	10605	58	-85.0	85	10605	58	-85.0	85	10605
59	-172.0	172	10777	59	-172.0	172	10777	59	-172.0	172	10777	59	-172.0	172	10777	59	-172.0	172	10777
60	-90.0	90	10867	60	-90.0	90	10867	60	-90.0	90	10867	60	-90.0	90	10867	60	-90.0	90	10867
61	-178.0	178	11045	61	-178.0	178	11045	61	-178.0	178	11045	61	-178.0	178	11045	61	-178.0	178	11045
62	-108.0	108	11153	62	-108.0	108	11153	62	-108.0	108	11153	62	-108.0	108	11153	62	-108.0	108	11153
63	-168.0	168	11321	63	-168.0	168	11321	63	-168.0	168	11321	63	-168.0	168	11321	63	-168.0	168	11321
64	-152.0	152	11473	64	-152.0	152	11473	64	-152.0	152	11473	64	-152.0	152	11473	64	-152.0	152	11473
65	-141.0	141	11614	65	-141.0	141	11614	65	-141.0	141	11614	65	-141.0	141	11614	65	-141.0	141	11614
66	-252.0	252	11866	66	-252.0	252	11866	66	-252.0	252	11866	66	-252.0	252	11866	66	-252.0	252	11866
67	-326.0	326	12192	67	-326.0	326	12192	67	-326.0	326	12192	67	-326.0	326	12192	67	-326.0	326	12192
68	-198.0	198	12390	68	-198.0	198	12390	68	-198.0	198	12390	68	-198.0	198	12390	68	-198.0	198	12390
69	-141.0	141	12531	69	-141.0	141	12531	69	-141.0	141	12531	69	-141.0	141	12531	69	-141.0	141	12531
70	-144.0	144	12675	70	-144.0	144	12675	70	-144.0	144	12675	70	-144.0	144	12675	70	-144.0	144	12675
71	-132.0	132	12807	71	-132.0	132	12807	71	-132.0	132	12807	71	-132.0	132	12807	71	-132.0	132	12807
72	-147.0	147	12954	72	-147.0	147	12954	72	-147.0	147	12954	72	-147.0	147	12954	72	-147.0	147	12954
73	-152.0	152	13106	73	-152.0	152	13106	73	-152.0	152	13106	73	-152.0	152	13106	73	-152.0	152	13106
74	-131.0	131	13237	74	-131.0	131	13237	74	-131.0	131	13237	74	-131.0	131	13237	74	-131.0	131	13237
75	-129.0	129	13366	75	-129.0	129	13366	75	-129.0	129	13366	75	-129.0	129	13366	75	-129.0	129	13366
76	-144.0	144	13510	76	-144.0	144	13510	76	-144.0	144	13510	76	-144.0	144	13510	76	-144.0	144	13510
77	-144.0	144	13654	77	-144.0	144	13654	77	-144.0	144	13654	77	-144.0	144	13654	77	-144.0	144	13654
78	-135.0	135	13789	78	-135.0	135	13789	78	-135.0	135	13789	78	-135.0	135	13789	78	-135.0	135	13789
79	-143.0	143	13932	79	-143.0	143	13932	79	-143.0	143	13932	79	-143.0	143	13932	79	-143.0	143	13932
80	-131.0	131	14063	80	-131.0	131	14063	80	-131.0	131	14063	80	-131.0	131	14063	80	-131.0	131	14063
81	-131.0	131	14194	81	-131.0	131	14194	81	-131.0	131	14194	81	-131.0	131	14194	81	-131.0	131	14194
82	-142.0	142	14336	82	-142.0	142	14336	82	-142.0	142	14336	82	-142.0	142	14336	82	-142.0	142	14336
83	-137.0	137	14473	83	-137.0	137	14473	83	-137.0	137	14473	83	-137.0	137	14473	83	-137.0	137	14473
84	-132.0	132	14605	84	-132.0	132	14605	84	-132.0	132	14605	84	-132.0	132	14605	84	-132.0	132	14605
85	-119.0	119	14724	85	-119.0	119	14724	85	-119.0	119	14724	85	-119.0	119	14724	85	-119.0	119	14724
86	-127.0	127	14851	86	-127.0	127	14851	86	-127.0	127	14851	86	-127.0	127	14851	86	-127.0	127	14851
87	-128.0	128	14979	87	-128.0	128	14979	87	-128.0	128	14979	87	-128.0	128	14979	87	-128.0	128	14979
88	-129.0	129	15108	88	-129.0	129	15108	88	-129.0	129	15108	88	-129.0	129	15108	88	-129.0	129	15108
89	-131.0	131	15239	89	-131.0	131	15239	89	-131.0	131	15239	89	-131.0	131	15239	89	-131.0	131	15239
90	-125.0	125	15364	90	-125.0	125	15364	90	-125.0	125	15364	90	-125.0	125	15364	90	-125.0	125	15364
91	-109.0	109	15473	91	-109.0	109	15473	91	-109.0	109	15473	91	-109.0	109	15473	91	-109.0	109	15473
92	-174.0	174	15647	92	-174.0	174	15647	92	-174.0	174	15647	92	-174.0	174	15647	92	-174.0	174	15647
93	-128.0	128	15775	93	-128.0	128	15775	93	-128.0	128	15775	93	-128.0	128	15775	93	-128.0	128	15775
94	-218.0	218	15993	94	-218.0	218	15993	94	-218.0	218	15993	94	-218.0	218	15993	94	-218.0	218	15993
95	-130.0	130	16123	95	-130.0	130	16123	95	-130.0	130	16123	95	-130.0	130	16123	95	-130.0	130	16123
96	-176.0	176	16299	96	-176.0	176	16299	96	-176.0	176	16299	96	-176.0	176	16299	96	-176.0	176	16299
97	-208.0	208	16507	97	-208.0	208	16507	97	-208.0	208	16507	97	-208.0	208	16507	97	-208.0	208	16507
98	-132.0	132	16639	98	-132.0	132	16639	98	-132.0	132	16639	98	-132.0	132	16639	98	-132.0	132	16639
99	-134.0	134	16773	99	-134.0	134	16773	99	-134.0	134	16773	99	-134.0	134	16773	99	-134.0	134	16773
100	-177.0	177	16950	100	-177.0	177	16950	100	-177.0	177	16950	100	-177.0	177	16950	100	-177.0	177	16950
101	-164.0	164	17114	101	-164.0	164	17114	101	-164.0	164	17114	101	-164.0	164	17114	101	-164.0	164	17114
102	-184.0	184	17298	102	-184.0	184	17298	102	-184.0	184	17298	102	-184.0	184	17298	102	-184.0	184	17298
103	-327.0	327	17625	103	-327.0	327	17625	103	-327.0	327	17625	103	-327.0	327	17625	103	-327.0	327	17625
104	-138.0	138	17763	104	-138.0	138	17763	104	-138.0	138	17763	104	-138.0	138	17763	104	-138.0	138	17763
105	-128.0	128	17891	105	-128.0	128	17891	105	-128.0	128	17891	105	-128.0	128	17891	105	-128.0	128	17891
106	-104.0	104	17995	106	-104.0	104	17995	106	-104.0	104	17995	106	-104.0	104	17995	106	-104.0	104	17995
107	-151.0	151	18146	107	-151.0	151	18146	107	-151.0	151	18146	107	-151.0	151	18146	107	-151.0	151	18146
108	-142.0	142	18288	108	-142.0	142	18288	108	-142.0	142	18288	108	-142.0	142	18288	108	-142.0	142	18288
109	-124.0	124	18412	109	-124.0	124	18412	109	-124.0	124	18412	109	-124.0	124	18412	109	-124.0	124	18412
110	-103.0	103	18515	110	-103.0	103	18515	110	-103.0	103	18515	110	-103.0	103	18515	110	-103.0	103	18515
111	-105.0	105	18620	111	-105.0	105	18620	111	-105.0	105	18620	111	-105.0	105	18620	111	-105.0	105	18620
112	-104.0	104	18724	112	-104.0	104	18724	112	-104.0	104	18724	112	-104.0	104	18724	112	-104.0	104	18724
113	-105.0	105	18829	113	-105.0	105	18829	113	-105.0	105	18829	113	-105.0	105	18829	113	-105.0	105	18829
114	-106.0	106	18935	114	-106.0	106	18935	114	-106.0	106	18935	114	-106.0	106	18935	114	-106.0	106	18935
115	-295.0	295	19230	115	-295.0	295	19230	115	-295.0	295	19230	115	-295.0	295	19230	115	-295.0	295	19230
116	-500.0	500	19730	116	-500.0	500	19730	116	-500.0	500	19730	116	-500.0	500	19730	116	-500.0	500	19730
117	-139.0	139	19869	117	-139.0	139	19869	117	-139.0	139	19869	117	-139.0	139	19869	117	-139.0	139	19869
118	-500.0	500	20369	118	-500.0	500	20369	118	-500.0	500	20369	118	-500.0	500	20369	118	-500.0	500	20369
119	-500.0	500	20869	119	-500.0	500	20869	119	-500.0	500	20869	119	-500.0	500	20869	119	-500.0	500	20869
120	-500.0	500	21369	120	-500.0	500	21369	120	-500.0	500	21369	120	-500.0	500	21369	120	-500.0	500	21369
121	-500.0	500	21869	121	-500.0	500	21869	121	-500.0	500	21869	121	-500.0	500	21869	121	-500.0	500	21869
122	-500.0	500	22369	122	-500.0	500	22369	122	-500.0	500	22369	122	-500.0	500	22369	122	-500.0	500	22369
123	-500.0	500	22869	123	-500.0	500	22869	123	-500.0	500	22869	123	-500.0	500	22869	123	-500.0	500	22869
124	-500.0	500	23369	124	-500.0	500	23369	124	-500.0	500	23369	124	-500.0	500	23369	124	-500.0	500	23369
125	-500.0	500	23869	125	-500.0	500	23869	125	-500.0	500	23869	125	-500.0	500	23869	125	-500.0	500	23869
126	-500.0	500	24369	126	-500.0	500	24369	126	-500.0	500	24369	126	-500.0	500	24369	126	-500.0	500	24369
127	-500.0	500	24869	127	-500.0	500	24869	127	-500.0	500	24869	127	-500.0	500	24869	127	-500.0	500	24869
128	-500.0	500	25369	128	-500.0	500	25369	128	-500.0	500	25369	128	-500.0	500	25369	128	-500.0	500	25369
129	-500.0	500	25869	129	-500.0	500	25869	129	-500.0	500	25869	129	-500.0	500	25869	129	-500.0	500	25869
130	-500.0	500	26369	130	-500.0	500	26369	130	-500.0	500	26369	130	-500.0	500	26369	130	-500.0	500	26369
131	-500.0	500	26869	131	-500.0	500	26869	131	-500.0	500	26869	131	-500.0	500	26869	131	-500.0	500	26869
132	-500.0	500	27369	132	-500.0	500	27369	132	-500.0	500	27369	132	-500.0	500	27369	132	-500.0	500	27369
133	-500.0	500	27869	133	-500.0	500	27869	133	-500.0	500	27869	133	-500.0	500	27869	133	-500.0	500	27869
134	-500.0	500	28369	134	-500.0	500	28369	134	-500.0	500	28369	134	-500.0	500	28369	134	-500.0	500	28369
135	-500.0	500	28869	135	-500.0	500	28869	135	-500.0	500	28869	135	-500.0	500	28869	135	-500.0	500	28869
136	-500.0	500	29369	136	-500.0	500	29369	136	-500.0	500	29369	136	-500.0	500	29369	136	-500.0	500	29369
137	-500.0	500	29869	137	-500.0	500	29869	137	-500.0	500	29869	137	-500.0	500	29869	137	-500.0	500	29869
138	-500.0	500	30369	138	-500.0	500	30369	138	-500.0	500	30369	138	-500.0	500	30369	138	-500.0	500	30369
139	-500.0	500	30869	139	-500.0	500	30869	139	-500.0	500	30869	139	-500.0	500	30869	139	-500.0	500	30869
140	-500.0	500	31369	140	-500.0	500	31369	140	-500.0	500	31369	140	-500.0	500	31369	140	-500.0	500	31369
141	-500.0	500	31869	141	-500.0	500	31869	141	-500.0	500	31869	141	-500.0	500	31869	141	-500.0	500	31869
142	-500.0	500	32369	142	-500.0	500	32369	142	-500.0	500	32369	142	-500.0	500	32369	142	-500.0	500	32369
143	-500.0	500	32869	143	-500.0	500	32869	143	-500.0	500	32869	143	-500.0	500	32869	143	-500.0	500	32869
144	-500.0	500	33369	144	-500.0	500	33369	144	-500.0	500	33369	144	-500.0	500	33369	144	-500.0	500	33369
145	-345.0	345	33714	145	-345.0	345	33714	145	-345.0	345	33714	145	-345.0	345	33714	145	-345.0	345	33714
146	-249.0	249	33963	146	-249.0	249	33963	146	-249.0	249	33963	146	-249.0	249	33963	146	-249.0	249	33963
147	-500.0	500	34463	147	-500.0	500	34463	147	-500.0	500	34463	147	-500.0	500	34463	147	-500.0	500	34463
148	-500.0	500	34963	148	-500.0	500	34963	148	-500.0	500	34963	148	-500.0	500	34963	148	-500.0	500	34963
149	-156.0	156	35119	149	-156.0	156	35119	149	-156.0	156	35119	149	-156.0	156	35119	149	-156.0	156	35119
150	-236.0	236	35355	150	-236.0	236	35355	150	-236.0	236	35355	150	-236.0	236	35355	150	-236.0	236	35355
151	-500.0	500	35855	151	-500.0	500	35855	151	-500.0	500	35855	151	-500.0	500	35855	151	-500.0	500	35855
152	-500.0	500	36355	152	-500.0	500	36355	152	-500.0	500	36355	152	-500.0	500	36355	152	-500.0	500	36355
153	-168.0	168	36523	153	-168.0	168	36523	153	-168.0	168	36523	153	-168.0	168	36523	153	-168.0	168	36523
154	-500.0	500	37023	154	-500.0	500	37023	154	-500.0	500	37023	154	-500.0	500	37023	154	-500.0	500	37023
155	-500.0	500	37523	155	-500.0	500	37523	155	-500.0	500	37523	155	-500.0	500	37523	155	-500.0	500	37523
156	-403.0	403	37926	156	-403.0	403	37926	156	-403.0	403	37926	156	-403.0	403	37926	156	-403.0	403	37926
157	-500.0	500	38426	157	-500.0	500	38426	157	-500.0	500	38426	157	-500.0	500	38426	157	-500.0	500	38426
158	-253.0	253	38679	158	-253.0	253	38679	158	-253.0	253	38679	158	-253.0	253	38679	158	-253.0	253	38679
159	-256.0	256	38935	159	-256.0	256	38935	159	-256.0	256	38935	159	-256.0	256	38935	159	-256.0	256	38935
160	-500.0	500	39435	160	-500.0	500	39435	160	-500.0	500	39435	160	-500.0	500	39435	160	-500.0	500	39435
161	-500.0	500	39935	161	-500.0	500	39935	161	-500.0	500	39935	161	-500.0	500	39935	161	-500.0	500	39935
162	-500.0	500	40435	162	-500.0	500	40435	162	-500.0	500	40435	162	-500.0	500	40435	162	-500.0	500	40435
163	-255.0	255	40690	163	-255.0	255	40690	163	-255.0	255	40690	163	-255.0	255	40690	163	-255.0	255	40690
164	-500.0	500	41190	164	-500.0	500	41190	164	-500.0	500	41190	164	-500.0	500	41190	164	-500.0	500	41190
165	-341.0	341	41531	165	-341.0	341	41531	165	-341.0	341	41531	165	-341.0	341	41531	165	-341.0	341	41531
166	-500.0	500	42031	166	-500.0	500	42031	166	-500.0	500	42031	166	-500.0	500	42031	166	-500.0	500	42031
167	-445.0	445	42476	167	-445.0	445	42476	167	-445.0	445	42476	167	-445.0	445	42476	167	-445.0	445	42476
168	-500.0	500	42976	168	-500.0	500	42976	168	-500.0	500	42976	168	-500.0	500	42976	168	-500.0	500	42976
169	-342.0	342	43318	169	-342.0	342	43318	169	-342.0	342	43318	169	-342.0	342	43318	169	-342.0	342	43318
170	-500.0	500	43818	170	-500.0	500	43818	170	-500.0	500	43818	170	-500.0	500	43818	170	-500.0	500	43818
171	-500.0	500	44318	171	-500.0	500	44318	171	-500.0	500	44318	171	-500.0	500	44318	171	-500.0	500	44318
172	-500.0	500	44818	172	-500.0	500	44818	172	-500.0	500	44818	172	-500.0	500	44818	172	-500.0	500	44818
173	-500.0	500	45318	173	-500.0	500	45318	173	-500.0	500	45318	173	-500.0	500	45318	173	-500.0	500	45318
174	-500.0	500	45818	174	-500.0	500	45818	174	-500.0	500	45818	174	-500.0	500	45818	174	-500.0	500	45818
175	-500.0	500	46318	175	-500.0	500	46318	175	-500.0	500	46318	175	-500.0	500	46318	175	-500.0	500	46318
176	-500.0	500	46818	176	-500.0	500	46818	176	-500.0	500	46818	176	-500.0	500	46818	176	-500.0	500	46818
177	-500.0	500	47318	177	-500.0	500	47318	177	-500.0	500	47318	177	-500.0	500	47318	177	-500.0	500	47318
178	-500.0	500	47818	178	-500.0	500	47818	178	-500.0	500	47818	178	-500.0	500	47818	178	-500.0	500	47818
