Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340	10	-68	68	1340
11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397	11	-57	57	1397
12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454	12	-57	57	1454
13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481	13	-27	27	1481
14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552	14	-71	71	1552
15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595	15	-43	43	1595
16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645	16	-50	50	1645
17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670	17	-25	25	1670
18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760	18	-288	90	1760
19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781	19	-21	21	1781
20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833	20	-52	52	1833
21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886	21	-53	53	1886
22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914	22	-28	28	1914
23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955	23	-41	41	1955
24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016	24	-160	61	2016
25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059	25	-43	43	2059
26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078	26	-19	19	2078
27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112	27	-34	34	2112
28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149	28	-37	37	2149
29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174	29	-25	25	2174
30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212	30	-38	38	2212
31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233	31	-21	21	2233
32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267	32	-34	34	2267
33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314	33	-47	47	2314
34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353	34	-39	39	2353
35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378	35	-25	25	2378
36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406	36	-28	28	2406
37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449	37	-43	43	2449
38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480	38	-31	31	2480
39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496	39	-16	16	2496
40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529	40	-33	33	2529
41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585	41	-155	56	2585
42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614	42	-29	29	2614
43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645	43	-31	31	2645
44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670	44	-25	25	2670
45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692	45	-22	22	2692
46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711	46	-19	19	2711
47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730	47	-19	19	2730
