Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905	0	1.0	1905	1905
1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227	1	1.0	322	2227
2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548	2	1.0	321	2548
3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183	3	1.0	635	3183
4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309	4	1.0	126	3309
5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376	5	1.0	67	3376
6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434	6	1.0	58	3434
7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553	7	1.0	119	3553
8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606	8	1.0	53	3606
9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694	9	1.0	88	3694
