Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735	0	1.0	735	735
1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799	1	1.0	64	799
2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814	2	1.0	15	814
3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830	3	1.0	16	830
4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846	4	1.0	16	846
5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866	5	1.0	20	866
6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883	6	1.0	17	883
7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901	7	1.0	18	901
8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917	8	1.0	16	917
9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932	9	1.0	15	932
10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946	10	1.0	14	946
11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965	11	1.0	19	965
12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979	12	1.0	14	979
13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997	13	1.0	18	997
14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014	14	1.0	17	1014
15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030	15	1.0	16	1030
16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046	16	1.0	16	1046
17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060	17	1.0	14	1060
18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076	18	1.0	16	1076
19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095	19	1.0	19	1095
20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109	20	1.0	14	1109
