Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500
1	-500.0	500	1000
2	-500.0	500	1500
3	-500.0	500	2000
4	-500.0	500	2500
5	-500.0	500	3000
6	-452.0	452	3452
7	-364.0	364	3816
8	-289.0	289	4105
9	-240.0	240	4345
10	-168.0	168	4513
11	-236.0	236	4749
12	-317.0	317	5066
13	-296.0	296	5362
14	-251.0	251	5613
15	-168.0	168	5781
16	-132.0	132	5913
17	-211.0	211	6124
18	-127.0	127	6251
19	-132.0	132	6383
20	-131.0	131	6514
21	-125.0	125	6639
22	-125.0	125	6764
23	-125.0	125	6889
24	-121.0	121	7010
25	-200.0	200	7210
26	-185.0	185	7395
27	-172.0	172	7567
28	-256.0	256	7823
29	-122.0	122	7945
30	-176.0	176	8121
31	-268.0	268	8389
32	-255.0	255	8644
33	-221.0	221	8865
34	-324.0	324	9189
35	-485.0	485	9674
36	-313.0	313	9987
37	-500.0	500	10487
38	-500.0	500	10987
39	-500.0	500	11487
40	-500.0	500	11987
41	-500.0	500	12487
42	-500.0	500	12987
43	-500.0	500	13487
44	-290.0	290	13777
45	-500.0	500	14277
46	-500.0	500	14777
47	-500.0	500	15277
48	-500.0	500	15777
49	-500.0	500	16277
50	-500.0	500	16777
51	-500.0	500	17277
52	-500.0	500	17777
53	-265.0	265	18042
54	-356.0	356	18398
55	-500.0	500	18898
56	-500.0	500	19398
57	-500.0	500	19898
58	-500.0	500	20398
59	-500.0	500	20898
60	-500.0	500	21398
61	-500.0	500	21898
62	-500.0	500	22398
63	-500.0	500	22898
64	-500.0	500	23398
65	-500.0	500	23898
66	-500.0	500	24398
67	-500.0	500	24898
68	-500.0	500	25398
69	-500.0	500	25898
70	-500.0	500	26398
71	-500.0	500	26898
72	-500.0	500	27398
73	-326.0	326	27724
74	-500.0	500	28224
75	-500.0	500	28724
76	-500.0	500	29224
77	-500.0	500	29724
78	-500.0	500	30224
79	-500.0	500	30724
80	-500.0	500	31224
81	-500.0	500	31724
82	-500.0	500	32224
83	-500.0	500	32724
84	-500.0	500	33224
85	-500.0	500	33724
86	-500.0	500	34224
87	-500.0	500	34724
88	-500.0	500	35224
89	-500.0	500	35724
90	-500.0	500	36224
91	-500.0	500	36724
92	-500.0	500	37224
93	-500.0	500	37724
94	-500.0	500	38224
95	-500.0	500	38724
96	-500.0	500	39224
97	-500.0	500	39724
98	-500.0	500	40224
99	-500.0	500	40724
100	-500.0	500	41224
101	-500.0	500	41724
102	-500.0	500	42224
103	-500.0	500	42724
104	-500.0	500	43224
105	-500.0	500	43724
106	-500.0	500	44224
107	-294.0	294	44518
108	-500.0	500	45018
109	-500.0	500	45518
110	-250.0	250	45768
111	-500.0	500	46268
112	-500.0	500	46768
113	-398.0	398	47166
114	-500.0	500	47666
115	-500.0	500	48166
116	-500.0	500	48666
117	-500.0	500	49166
118	-500.0	500	49666
119	-500.0	500	50166
120	-500.0	500	50666
121	-500.0	500	51166
