Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	294	294	0	1.0	294	294	0	1.0	294	294	0	1.0	294	294	0	1.0	294	294	0	1.0	294	294	0	1.0	294	294	0	1.0	294	294	0	1.0	294	294	0	1.0	294	294
1	1.0	60	354	1	1.0	60	354	1	1.0	60	354	1	1.0	60	354	1	1.0	60	354	1	1.0	60	354	1	1.0	60	354	1	1.0	60	354	1	1.0	60	354	1	1.0	60	354
2	1.0	20	374	2	1.0	20	374	2	1.0	20	374	2	1.0	20	374	2	1.0	20	374	2	1.0	20	374	2	1.0	20	374	2	1.0	20	374	2	1.0	20	374	2	1.0	20	374
3	1.0	18	392	3	1.0	18	392	3	1.0	18	392	3	1.0	18	392	3	1.0	18	392	3	1.0	18	392	3	1.0	18	392	3	1.0	18	392	3	1.0	18	392	3	1.0	18	392
4	1.0	22	414	4	1.0	22	414	4	1.0	22	414	4	1.0	22	414	4	1.0	22	414	4	1.0	22	414	4	1.0	22	414	4	1.0	22	414	4	1.0	22	414	4	1.0	22	414
5	1.0	23	437	5	1.0	23	437	5	1.0	23	437	5	1.0	23	437	5	1.0	23	437	5	1.0	23	437	5	1.0	23	437	5	1.0	23	437	5	1.0	23	437	5	1.0	23	437
6	1.0	20	457	6	1.0	20	457	6	1.0	20	457	6	1.0	20	457	6	1.0	20	457	6	1.0	20	457	6	1.0	20	457	6	1.0	20	457	6	1.0	20	457	6	1.0	20	457
7	1.0	16	473	7	1.0	16	473	7	1.0	16	473	7	1.0	16	473	7	1.0	16	473	7	1.0	16	473	7	1.0	16	473	7	1.0	16	473	7	1.0	16	473	7	1.0	16	473
8	1.0	18	491	8	1.0	18	491	8	1.0	18	491	8	1.0	18	491	8	1.0	18	491	8	1.0	18	491	8	1.0	18	491	8	1.0	18	491	8	1.0	18	491	8	1.0	18	491
9	1.0	16	507	9	1.0	16	507	9	1.0	16	507	9	1.0	16	507	9	1.0	16	507	9	1.0	16	507	9	1.0	16	507	9	1.0	16	507	9	1.0	16	507	9	1.0	16	507
10	1.0	17	524	10	1.0	17	524	10	1.0	17	524	10	1.0	17	524	10	1.0	17	524	10	1.0	17	524	10	1.0	17	524	10	1.0	17	524	10	1.0	17	524	10	1.0	17	524
11	1.0	16	540	11	1.0	16	540	11	1.0	16	540	11	1.0	16	540	11	1.0	16	540	11	1.0	16	540	11	1.0	16	540	11	1.0	16	540	11	1.0	16	540	11	1.0	16	540
12	1.0	17	557	12	1.0	17	557	12	1.0	17	557	12	1.0	17	557	12	1.0	17	557	12	1.0	17	557	12	1.0	17	557	12	1.0	17	557	12	1.0	17	557	12	1.0	17	557
13	1.0	16	573	13	1.0	16	573	13	1.0	16	573	13	1.0	16	573	13	1.0	16	573	13	1.0	16	573	13	1.0	16	573	13	1.0	16	573	13	1.0	16	573	13	1.0	16	573
14	1.0	18	591	14	1.0	18	591	14	1.0	18	591	14	1.0	18	591	14	1.0	18	591	14	1.0	18	591	14	1.0	18	591	14	1.0	18	591	14	1.0	18	591	14	1.0	18	591
15	1.0	22	613	15	1.0	22	613	15	1.0	22	613	15	1.0	22	613	15	1.0	22	613	15	1.0	22	613	15	1.0	22	613	15	1.0	22	613	15	1.0	22	613	15	1.0	22	613
16	1.0	18	631	16	1.0	18	631	16	1.0	18	631	16	1.0	18	631	16	1.0	18	631	16	1.0	18	631	16	1.0	18	631	16	1.0	18	631	16	1.0	18	631	16	1.0	18	631
17	1.0	16	647	17	1.0	16	647	17	1.0	16	647	17	1.0	16	647	17	1.0	16	647	17	1.0	16	647	17	1.0	16	647	17	1.0	16	647	17	1.0	16	647	17	1.0	16	647
18	1.0	20	667	18	1.0	20	667	18	1.0	20	667	18	1.0	20	667	18	1.0	20	667	18	1.0	20	667	18	1.0	20	667	18	1.0	20	667	18	1.0	20	667	18	1.0	20	667
19	1.0	16	683	19	1.0	16	683	19	1.0	16	683	19	1.0	16	683	19	1.0	16	683	19	1.0	16	683	19	1.0	16	683	19	1.0	16	683	19	1.0	16	683	19	1.0	16	683
