Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555	16	-38	38	1555
17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582	17	-27	27	1582
18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609	18	-27	27	1609
19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661	19	-52	52	1661
20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701	20	-40	40	1701
21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743	21	-42	42	1743
22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773	22	-30	30	1773
23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815	23	-42	42	1815
24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871	24	-56	56	1871
25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894	25	-23	23	1894
26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933	26	-39	39	1933
27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976	27	-43	43	1976
28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017	28	-41	41	2017
29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075	29	-58	58	2075
30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102	30	-27	27	2102
31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124	31	-22	22	2124
32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164	32	-40	40	2164
33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196	33	-32	32	2196
34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239	34	-43	43	2239
35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270	35	-31	31	2270
36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292	36	-22	22	2292
37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323	37	-31	31	2323
38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360	38	-136	37	2360
39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387	39	-27	27	2387
40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411	40	-24	24	2411
