Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755	10	-32	32	755
11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772	11	-17	17	772
12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790	12	-18	18	790
13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807	13	-17	17	807
14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837	14	-30	30	837
15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850	15	-13	13	850
16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871	16	-21	21	871
17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889	17	-18	18	889
18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902	18	-13	13	902
19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915	19	-13	13	915
20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935	20	-20	20	935
21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948	21	-13	13	948
22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963	22	-15	15	963
23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976	23	-13	13	976
24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991	24	-15	15	991
25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004	25	-13	13	1004
26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018	26	-14	14	1018
27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034	27	-16	16	1034
28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048	28	-113	14	1048
29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073	29	-223	25	1073
30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092	30	-19	19	1092
31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105	31	-13	13	1105
32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120	32	-15	15	1120
33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144	33	-123	24	1144
