Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
24	1.0	16	3320	24	1.0	16	3320	24	1.0	16	3320	24	1.0	16	3320	24	1.0	16	3320	24	1.0	16	3320	24	1.0	16	3320	24	1.0	16	3320	24	1.0	16	3320	24	1.0	16	3320	24	1.0	16	3320
25	1.0	15	3335	25	1.0	15	3335	25	1.0	15	3335	25	1.0	15	3335	25	1.0	15	3335	25	1.0	15	3335	25	1.0	15	3335	25	1.0	15	3335	25	1.0	15	3335	25	1.0	15	3335	25	1.0	15	3335
26	1.0	17	3352	26	1.0	17	3352	26	1.0	17	3352	26	1.0	17	3352	26	1.0	17	3352	26	1.0	17	3352	26	1.0	17	3352	26	1.0	17	3352	26	1.0	17	3352	26	1.0	17	3352	26	1.0	17	3352
27	1.0	24	3376	27	1.0	24	3376	27	1.0	24	3376	27	1.0	24	3376	27	1.0	24	3376	27	1.0	24	3376	27	1.0	24	3376	27	1.0	24	3376	27	1.0	24	3376	27	1.0	24	3376	27	1.0	24	3376
28	1.0	15	3391	28	1.0	15	3391	28	1.0	15	3391	28	1.0	15	3391	28	1.0	15	3391	28	1.0	15	3391	28	1.0	15	3391	28	1.0	15	3391	28	1.0	15	3391	28	1.0	15	3391	28	1.0	15	3391
29	1.0	16	3407	29	1.0	16	3407	29	1.0	16	3407	29	1.0	16	3407	29	1.0	16	3407	29	1.0	16	3407	29	1.0	16	3407	29	1.0	16	3407	29	1.0	16	3407	29	1.0	16	3407	29	1.0	16	3407
30	1.0	14	3421	30	1.0	14	3421	30	1.0	14	3421	30	1.0	14	3421	30	1.0	14	3421	30	1.0	14	3421	30	1.0	14	3421	30	1.0	14	3421	30	1.0	14	3421	30	1.0	14	3421	30	1.0	14	3421
31	1.0	16	3437	31	1.0	16	3437	31	1.0	16	3437	31	1.0	16	3437	31	1.0	16	3437	31	1.0	16	3437	31	1.0	16	3437	31	1.0	16	3437	31	1.0	16	3437	31	1.0	16	3437	31	1.0	16	3437
32	1.0	18	3455	32	1.0	18	3455	32	1.0	18	3455	32	1.0	18	3455	32	1.0	18	3455	32	1.0	18	3455	32	1.0	18	3455	32	1.0	18	3455	32	1.0	18	3455	32	1.0	18	3455	32	1.0	18	3455
33	1.0	14	3469	33	1.0	14	3469	33	1.0	14	3469	33	1.0	14	3469	33	1.0	14	3469	33	1.0	14	3469	33	1.0	14	3469	33	1.0	14	3469	33	1.0	14	3469	33	1.0	14	3469	33	1.0	14	3469
