Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
43	-29	29	3574	43	-29	29	3574	43	-29	29	3574	43	-29	29	3574	43	-29	29	3574	43	-29	29	3574	43	-29	29	3574
44	-75	75	3649	44	-75	75	3649	44	-75	75	3649	44	-75	75	3649	44	-75	75	3649	44	-75	75	3649	44	-75	75	3649
45	-162	63	3712	45	-162	63	3712	45	-162	63	3712	45	-162	63	3712	45	-162	63	3712	45	-162	63	3712	45	-162	63	3712
46	-152	53	3765	46	-152	53	3765	46	-152	53	3765	46	-152	53	3765	46	-152	53	3765	46	-152	53	3765	46	-152	53	3765
47	-26	26	3791	47	-26	26	3791	47	-26	26	3791	47	-26	26	3791	47	-26	26	3791	47	-26	26	3791	47	-26	26	3791
48	-28	28	3819	48	-28	28	3819	48	-28	28	3819	48	-28	28	3819	48	-28	28	3819	48	-28	28	3819	48	-28	28	3819
49	-39	39	3858	49	-39	39	3858	49	-39	39	3858	49	-39	39	3858	49	-39	39	3858	49	-39	39	3858	49	-39	39	3858
50	-33	33	3891	50	-33	33	3891	50	-33	33	3891	50	-33	33	3891	50	-33	33	3891	50	-33	33	3891	50	-33	33	3891
51	-50	50	3941	51	-50	50	3941	51	-50	50	3941	51	-50	50	3941	51	-50	50	3941	51	-50	50	3941	51	-50	50	3941
52	-33	33	3974	52	-33	33	3974	52	-33	33	3974	52	-33	33	3974	52	-33	33	3974	52	-33	33	3974	52	-33	33	3974
53	-27	27	4001	53	-27	27	4001	53	-27	27	4001	53	-27	27	4001	53	-27	27	4001	53	-27	27	4001	53	-27	27	4001
54	-20	20	4021	54	-20	20	4021	54	-20	20	4021	54	-20	20	4021	54	-20	20	4021	54	-20	20	4021	54	-20	20	4021
55	-22	22	4043	55	-22	22	4043	55	-22	22	4043	55	-22	22	4043	55	-22	22	4043	55	-22	22	4043	55	-22	22	4043
56	-20	20	4063	56	-20	20	4063	56	-20	20	4063	56	-20	20	4063	56	-20	20	4063	56	-20	20	4063	56	-20	20	4063
57	-23	23	4086	57	-23	23	4086	57	-23	23	4086	57	-23	23	4086	57	-23	23	4086	57	-23	23	4086	57	-23	23	4086
58	-34	34	4120	58	-34	34	4120	58	-34	34	4120	58	-34	34	4120	58	-34	34	4120	58	-34	34	4120	58	-34	34	4120
59	-117	18	4138	59	-117	18	4138	59	-117	18	4138	59	-117	18	4138	59	-117	18	4138	59	-117	18	4138	59	-117	18	4138
60	-26	26	4164	60	-26	26	4164	60	-26	26	4164	60	-26	26	4164	60	-26	26	4164	60	-26	26	4164	60	-26	26	4164
61	-26	26	4190	61	-26	26	4190	61	-26	26	4190	61	-26	26	4190	61	-26	26	4190	61	-26	26	4190	61	-26	26	4190
62	-25	25	4215	62	-25	25	4215	62	-25	25	4215	62	-25	25	4215	62	-25	25	4215	62	-25	25	4215	62	-25	25	4215
63	-24	24	4239	63	-24	24	4239	63	-24	24	4239	63	-24	24	4239	63	-24	24	4239	63	-24	24	4239	63	-24	24	4239
64	-24	24	4263	64	-24	24	4263	64	-24	24	4263	64	-24	24	4263	64	-24	24	4263	64	-24	24	4263	64	-24	24	4263
65	-16	16	4279	65	-16	16	4279	65	-16	16	4279	65	-16	16	4279	65	-16	16	4279	65	-16	16	4279	65	-16	16	4279
66	-24	24	4303	66	-24	24	4303	66	-24	24	4303	66	-24	24	4303	66	-24	24	4303	66	-24	24	4303	66	-24	24	4303
67	-38	38	4341	67	-38	38	4341	67	-38	38	4341	67	-38	38	4341	67	-38	38	4341	67	-38	38	4341	67	-38	38	4341
68	-19	19	4360	68	-19	19	4360	68	-19	19	4360	68	-19	19	4360	68	-19	19	4360	68	-19	19	4360	68	-19	19	4360
69	-15	15	4375	69	-15	15	4375	69	-15	15	4375	69	-15	15	4375	69	-15	15	4375	69	-15	15	4375	69	-15	15	4375
70	-30	30	4405	70	-30	30	4405	70	-30	30	4405	70	-30	30	4405	70	-30	30	4405	70	-30	30	4405	70	-30	30	4405
71	-31	31	4436	71	-31	31	4436	71	-31	31	4436	71	-31	31	4436	71	-31	31	4436	71	-31	31	4436	71	-31	31	4436
72	-18	18	4454	72	-18	18	4454	72	-18	18	4454	72	-18	18	4454	72	-18	18	4454	72	-18	18	4454	72	-18	18	4454
73	-33	33	4487	73	-33	33	4487	73	-33	33	4487	73	-33	33	4487	73	-33	33	4487	73	-33	33	4487	73	-33	33	4487
74	-23	23	4510	74	-23	23	4510	74	-23	23	4510	74	-23	23	4510	74	-23	23	4510	74	-23	23	4510	74	-23	23	4510
75	-26	26	4536	75	-26	26	4536	75	-26	26	4536	75	-26	26	4536	75	-26	26	4536	75	-26	26	4536	75	-26	26	4536
76	-26	26	4562	76	-26	26	4562	76	-26	26	4562	76	-26	26	4562	76	-26	26	4562	76	-26	26	4562	76	-26	26	4562
77	-26	26	4588	77	-26	26	4588	77	-26	26	4588	77	-26	26	4588	77	-26	26	4588	77	-26	26	4588	77	-26	26	4588
78	-23	23	4611	78	-23	23	4611	78	-23	23	4611	78	-23	23	4611	78	-23	23	4611	78	-23	23	4611	78	-23	23	4611
79	-28	28	4639	79	-28	28	4639	79	-28	28	4639	79	-28	28	4639	79	-28	28	4639	79	-28	28	4639	79	-28	28	4639
80	-16	16	4655	80	-16	16	4655	80	-16	16	4655	80	-16	16	4655	80	-16	16	4655	80	-16	16	4655	80	-16	16	4655
81	-27	27	4682	81	-27	27	4682	81	-27	27	4682	81	-27	27	4682	81	-27	27	4682	81	-27	27	4682	81	-27	27	4682
82	-24	24	4706	82	-24	24	4706	82	-24	24	4706	82	-24	24	4706	82	-24	24	4706	82	-24	24	4706	82	-24	24	4706
83	-24	24	4730	83	-24	24	4730	83	-24	24	4730	83	-24	24	4730	83	-24	24	4730	83	-24	24	4730	83	-24	24	4730
84	-19	19	4749	84	-19	19	4749	84	-19	19	4749	84	-19	19	4749	84	-19	19	4749	84	-19	19	4749	84	-19	19	4749
85	-24	24	4773	85	-24	24	4773	85	-24	24	4773	85	-24	24	4773	85	-24	24	4773	85	-24	24	4773	85	-24	24	4773
86	-16	16	4789	86	-16	16	4789	86	-16	16	4789	86	-16	16	4789	86	-16	16	4789	86	-16	16	4789	86	-16	16	4789
87	-21	21	4810	87	-21	21	4810	87	-21	21	4810	87	-21	21	4810	87	-21	21	4810	87	-21	21	4810	87	-21	21	4810
88	-25	25	4835	88	-25	25	4835	88	-25	25	4835	88	-25	25	4835	88	-25	25	4835	88	-25	25	4835	88	-25	25	4835
89	-22	22	4857	89	-22	22	4857	89	-22	22	4857	89	-22	22	4857	89	-22	22	4857	89	-22	22	4857	89	-22	22	4857
90	-20	20	4877	90	-20	20	4877	90	-20	20	4877	90	-20	20	4877	90	-20	20	4877	90	-20	20	4877	90	-20	20	4877
91	-29	29	4906	91	-29	29	4906	91	-29	29	4906	91	-29	29	4906	91	-29	29	4906	91	-29	29	4906	91	-29	29	4906
92	-27	27	4933	92	-27	27	4933	92	-27	27	4933	92	-27	27	4933	92	-27	27	4933	92	-27	27	4933	92	-27	27	4933
93	-17	17	4950	93	-17	17	4950	93	-17	17	4950	93	-17	17	4950	93	-17	17	4950	93	-17	17	4950	93	-17	17	4950
94	-17	17	4967	94	-17	17	4967	94	-17	17	4967	94	-17	17	4967	94	-17	17	4967	94	-17	17	4967	94	-17	17	4967
95	-29	29	4996	95	-29	29	4996	95	-29	29	4996	95	-29	29	4996	95	-29	29	4996	95	-29	29	4996	95	-29	29	4996
96	-23	23	5019	96	-23	23	5019	96	-23	23	5019	96	-23	23	5019	96	-23	23	5019	96	-23	23	5019	96	-23	23	5019
97	-25	25	5044	97	-25	25	5044	97	-25	25	5044	97	-25	25	5044	97	-25	25	5044	97	-25	25	5044	97	-25	25	5044
98	-25	25	5069	98	-25	25	5069	98	-25	25	5069	98	-25	25	5069	98	-25	25	5069	98	-25	25	5069	98	-25	25	5069
99	-120	21	5090	99	-120	21	5090	99	-120	21	5090	99	-120	21	5090	99	-120	21	5090	99	-120	21	5090	99	-120	21	5090
100	-15	15	5105	100	-15	15	5105	100	-15	15	5105	100	-15	15	5105	100	-15	15	5105	100	-15	15	5105	100	-15	15	5105
101	-20	20	5125	101	-20	20	5125	101	-20	20	5125	101	-20	20	5125	101	-20	20	5125	101	-20	20	5125	101	-20	20	5125
102	-19	19	5144	102	-19	19	5144	102	-19	19	5144	102	-19	19	5144	102	-19	19	5144	102	-19	19	5144	102	-19	19	5144
103	-17	17	5161	103	-17	17	5161	103	-17	17	5161	103	-17	17	5161	103	-17	17	5161	103	-17	17	5161	103	-17	17	5161
104	-19	19	5180	104	-19	19	5180	104	-19	19	5180	104	-19	19	5180	104	-19	19	5180	104	-19	19	5180	104	-19	19	5180
105	-21	21	5201	105	-21	21	5201	105	-21	21	5201	105	-21	21	5201	105	-21	21	5201	105	-21	21	5201	105	-21	21	5201
106	-22	22	5223	106	-22	22	5223	106	-22	22	5223	106	-22	22	5223	106	-22	22	5223	106	-22	22	5223	106	-22	22	5223
107	-30	30	5253	107	-30	30	5253	107	-30	30	5253	107	-30	30	5253	107	-30	30	5253	107	-30	30	5253	107	-30	30	5253
108	-17	17	5270	108	-17	17	5270	108	-17	17	5270	108	-17	17	5270	108	-17	17	5270	108	-17	17	5270	108	-17	17	5270
109	-35	35	5305	109	-35	35	5305	109	-35	35	5305	109	-35	35	5305	109	-35	35	5305	109	-35	35	5305	109	-35	35	5305
110	-23	23	5328	110	-23	23	5328	110	-23	23	5328	110	-23	23	5328	110	-23	23	5328	110	-23	23	5328	110	-23	23	5328
111	-21	21	5349	111	-21	21	5349	111	-21	21	5349	111	-21	21	5349	111	-21	21	5349	111	-21	21	5349	111	-21	21	5349
112	-19	19	5368	112	-19	19	5368	112	-19	19	5368	112	-19	19	5368	112	-19	19	5368	112	-19	19	5368	112	-19	19	5368
113	-126	27	5395	113	-126	27	5395	113	-126	27	5395	113	-126	27	5395	113	-126	27	5395	113	-126	27	5395	113	-126	27	5395
114	-26	26	5421	114	-26	26	5421	114	-26	26	5421	114	-26	26	5421	114	-26	26	5421	114	-26	26	5421	114	-26	26	5421
115	-17	17	5438	115	-17	17	5438	115	-17	17	5438	115	-17	17	5438	115	-17	17	5438	115	-17	17	5438	115	-17	17	5438
116	-19	19	5457	116	-19	19	5457	116	-19	19	5457	116	-19	19	5457	116	-19	19	5457	116	-19	19	5457	116	-19	19	5457
117	-27	27	5484	117	-27	27	5484	117	-27	27	5484	117	-27	27	5484	117	-27	27	5484	117	-27	27	5484	117	-27	27	5484
118	-21	21	5505	118	-21	21	5505	118	-21	21	5505	118	-21	21	5505	118	-21	21	5505	118	-21	21	5505	118	-21	21	5505
119	-21	21	5526	119	-21	21	5526	119	-21	21	5526	119	-21	21	5526	119	-21	21	5526	119	-21	21	5526	119	-21	21	5526
120	-17	17	5543	120	-17	17	5543	120	-17	17	5543	120	-17	17	5543	120	-17	17	5543	120	-17	17	5543	120	-17	17	5543
121	-19	19	5562	121	-19	19	5562	121	-19	19	5562	121	-19	19	5562	121	-19	19	5562	121	-19	19	5562	121	-19	19	5562
122	-20	20	5582	122	-20	20	5582	122	-20	20	5582	122	-20	20	5582	122	-20	20	5582	122	-20	20	5582	122	-20	20	5582
123	-24	24	5606	123	-24	24	5606	123	-24	24	5606	123	-24	24	5606	123	-24	24	5606	123	-24	24	5606	123	-24	24	5606
124	-19	19	5625	124	-19	19	5625	124	-19	19	5625	124	-19	19	5625	124	-19	19	5625	124	-19	19	5625	124	-19	19	5625
125	-27	27	5652	125	-27	27	5652	125	-27	27	5652	125	-27	27	5652	125	-27	27	5652	125	-27	27	5652	125	-27	27	5652
126	-21	21	5673	126	-21	21	5673	126	-21	21	5673	126	-21	21	5673	126	-21	21	5673	126	-21	21	5673	126	-21	21	5673
127	-20	20	5693	127	-20	20	5693	127	-20	20	5693	127	-20	20	5693	127	-20	20	5693	127	-20	20	5693	127	-20	20	5693
128	-24	24	5717	128	-24	24	5717	128	-24	24	5717	128	-24	24	5717	128	-24	24	5717	128	-24	24	5717	128	-24	24	5717
129	-23	23	5740	129	-23	23	5740	129	-23	23	5740	129	-23	23	5740	129	-23	23	5740	129	-23	23	5740	129	-23	23	5740
130	-24	24	5764	130	-24	24	5764	130	-24	24	5764	130	-24	24	5764	130	-24	24	5764	130	-24	24	5764	130	-24	24	5764
131	-23	23	5787	131	-23	23	5787	131	-23	23	5787	131	-23	23	5787	131	-23	23	5787	131	-23	23	5787	131	-23	23	5787
132	-20	20	5807	132	-20	20	5807	132	-20	20	5807	132	-20	20	5807	132	-20	20	5807	132	-20	20	5807	132	-20	20	5807
133	-32	32	5839	133	-32	32	5839	133	-32	32	5839	133	-32	32	5839	133	-32	32	5839	133	-32	32	5839	133	-32	32	5839
134	-18	18	5857	134	-18	18	5857	134	-18	18	5857	134	-18	18	5857	134	-18	18	5857	134	-18	18	5857	134	-18	18	5857
135	-20	20	5877	135	-20	20	5877	135	-20	20	5877	135	-20	20	5877	135	-20	20	5877	135	-20	20	5877	135	-20	20	5877
136	-19	19	5896	136	-19	19	5896	136	-19	19	5896	136	-19	19	5896	136	-19	19	5896	136	-19	19	5896	136	-19	19	5896
137	-17	17	5913	137	-17	17	5913	137	-17	17	5913	137	-17	17	5913	137	-17	17	5913	137	-17	17	5913	137	-17	17	5913
138	-17	17	5930	138	-17	17	5930	138	-17	17	5930	138	-17	17	5930	138	-17	17	5930	138	-17	17	5930	138	-17	17	5930
139	-21	21	5951	139	-21	21	5951	139	-21	21	5951	139	-21	21	5951	139	-21	21	5951	139	-21	21	5951	139	-21	21	5951
140	-23	23	5974	140	-23	23	5974	140	-23	23	5974	140	-23	23	5974	140	-23	23	5974	140	-23	23	5974	140	-23	23	5974
141	-26	26	6000	141	-26	26	6000	141	-26	26	6000	141	-26	26	6000	141	-26	26	6000	141	-26	26	6000	141	-26	26	6000
142	-18	18	6018	142	-18	18	6018	142	-18	18	6018	142	-18	18	6018	142	-18	18	6018	142	-18	18	6018	142	-18	18	6018
143	-27	27	6045	143	-27	27	6045	143	-27	27	6045	143	-27	27	6045	143	-27	27	6045	143	-27	27	6045	143	-27	27	6045
144	-23	23	6068	144	-23	23	6068	144	-23	23	6068	144	-23	23	6068	144	-23	23	6068	144	-23	23	6068	144	-23	23	6068
145	-21	21	6089	145	-21	21	6089	145	-21	21	6089	145	-21	21	6089	145	-21	21	6089	145	-21	21	6089	145	-21	21	6089
146	-17	17	6106	146	-17	17	6106	146	-17	17	6106	146	-17	17	6106	146	-17	17	6106	146	-17	17	6106	146	-17	17	6106
147	-20	20	6126	147	-20	20	6126	147	-20	20	6126	147	-20	20	6126	147	-20	20	6126	147	-20	20	6126	147	-20	20	6126
