Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
30	1.0	14	911	30	1.0	14	911	30	1.0	14	911	30	1.0	14	911	30	1.0	14	911	30	1.0	14	911	30	1.0	14	911	30	1.0	14	911	30	1.0	14	911	30	1.0	14	911
31	1.0	16	927	31	1.0	16	927	31	1.0	16	927	31	1.0	16	927	31	1.0	16	927	31	1.0	16	927	31	1.0	16	927	31	1.0	16	927	31	1.0	16	927	31	1.0	16	927
32	1.0	17	944	32	1.0	17	944	32	1.0	17	944	32	1.0	17	944	32	1.0	17	944	32	1.0	17	944	32	1.0	17	944	32	1.0	17	944	32	1.0	17	944	32	1.0	17	944
33	1.0	15	959	33	1.0	15	959	33	1.0	15	959	33	1.0	15	959	33	1.0	15	959	33	1.0	15	959	33	1.0	15	959	33	1.0	15	959	33	1.0	15	959	33	1.0	15	959
34	1.0	14	973	34	1.0	14	973	34	1.0	14	973	34	1.0	14	973	34	1.0	14	973	34	1.0	14	973	34	1.0	14	973	34	1.0	14	973	34	1.0	14	973	34	1.0	14	973
35	1.0	14	987	35	1.0	14	987	35	1.0	14	987	35	1.0	14	987	35	1.0	14	987	35	1.0	14	987	35	1.0	14	987	35	1.0	14	987	35	1.0	14	987	35	1.0	14	987
36	1.0	16	1003	36	1.0	16	1003	36	1.0	16	1003	36	1.0	16	1003	36	1.0	16	1003	36	1.0	16	1003	36	1.0	16	1003	36	1.0	16	1003	36	1.0	16	1003	36	1.0	16	1003
37	1.0	15	1018	37	1.0	15	1018	37	1.0	15	1018	37	1.0	15	1018	37	1.0	15	1018	37	1.0	15	1018	37	1.0	15	1018	37	1.0	15	1018	37	1.0	15	1018	37	1.0	15	1018
38	1.0	14	1032	38	1.0	14	1032	38	1.0	14	1032	38	1.0	14	1032	38	1.0	14	1032	38	1.0	14	1032	38	1.0	14	1032	38	1.0	14	1032	38	1.0	14	1032	38	1.0	14	1032
39	1.0	14	1046	39	1.0	14	1046	39	1.0	14	1046	39	1.0	14	1046	39	1.0	14	1046	39	1.0	14	1046	39	1.0	14	1046	39	1.0	14	1046	39	1.0	14	1046	39	1.0	14	1046
40	1.0	16	1062	40	1.0	16	1062	40	1.0	16	1062	40	1.0	16	1062	40	1.0	16	1062	40	1.0	16	1062	40	1.0	16	1062	40	1.0	16	1062	40	1.0	16	1062	40	1.0	16	1062
41	1.0	15	1077	41	1.0	15	1077	41	1.0	15	1077	41	1.0	15	1077	41	1.0	15	1077	41	1.0	15	1077	41	1.0	15	1077	41	1.0	15	1077	41	1.0	15	1077	41	1.0	15	1077
42	1.0	18	1095	42	1.0	18	1095	42	1.0	18	1095	42	1.0	18	1095	42	1.0	18	1095	42	1.0	18	1095	42	1.0	18	1095	42	1.0	18	1095	42	1.0	18	1095	42	1.0	18	1095
43	1.0	16	1111	43	1.0	16	1111	43	1.0	16	1111	43	1.0	16	1111	43	1.0	16	1111	43	1.0	16	1111	43	1.0	16	1111	43	1.0	16	1111	43	1.0	16	1111	43	1.0	16	1111
44	1.0	16	1127	44	1.0	16	1127	44	1.0	16	1127	44	1.0	16	1127	44	1.0	16	1127	44	1.0	16	1127	44	1.0	16	1127	44	1.0	16	1127	44	1.0	16	1127	44	1.0	16	1127
45	1.0	16	1143	45	1.0	16	1143	45	1.0	16	1143	45	1.0	16	1143	45	1.0	16	1143	45	1.0	16	1143	45	1.0	16	1143	45	1.0	16	1143	45	1.0	16	1143	45	1.0	16	1143
46	1.0	18	1161	46	1.0	18	1161	46	1.0	18	1161	46	1.0	18	1161	46	1.0	18	1161	46	1.0	18	1161	46	1.0	18	1161	46	1.0	18	1161	46	1.0	18	1161	46	1.0	18	1161
47	1.0	17	1178	47	1.0	17	1178	47	1.0	17	1178	47	1.0	17	1178	47	1.0	17	1178	47	1.0	17	1178	47	1.0	17	1178	47	1.0	17	1178	47	1.0	17	1178	47	1.0	17	1178
48	1.0	16	1194	48	1.0	16	1194	48	1.0	16	1194	48	1.0	16	1194	48	1.0	16	1194	48	1.0	16	1194	48	1.0	16	1194	48	1.0	16	1194	48	1.0	16	1194	48	1.0	16	1194
49	1.0	23	1217	49	1.0	23	1217	49	1.0	23	1217	49	1.0	23	1217	49	1.0	23	1217	49	1.0	23	1217	49	1.0	23	1217	49	1.0	23	1217	49	1.0	23	1217	49	1.0	23	1217
