Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
34	1.0	28	1818	34	1.0	28	1818	34	1.0	28	1818	34	1.0	28	1818	34	1.0	28	1818	34	1.0	28	1818	34	1.0	28	1818	34	1.0	28	1818
35	1.0	16	1834	35	1.0	16	1834	35	1.0	16	1834	35	1.0	16	1834	35	1.0	16	1834	35	1.0	16	1834	35	1.0	16	1834	35	1.0	16	1834
36	1.0	18	1852	36	1.0	18	1852	36	1.0	18	1852	36	1.0	18	1852	36	1.0	18	1852	36	1.0	18	1852	36	1.0	18	1852	36	1.0	18	1852
37	1.0	18	1870	37	1.0	18	1870	37	1.0	18	1870	37	1.0	18	1870	37	1.0	18	1870	37	1.0	18	1870	37	1.0	18	1870	37	1.0	18	1870
38	1.0	18	1888	38	1.0	18	1888	38	1.0	18	1888	38	1.0	18	1888	38	1.0	18	1888	38	1.0	18	1888	38	1.0	18	1888	38	1.0	18	1888
39	1.0	21	1909	39	1.0	21	1909	39	1.0	21	1909	39	1.0	21	1909	39	1.0	21	1909	39	1.0	21	1909	39	1.0	21	1909	39	1.0	21	1909
40	1.0	20	1929	40	1.0	20	1929	40	1.0	20	1929	40	1.0	20	1929	40	1.0	20	1929	40	1.0	20	1929	40	1.0	20	1929	40	1.0	20	1929
41	1.0	26	1955	41	1.0	26	1955	41	1.0	26	1955	41	1.0	26	1955	41	1.0	26	1955	41	1.0	26	1955	41	1.0	26	1955	41	1.0	26	1955
42	1.0	20	1975	42	1.0	20	1975	42	1.0	20	1975	42	1.0	20	1975	42	1.0	20	1975	42	1.0	20	1975	42	1.0	20	1975	42	1.0	20	1975
43	1.0	18	1993	43	1.0	18	1993	43	1.0	18	1993	43	1.0	18	1993	43	1.0	18	1993	43	1.0	18	1993	43	1.0	18	1993	43	1.0	18	1993
44	1.0	20	2013	44	1.0	20	2013	44	1.0	20	2013	44	1.0	20	2013	44	1.0	20	2013	44	1.0	20	2013	44	1.0	20	2013	44	1.0	20	2013
45	1.0	26	2039	45	1.0	26	2039	45	1.0	26	2039	45	1.0	26	2039	45	1.0	26	2039	45	1.0	26	2039	45	1.0	26	2039	45	1.0	26	2039
46	1.0	22	2061	46	1.0	22	2061	46	1.0	22	2061	46	1.0	22	2061	46	1.0	22	2061	46	1.0	22	2061	46	1.0	22	2061	46	1.0	22	2061
47	1.0	21	2082	47	1.0	21	2082	47	1.0	21	2082	47	1.0	21	2082	47	1.0	21	2082	47	1.0	21	2082	47	1.0	21	2082	47	1.0	21	2082
48	1.0	19	2101	48	1.0	19	2101	48	1.0	19	2101	48	1.0	19	2101	48	1.0	19	2101	48	1.0	19	2101	48	1.0	19	2101	48	1.0	19	2101
49	1.0	22	2123	49	1.0	22	2123	49	1.0	22	2123	49	1.0	22	2123	49	1.0	22	2123	49	1.0	22	2123	49	1.0	22	2123	49	1.0	22	2123
