Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	262	262	0	1.0	262	262	0	1.0	262	262	0	1.0	262	262	0	1.0	262	262	0	1.0	262	262	0	1.0	262	262	0	1.0	262	262	0	1.0	262	262	0	1.0	262	262	0	1.0	262	262	0	1.0	262	262
1	1.0	987	1249	1	1.0	987	1249	1	1.0	987	1249	1	1.0	987	1249	1	1.0	987	1249	1	1.0	987	1249	1	1.0	987	1249	1	1.0	987	1249	1	1.0	987	1249	1	1.0	987	1249	1	1.0	987	1249	1	1.0	987	1249
2	1.0	109	1358	2	1.0	109	1358	2	1.0	109	1358	2	1.0	109	1358	2	1.0	109	1358	2	1.0	109	1358	2	1.0	109	1358	2	1.0	109	1358	2	1.0	109	1358	2	1.0	109	1358	2	1.0	109	1358	2	1.0	109	1358
3	1.0	899	2257	3	1.0	899	2257	3	1.0	899	2257	3	1.0	899	2257	3	1.0	899	2257	3	1.0	899	2257	3	1.0	899	2257	3	1.0	899	2257	3	1.0	899	2257	3	1.0	899	2257	3	1.0	899	2257	3	1.0	899	2257
4	1.0	661	2918	4	1.0	661	2918	4	1.0	661	2918	4	1.0	661	2918	4	1.0	661	2918	4	1.0	661	2918	4	1.0	661	2918	4	1.0	661	2918	4	1.0	661	2918	4	1.0	661	2918	4	1.0	661	2918	4	1.0	661	2918
5	1.0	324	3242	5	1.0	324	3242	5	1.0	324	3242	5	1.0	324	3242	5	1.0	324	3242	5	1.0	324	3242	5	1.0	324	3242	5	1.0	324	3242	5	1.0	324	3242	5	1.0	324	3242	5	1.0	324	3242	5	1.0	324	3242
6	1.0	153	3395	6	1.0	153	3395	6	1.0	153	3395	6	1.0	153	3395	6	1.0	153	3395	6	1.0	153	3395	6	1.0	153	3395	6	1.0	153	3395	6	1.0	153	3395	6	1.0	153	3395	6	1.0	153	3395	6	1.0	153	3395
7	1.0	214	3609	7	1.0	214	3609	7	1.0	214	3609	7	1.0	214	3609	7	1.0	214	3609	7	1.0	214	3609	7	1.0	214	3609	7	1.0	214	3609	7	1.0	214	3609	7	1.0	214	3609	7	1.0	214	3609	7	1.0	214	3609
8	1.0	44	3653	8	1.0	44	3653	8	1.0	44	3653	8	1.0	44	3653	8	1.0	44	3653	8	1.0	44	3653	8	1.0	44	3653	8	1.0	44	3653	8	1.0	44	3653	8	1.0	44	3653	8	1.0	44	3653	8	1.0	44	3653
9	1.0	34	3687	9	1.0	34	3687	9	1.0	34	3687	9	1.0	34	3687	9	1.0	34	3687	9	1.0	34	3687	9	1.0	34	3687	9	1.0	34	3687	9	1.0	34	3687	9	1.0	34	3687	9	1.0	34	3687	9	1.0	34	3687
10	1.0	35	3722	10	1.0	35	3722	10	1.0	35	3722	10	1.0	35	3722	10	1.0	35	3722	10	1.0	35	3722	10	1.0	35	3722	10	1.0	35	3722	10	1.0	35	3722	10	1.0	35	3722	10	1.0	35	3722	10	1.0	35	3722
11	1.0	111	3833	11	1.0	111	3833	11	1.0	111	3833	11	1.0	111	3833	11	1.0	111	3833	11	1.0	111	3833	11	1.0	111	3833	11	1.0	111	3833	11	1.0	111	3833	11	1.0	111	3833	11	1.0	111	3833	11	1.0	111	3833
12	1.0	42	3875	12	1.0	42	3875	12	1.0	42	3875	12	1.0	42	3875	12	1.0	42	3875	12	1.0	42	3875	12	1.0	42	3875	12	1.0	42	3875	12	1.0	42	3875	12	1.0	42	3875	12	1.0	42	3875	12	1.0	42	3875
13	1.0	55	3930	13	1.0	55	3930	13	1.0	55	3930	13	1.0	55	3930	13	1.0	55	3930	13	1.0	55	3930	13	1.0	55	3930	13	1.0	55	3930	13	1.0	55	3930	13	1.0	55	3930	13	1.0	55	3930	13	1.0	55	3930
14	1.0	30	3960	14	1.0	30	3960	14	1.0	30	3960	14	1.0	30	3960	14	1.0	30	3960	14	1.0	30	3960	14	1.0	30	3960	14	1.0	30	3960	14	1.0	30	3960	14	1.0	30	3960	14	1.0	30	3960	14	1.0	30	3960
15	1.0	39	3999	15	1.0	39	3999	15	1.0	39	3999	15	1.0	39	3999	15	1.0	39	3999	15	1.0	39	3999	15	1.0	39	3999	15	1.0	39	3999	15	1.0	39	3999	15	1.0	39	3999	15	1.0	39	3999	15	1.0	39	3999
16	1.0	121	4120	16	1.0	121	4120	16	1.0	121	4120	16	1.0	121	4120	16	1.0	121	4120	16	1.0	121	4120	16	1.0	121	4120	16	1.0	121	4120	16	1.0	121	4120	16	1.0	121	4120	16	1.0	121	4120	16	1.0	121	4120
17	1.0	424	4544	17	1.0	424	4544	17	1.0	424	4544	17	1.0	424	4544	17	1.0	424	4544	17	1.0	424	4544	17	1.0	424	4544	17	1.0	424	4544	17	1.0	424	4544	17	1.0	424	4544	17	1.0	424	4544	17	1.0	424	4544
18	1.0	81	4625	18	1.0	81	4625	18	1.0	81	4625	18	1.0	81	4625	18	1.0	81	4625	18	1.0	81	4625	18	1.0	81	4625	18	1.0	81	4625	18	1.0	81	4625	18	1.0	81	4625	18	1.0	81	4625	18	1.0	81	4625
19	1.0	203	4828	19	1.0	203	4828	19	1.0	203	4828	19	1.0	203	4828	19	1.0	203	4828	19	1.0	203	4828	19	1.0	203	4828	19	1.0	203	4828	19	1.0	203	4828	19	1.0	203	4828	19	1.0	203	4828	19	1.0	203	4828
20	1.0	58	4886	20	1.0	58	4886	20	1.0	58	4886	20	1.0	58	4886	20	1.0	58	4886	20	1.0	58	4886	20	1.0	58	4886	20	1.0	58	4886	20	1.0	58	4886	20	1.0	58	4886	20	1.0	58	4886	20	1.0	58	4886
