Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998	23	-36	36	1998
24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023	24	-25	25	2023
25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052	25	-29	29	2052
26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087	26	-35	35	2087
27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127	27	-40	40	2127
28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185	28	-58	58	2185
29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207	29	-22	22	2207
30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228	30	-21	21	2228
31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261	31	-33	33	2261
32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296	32	-134	35	2296
33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319	33	-23	23	2319
