Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
110	-32	32	7820	110	-32	32	7820	110	-32	32	7820	110	-32	32	7820	110	-32	32	7820	110	-32	32	7820	110	-32	32	7820	110	-32	32	7820	110	-32	32	7820	110	-32	32	7820	110	-32	32	7820	110	-32	32	7820
111	-35	35	7855	111	-35	35	7855	111	-35	35	7855	111	-35	35	7855	111	-35	35	7855	111	-35	35	7855	111	-35	35	7855	111	-35	35	7855	111	-35	35	7855	111	-35	35	7855	111	-35	35	7855	111	-35	35	7855
112	-31	31	7886	112	-31	31	7886	112	-31	31	7886	112	-31	31	7886	112	-31	31	7886	112	-31	31	7886	112	-31	31	7886	112	-31	31	7886	112	-31	31	7886	112	-31	31	7886	112	-31	31	7886	112	-31	31	7886
113	-36	36	7922	113	-36	36	7922	113	-36	36	7922	113	-36	36	7922	113	-36	36	7922	113	-36	36	7922	113	-36	36	7922	113	-36	36	7922	113	-36	36	7922	113	-36	36	7922	113	-36	36	7922	113	-36	36	7922
114	-32	32	7954	114	-32	32	7954	114	-32	32	7954	114	-32	32	7954	114	-32	32	7954	114	-32	32	7954	114	-32	32	7954	114	-32	32	7954	114	-32	32	7954	114	-32	32	7954	114	-32	32	7954	114	-32	32	7954
115	-22	22	7976	115	-22	22	7976	115	-22	22	7976	115	-22	22	7976	115	-22	22	7976	115	-22	22	7976	115	-22	22	7976	115	-22	22	7976	115	-22	22	7976	115	-22	22	7976	115	-22	22	7976	115	-22	22	7976
116	-27	27	8003	116	-27	27	8003	116	-27	27	8003	116	-27	27	8003	116	-27	27	8003	116	-27	27	8003	116	-27	27	8003	116	-27	27	8003	116	-27	27	8003	116	-27	27	8003	116	-27	27	8003	116	-27	27	8003
117	-17	17	8020	117	-17	17	8020	117	-17	17	8020	117	-17	17	8020	117	-17	17	8020	117	-17	17	8020	117	-17	17	8020	117	-17	17	8020	117	-17	17	8020	117	-17	17	8020	117	-17	17	8020	117	-17	17	8020
118	-37	37	8057	118	-37	37	8057	118	-37	37	8057	118	-37	37	8057	118	-37	37	8057	118	-37	37	8057	118	-37	37	8057	118	-37	37	8057	118	-37	37	8057	118	-37	37	8057	118	-37	37	8057	118	-37	37	8057
119	-39	39	8096	119	-39	39	8096	119	-39	39	8096	119	-39	39	8096	119	-39	39	8096	119	-39	39	8096	119	-39	39	8096	119	-39	39	8096	119	-39	39	8096	119	-39	39	8096	119	-39	39	8096	119	-39	39	8096
120	-24	24	8120	120	-24	24	8120	120	-24	24	8120	120	-24	24	8120	120	-24	24	8120	120	-24	24	8120	120	-24	24	8120	120	-24	24	8120	120	-24	24	8120	120	-24	24	8120	120	-24	24	8120	120	-24	24	8120
121	-31	31	8151	121	-31	31	8151	121	-31	31	8151	121	-31	31	8151	121	-31	31	8151	121	-31	31	8151	121	-31	31	8151	121	-31	31	8151	121	-31	31	8151	121	-31	31	8151	121	-31	31	8151	121	-31	31	8151
122	-29	29	8180	122	-29	29	8180	122	-29	29	8180	122	-29	29	8180	122	-29	29	8180	122	-29	29	8180	122	-29	29	8180	122	-29	29	8180	122	-29	29	8180	122	-29	29	8180	122	-29	29	8180	122	-29	29	8180
123	-21	21	8201	123	-21	21	8201	123	-21	21	8201	123	-21	21	8201	123	-21	21	8201	123	-21	21	8201	123	-21	21	8201	123	-21	21	8201	123	-21	21	8201	123	-21	21	8201	123	-21	21	8201	123	-21	21	8201
124	-24	24	8225	124	-24	24	8225	124	-24	24	8225	124	-24	24	8225	124	-24	24	8225	124	-24	24	8225	124	-24	24	8225	124	-24	24	8225	124	-24	24	8225	124	-24	24	8225	124	-24	24	8225	124	-24	24	8225
125	-28	28	8253	125	-28	28	8253	125	-28	28	8253	125	-28	28	8253	125	-28	28	8253	125	-28	28	8253	125	-28	28	8253	125	-28	28	8253	125	-28	28	8253	125	-28	28	8253	125	-28	28	8253	125	-28	28	8253
126	-19	19	8272	126	-19	19	8272	126	-19	19	8272	126	-19	19	8272	126	-19	19	8272	126	-19	19	8272	126	-19	19	8272	126	-19	19	8272	126	-19	19	8272	126	-19	19	8272	126	-19	19	8272	126	-19	19	8272
127	-31	31	8303	127	-31	31	8303	127	-31	31	8303	127	-31	31	8303	127	-31	31	8303	127	-31	31	8303	127	-31	31	8303	127	-31	31	8303	127	-31	31	8303	127	-31	31	8303	127	-31	31	8303	127	-31	31	8303
128	-30	30	8333	128	-30	30	8333	128	-30	30	8333	128	-30	30	8333	128	-30	30	8333	128	-30	30	8333	128	-30	30	8333	128	-30	30	8333	128	-30	30	8333	128	-30	30	8333	128	-30	30	8333	128	-30	30	8333
129	-28	28	8361	129	-28	28	8361	129	-28	28	8361	129	-28	28	8361	129	-28	28	8361	129	-28	28	8361	129	-28	28	8361	129	-28	28	8361	129	-28	28	8361	129	-28	28	8361	129	-28	28	8361	129	-28	28	8361
130	-158	59	8420	130	-158	59	8420	130	-158	59	8420	130	-158	59	8420	130	-158	59	8420	130	-158	59	8420	130	-158	59	8420	130	-158	59	8420	130	-158	59	8420	130	-158	59	8420	130	-158	59	8420	130	-158	59	8420
131	-31	31	8451	131	-31	31	8451	131	-31	31	8451	131	-31	31	8451	131	-31	31	8451	131	-31	31	8451	131	-31	31	8451	131	-31	31	8451	131	-31	31	8451	131	-31	31	8451	131	-31	31	8451	131	-31	31	8451
132	-130	31	8482	132	-130	31	8482	132	-130	31	8482	132	-130	31	8482	132	-130	31	8482	132	-130	31	8482	132	-130	31	8482	132	-130	31	8482	132	-130	31	8482	132	-130	31	8482	132	-130	31	8482	132	-130	31	8482
133	-29	29	8511	133	-29	29	8511	133	-29	29	8511	133	-29	29	8511	133	-29	29	8511	133	-29	29	8511	133	-29	29	8511	133	-29	29	8511	133	-29	29	8511	133	-29	29	8511	133	-29	29	8511	133	-29	29	8511
134	-17	17	8528	134	-17	17	8528	134	-17	17	8528	134	-17	17	8528	134	-17	17	8528	134	-17	17	8528	134	-17	17	8528	134	-17	17	8528	134	-17	17	8528	134	-17	17	8528	134	-17	17	8528	134	-17	17	8528
135	-21	21	8549	135	-21	21	8549	135	-21	21	8549	135	-21	21	8549	135	-21	21	8549	135	-21	21	8549	135	-21	21	8549	135	-21	21	8549	135	-21	21	8549	135	-21	21	8549	135	-21	21	8549	135	-21	21	8549
136	-30	30	8579	136	-30	30	8579	136	-30	30	8579	136	-30	30	8579	136	-30	30	8579	136	-30	30	8579	136	-30	30	8579	136	-30	30	8579	136	-30	30	8579	136	-30	30	8579	136	-30	30	8579	136	-30	30	8579
137	-22	22	8601	137	-22	22	8601	137	-22	22	8601	137	-22	22	8601	137	-22	22	8601	137	-22	22	8601	137	-22	22	8601	137	-22	22	8601	137	-22	22	8601	137	-22	22	8601	137	-22	22	8601	137	-22	22	8601
138	-25	25	8626	138	-25	25	8626	138	-25	25	8626	138	-25	25	8626	138	-25	25	8626	138	-25	25	8626	138	-25	25	8626	138	-25	25	8626	138	-25	25	8626	138	-25	25	8626	138	-25	25	8626	138	-25	25	8626
139	-29	29	8655	139	-29	29	8655	139	-29	29	8655	139	-29	29	8655	139	-29	29	8655	139	-29	29	8655	139	-29	29	8655	139	-29	29	8655	139	-29	29	8655	139	-29	29	8655	139	-29	29	8655	139	-29	29	8655
140	-20	20	8675	140	-20	20	8675	140	-20	20	8675	140	-20	20	8675	140	-20	20	8675	140	-20	20	8675	140	-20	20	8675	140	-20	20	8675	140	-20	20	8675	140	-20	20	8675	140	-20	20	8675	140	-20	20	8675
141	-22	22	8697	141	-22	22	8697	141	-22	22	8697	141	-22	22	8697	141	-22	22	8697	141	-22	22	8697	141	-22	22	8697	141	-22	22	8697	141	-22	22	8697	141	-22	22	8697	141	-22	22	8697	141	-22	22	8697
142	-29	29	8726	142	-29	29	8726	142	-29	29	8726	142	-29	29	8726	142	-29	29	8726	142	-29	29	8726	142	-29	29	8726	142	-29	29	8726	142	-29	29	8726	142	-29	29	8726	142	-29	29	8726	142	-29	29	8726
143	-34	34	8760	143	-34	34	8760	143	-34	34	8760	143	-34	34	8760	143	-34	34	8760	143	-34	34	8760	143	-34	34	8760	143	-34	34	8760	143	-34	34	8760	143	-34	34	8760	143	-34	34	8760	143	-34	34	8760
144	-24	24	8784	144	-24	24	8784	144	-24	24	8784	144	-24	24	8784	144	-24	24	8784	144	-24	24	8784	144	-24	24	8784	144	-24	24	8784	144	-24	24	8784	144	-24	24	8784	144	-24	24	8784	144	-24	24	8784
145	-26	26	8810	145	-26	26	8810	145	-26	26	8810	145	-26	26	8810	145	-26	26	8810	145	-26	26	8810	145	-26	26	8810	145	-26	26	8810	145	-26	26	8810	145	-26	26	8810	145	-26	26	8810	145	-26	26	8810
146	-21	21	8831	146	-21	21	8831	146	-21	21	8831	146	-21	21	8831	146	-21	21	8831	146	-21	21	8831	146	-21	21	8831	146	-21	21	8831	146	-21	21	8831	146	-21	21	8831	146	-21	21	8831	146	-21	21	8831
147	-124	25	8856	147	-124	25	8856	147	-124	25	8856	147	-124	25	8856	147	-124	25	8856	147	-124	25	8856	147	-124	25	8856	147	-124	25	8856	147	-124	25	8856	147	-124	25	8856	147	-124	25	8856	147	-124	25	8856
148	-22	22	8878	148	-22	22	8878	148	-22	22	8878	148	-22	22	8878	148	-22	22	8878	148	-22	22	8878	148	-22	22	8878	148	-22	22	8878	148	-22	22	8878	148	-22	22	8878	148	-22	22	8878	148	-22	22	8878
149	-28	28	8906	149	-28	28	8906	149	-28	28	8906	149	-28	28	8906	149	-28	28	8906	149	-28	28	8906	149	-28	28	8906	149	-28	28	8906	149	-28	28	8906	149	-28	28	8906	149	-28	28	8906	149	-28	28	8906
150	-19	19	8925	150	-19	19	8925	150	-19	19	8925	150	-19	19	8925	150	-19	19	8925	150	-19	19	8925	150	-19	19	8925	150	-19	19	8925	150	-19	19	8925	150	-19	19	8925	150	-19	19	8925	150	-19	19	8925
151	-24	24	8949	151	-24	24	8949	151	-24	24	8949	151	-24	24	8949	151	-24	24	8949	151	-24	24	8949	151	-24	24	8949	151	-24	24	8949	151	-24	24	8949	151	-24	24	8949	151	-24	24	8949	151	-24	24	8949
152	-23	23	8972	152	-23	23	8972	152	-23	23	8972	152	-23	23	8972	152	-23	23	8972	152	-23	23	8972	152	-23	23	8972	152	-23	23	8972	152	-23	23	8972	152	-23	23	8972	152	-23	23	8972	152	-23	23	8972
153	-21	21	8993	153	-21	21	8993	153	-21	21	8993	153	-21	21	8993	153	-21	21	8993	153	-21	21	8993	153	-21	21	8993	153	-21	21	8993	153	-21	21	8993	153	-21	21	8993	153	-21	21	8993	153	-21	21	8993
154	-29	29	9022	154	-29	29	9022	154	-29	29	9022	154	-29	29	9022	154	-29	29	9022	154	-29	29	9022	154	-29	29	9022	154	-29	29	9022	154	-29	29	9022	154	-29	29	9022	154	-29	29	9022	154	-29	29	9022
155	-30	30	9052	155	-30	30	9052	155	-30	30	9052	155	-30	30	9052	155	-30	30	9052	155	-30	30	9052	155	-30	30	9052	155	-30	30	9052	155	-30	30	9052	155	-30	30	9052	155	-30	30	9052	155	-30	30	9052
156	-25	25	9077	156	-25	25	9077	156	-25	25	9077	156	-25	25	9077	156	-25	25	9077	156	-25	25	9077	156	-25	25	9077	156	-25	25	9077	156	-25	25	9077	156	-25	25	9077	156	-25	25	9077	156	-25	25	9077
157	-21	21	9098	157	-21	21	9098	157	-21	21	9098	157	-21	21	9098	157	-21	21	9098	157	-21	21	9098	157	-21	21	9098	157	-21	21	9098	157	-21	21	9098	157	-21	21	9098	157	-21	21	9098	157	-21	21	9098
158	-139	40	9138	158	-139	40	9138	158	-139	40	9138	158	-139	40	9138	158	-139	40	9138	158	-139	40	9138	158	-139	40	9138	158	-139	40	9138	158	-139	40	9138	158	-139	40	9138	158	-139	40	9138	158	-139	40	9138
159	-245	47	9185	159	-245	47	9185	159	-245	47	9185	159	-245	47	9185	159	-245	47	9185	159	-245	47	9185	159	-245	47	9185	159	-245	47	9185	159	-245	47	9185	159	-245	47	9185	159	-245	47	9185	159	-245	47	9185
160	-135	36	9221	160	-135	36	9221	160	-135	36	9221	160	-135	36	9221	160	-135	36	9221	160	-135	36	9221	160	-135	36	9221	160	-135	36	9221	160	-135	36	9221	160	-135	36	9221	160	-135	36	9221	160	-135	36	9221
161	-24	24	9245	161	-24	24	9245	161	-24	24	9245	161	-24	24	9245	161	-24	24	9245	161	-24	24	9245	161	-24	24	9245	161	-24	24	9245	161	-24	24	9245	161	-24	24	9245	161	-24	24	9245	161	-24	24	9245
162	-27	27	9272	162	-27	27	9272	162	-27	27	9272	162	-27	27	9272	162	-27	27	9272	162	-27	27	9272	162	-27	27	9272	162	-27	27	9272	162	-27	27	9272	162	-27	27	9272	162	-27	27	9272	162	-27	27	9272
163	-22	22	9294	163	-22	22	9294	163	-22	22	9294	163	-22	22	9294	163	-22	22	9294	163	-22	22	9294	163	-22	22	9294	163	-22	22	9294	163	-22	22	9294	163	-22	22	9294	163	-22	22	9294	163	-22	22	9294
164	-29	29	9323	164	-29	29	9323	164	-29	29	9323	164	-29	29	9323	164	-29	29	9323	164	-29	29	9323	164	-29	29	9323	164	-29	29	9323	164	-29	29	9323	164	-29	29	9323	164	-29	29	9323	164	-29	29	9323
165	-18	18	9341	165	-18	18	9341	165	-18	18	9341	165	-18	18	9341	165	-18	18	9341	165	-18	18	9341	165	-18	18	9341	165	-18	18	9341	165	-18	18	9341	165	-18	18	9341	165	-18	18	9341	165	-18	18	9341
166	-18	18	9359	166	-18	18	9359	166	-18	18	9359	166	-18	18	9359	166	-18	18	9359	166	-18	18	9359	166	-18	18	9359	166	-18	18	9359	166	-18	18	9359	166	-18	18	9359	166	-18	18	9359	166	-18	18	9359
167	-24	24	9383	167	-24	24	9383	167	-24	24	9383	167	-24	24	9383	167	-24	24	9383	167	-24	24	9383	167	-24	24	9383	167	-24	24	9383	167	-24	24	9383	167	-24	24	9383	167	-24	24	9383	167	-24	24	9383
168	-37	37	9420	168	-37	37	9420	168	-37	37	9420	168	-37	37	9420	168	-37	37	9420	168	-37	37	9420	168	-37	37	9420	168	-37	37	9420	168	-37	37	9420	168	-37	37	9420	168	-37	37	9420	168	-37	37	9420
169	-22	22	9442	169	-22	22	9442	169	-22	22	9442	169	-22	22	9442	169	-22	22	9442	169	-22	22	9442	169	-22	22	9442	169	-22	22	9442	169	-22	22	9442	169	-22	22	9442	169	-22	22	9442	169	-22	22	9442
170	-19	19	9461	170	-19	19	9461	170	-19	19	9461	170	-19	19	9461	170	-19	19	9461	170	-19	19	9461	170	-19	19	9461	170	-19	19	9461	170	-19	19	9461	170	-19	19	9461	170	-19	19	9461	170	-19	19	9461
171	-26	26	9487	171	-26	26	9487	171	-26	26	9487	171	-26	26	9487	171	-26	26	9487	171	-26	26	9487	171	-26	26	9487	171	-26	26	9487	171	-26	26	9487	171	-26	26	9487	171	-26	26	9487	171	-26	26	9487
172	-26	26	9513	172	-26	26	9513	172	-26	26	9513	172	-26	26	9513	172	-26	26	9513	172	-26	26	9513	172	-26	26	9513	172	-26	26	9513	172	-26	26	9513	172	-26	26	9513	172	-26	26	9513	172	-26	26	9513
173	-21	21	9534	173	-21	21	9534	173	-21	21	9534	173	-21	21	9534	173	-21	21	9534	173	-21	21	9534	173	-21	21	9534	173	-21	21	9534	173	-21	21	9534	173	-21	21	9534	173	-21	21	9534	173	-21	21	9534
174	-32	32	9566	174	-32	32	9566	174	-32	32	9566	174	-32	32	9566	174	-32	32	9566	174	-32	32	9566	174	-32	32	9566	174	-32	32	9566	174	-32	32	9566	174	-32	32	9566	174	-32	32	9566	174	-32	32	9566
175	-324	27	9593	175	-324	27	9593	175	-324	27	9593	175	-324	27	9593	175	-324	27	9593	175	-324	27	9593	175	-324	27	9593	175	-324	27	9593	175	-324	27	9593	175	-324	27	9593	175	-324	27	9593	175	-324	27	9593
176	-20	20	9613	176	-20	20	9613	176	-20	20	9613	176	-20	20	9613	176	-20	20	9613	176	-20	20	9613	176	-20	20	9613	176	-20	20	9613	176	-20	20	9613	176	-20	20	9613	176	-20	20	9613	176	-20	20	9613
177	-19	19	9632	177	-19	19	9632	177	-19	19	9632	177	-19	19	9632	177	-19	19	9632	177	-19	19	9632	177	-19	19	9632	177	-19	19	9632	177	-19	19	9632	177	-19	19	9632	177	-19	19	9632	177	-19	19	9632
178	-27	27	9659	178	-27	27	9659	178	-27	27	9659	178	-27	27	9659	178	-27	27	9659	178	-27	27	9659	178	-27	27	9659	178	-27	27	9659	178	-27	27	9659	178	-27	27	9659	178	-27	27	9659	178	-27	27	9659
179	-19	19	9678	179	-19	19	9678	179	-19	19	9678	179	-19	19	9678	179	-19	19	9678	179	-19	19	9678	179	-19	19	9678	179	-19	19	9678	179	-19	19	9678	179	-19	19	9678	179	-19	19	9678	179	-19	19	9678
180	-21	21	9699	180	-21	21	9699	180	-21	21	9699	180	-21	21	9699	180	-21	21	9699	180	-21	21	9699	180	-21	21	9699	180	-21	21	9699	180	-21	21	9699	180	-21	21	9699	180	-21	21	9699	180	-21	21	9699
181	-129	30	9729	181	-129	30	9729	181	-129	30	9729	181	-129	30	9729	181	-129	30	9729	181	-129	30	9729	181	-129	30	9729	181	-129	30	9729	181	-129	30	9729	181	-129	30	9729	181	-129	30	9729	181	-129	30	9729
182	-120	21	9750	182	-120	21	9750	182	-120	21	9750	182	-120	21	9750	182	-120	21	9750	182	-120	21	9750	182	-120	21	9750	182	-120	21	9750	182	-120	21	9750	182	-120	21	9750	182	-120	21	9750	182	-120	21	9750
183	-125	26	9776	183	-125	26	9776	183	-125	26	9776	183	-125	26	9776	183	-125	26	9776	183	-125	26	9776	183	-125	26	9776	183	-125	26	9776	183	-125	26	9776	183	-125	26	9776	183	-125	26	9776	183	-125	26	9776
184	-22	22	9798	184	-22	22	9798	184	-22	22	9798	184	-22	22	9798	184	-22	22	9798	184	-22	22	9798	184	-22	22	9798	184	-22	22	9798	184	-22	22	9798	184	-22	22	9798	184	-22	22	9798	184	-22	22	9798
185	-21	21	9819	185	-21	21	9819	185	-21	21	9819	185	-21	21	9819	185	-21	21	9819	185	-21	21	9819	185	-21	21	9819	185	-21	21	9819	185	-21	21	9819	185	-21	21	9819	185	-21	21	9819	185	-21	21	9819
186	-30	30	9849	186	-30	30	9849	186	-30	30	9849	186	-30	30	9849	186	-30	30	9849	186	-30	30	9849	186	-30	30	9849	186	-30	30	9849	186	-30	30	9849	186	-30	30	9849	186	-30	30	9849	186	-30	30	9849
187	-20	20	9869	187	-20	20	9869	187	-20	20	9869	187	-20	20	9869	187	-20	20	9869	187	-20	20	9869	187	-20	20	9869	187	-20	20	9869	187	-20	20	9869	187	-20	20	9869	187	-20	20	9869	187	-20	20	9869
188	-19	19	9888	188	-19	19	9888	188	-19	19	9888	188	-19	19	9888	188	-19	19	9888	188	-19	19	9888	188	-19	19	9888	188	-19	19	9888	188	-19	19	9888	188	-19	19	9888	188	-19	19	9888	188	-19	19	9888
189	-21	21	9909	189	-21	21	9909	189	-21	21	9909	189	-21	21	9909	189	-21	21	9909	189	-21	21	9909	189	-21	21	9909	189	-21	21	9909	189	-21	21	9909	189	-21	21	9909	189	-21	21	9909	189	-21	21	9909
190	-224	26	9935	190	-224	26	9935	190	-224	26	9935	190	-224	26	9935	190	-224	26	9935	190	-224	26	9935	190	-224	26	9935	190	-224	26	9935	190	-224	26	9935	190	-224	26	9935	190	-224	26	9935	190	-224	26	9935
191	-19	19	9954	191	-19	19	9954	191	-19	19	9954	191	-19	19	9954	191	-19	19	9954	191	-19	19	9954	191	-19	19	9954	191	-19	19	9954	191	-19	19	9954	191	-19	19	9954	191	-19	19	9954	191	-19	19	9954
192	-22	22	9976	192	-22	22	9976	192	-22	22	9976	192	-22	22	9976	192	-22	22	9976	192	-22	22	9976	192	-22	22	9976	192	-22	22	9976	192	-22	22	9976	192	-22	22	9976	192	-22	22	9976	192	-22	22	9976
193	-118	19	9995	193	-118	19	9995	193	-118	19	9995	193	-118	19	9995	193	-118	19	9995	193	-118	19	9995	193	-118	19	9995	193	-118	19	9995	193	-118	19	9995	193	-118	19	9995	193	-118	19	9995	193	-118	19	9995
194	-18	18	10013	194	-18	18	10013	194	-18	18	10013	194	-18	18	10013	194	-18	18	10013	194	-18	18	10013	194	-18	18	10013	194	-18	18	10013	194	-18	18	10013	194	-18	18	10013	194	-18	18	10013	194	-18	18	10013
195	-23	23	10036	195	-23	23	10036	195	-23	23	10036	195	-23	23	10036	195	-23	23	10036	195	-23	23	10036	195	-23	23	10036	195	-23	23	10036	195	-23	23	10036	195	-23	23	10036	195	-23	23	10036	195	-23	23	10036
196	-19	19	10055	196	-19	19	10055	196	-19	19	10055	196	-19	19	10055	196	-19	19	10055	196	-19	19	10055	196	-19	19	10055	196	-19	19	10055	196	-19	19	10055	196	-19	19	10055	196	-19	19	10055	196	-19	19	10055
197	-25	25	10080	197	-25	25	10080	197	-25	25	10080	197	-25	25	10080	197	-25	25	10080	197	-25	25	10080	197	-25	25	10080	197	-25	25	10080	197	-25	25	10080	197	-25	25	10080	197	-25	25	10080	197	-25	25	10080
198	-21	21	10101	198	-21	21	10101	198	-21	21	10101	198	-21	21	10101	198	-21	21	10101	198	-21	21	10101	198	-21	21	10101	198	-21	21	10101	198	-21	21	10101	198	-21	21	10101	198	-21	21	10101	198	-21	21	10101
199	-17	17	10118	199	-17	17	10118	199	-17	17	10118	199	-17	17	10118	199	-17	17	10118	199	-17	17	10118	199	-17	17	10118	199	-17	17	10118	199	-17	17	10118	199	-17	17	10118	199	-17	17	10118	199	-17	17	10118
200	-22	22	10140	200	-22	22	10140	200	-22	22	10140	200	-22	22	10140	200	-22	22	10140	200	-22	22	10140	200	-22	22	10140	200	-22	22	10140	200	-22	22	10140	200	-22	22	10140	200	-22	22	10140	200	-22	22	10140
201	-24	24	10164	201	-24	24	10164	201	-24	24	10164	201	-24	24	10164	201	-24	24	10164	201	-24	24	10164	201	-24	24	10164	201	-24	24	10164	201	-24	24	10164	201	-24	24	10164	201	-24	24	10164	201	-24	24	10164
202	-19	19	10183	202	-19	19	10183	202	-19	19	10183	202	-19	19	10183	202	-19	19	10183	202	-19	19	10183	202	-19	19	10183	202	-19	19	10183	202	-19	19	10183	202	-19	19	10183	202	-19	19	10183	202	-19	19	10183
203	-26	26	10209	203	-26	26	10209	203	-26	26	10209	203	-26	26	10209	203	-26	26	10209	203	-26	26	10209	203	-26	26	10209	203	-26	26	10209	203	-26	26	10209	203	-26	26	10209	203	-26	26	10209	203	-26	26	10209
204	-25	25	10234	204	-25	25	10234	204	-25	25	10234	204	-25	25	10234	204	-25	25	10234	204	-25	25	10234	204	-25	25	10234	204	-25	25	10234	204	-25	25	10234	204	-25	25	10234	204	-25	25	10234	204	-25	25	10234
205	-21	21	10255	205	-21	21	10255	205	-21	21	10255	205	-21	21	10255	205	-21	21	10255	205	-21	21	10255	205	-21	21	10255	205	-21	21	10255	205	-21	21	10255	205	-21	21	10255	205	-21	21	10255	205	-21	21	10255
206	-19	19	10274	206	-19	19	10274	206	-19	19	10274	206	-19	19	10274	206	-19	19	10274	206	-19	19	10274	206	-19	19	10274	206	-19	19	10274	206	-19	19	10274	206	-19	19	10274	206	-19	19	10274	206	-19	19	10274
207	-24	24	10298	207	-24	24	10298	207	-24	24	10298	207	-24	24	10298	207	-24	24	10298	207	-24	24	10298	207	-24	24	10298	207	-24	24	10298	207	-24	24	10298	207	-24	24	10298	207	-24	24	10298	207	-24	24	10298
208	-17	17	10315	208	-17	17	10315	208	-17	17	10315	208	-17	17	10315	208	-17	17	10315	208	-17	17	10315	208	-17	17	10315	208	-17	17	10315	208	-17	17	10315	208	-17	17	10315	208	-17	17	10315	208	-17	17	10315
209	-25	25	10340	209	-25	25	10340	209	-25	25	10340	209	-25	25	10340	209	-25	25	10340	209	-25	25	10340	209	-25	25	10340	209	-25	25	10340	209	-25	25	10340	209	-25	25	10340	209	-25	25	10340	209	-25	25	10340
210	-19	19	10359	210	-19	19	10359	210	-19	19	10359	210	-19	19	10359	210	-19	19	10359	210	-19	19	10359	210	-19	19	10359	210	-19	19	10359	210	-19	19	10359	210	-19	19	10359	210	-19	19	10359	210	-19	19	10359
211	-18	18	10377	211	-18	18	10377	211	-18	18	10377	211	-18	18	10377	211	-18	18	10377	211	-18	18	10377	211	-18	18	10377	211	-18	18	10377	211	-18	18	10377	211	-18	18	10377	211	-18	18	10377	211	-18	18	10377
212	-20	20	10397	212	-20	20	10397	212	-20	20	10397	212	-20	20	10397	212	-20	20	10397	212	-20	20	10397	212	-20	20	10397	212	-20	20	10397	212	-20	20	10397	212	-20	20	10397	212	-20	20	10397	212	-20	20	10397
213	-134	35	10432	213	-134	35	10432	213	-134	35	10432	213	-134	35	10432	213	-134	35	10432	213	-134	35	10432	213	-134	35	10432	213	-134	35	10432	213	-134	35	10432	213	-134	35	10432	213	-134	35	10432	213	-134	35	10432
214	-18	18	10450	214	-18	18	10450	214	-18	18	10450	214	-18	18	10450	214	-18	18	10450	214	-18	18	10450	214	-18	18	10450	214	-18	18	10450	214	-18	18	10450	214	-18	18	10450	214	-18	18	10450	214	-18	18	10450
215	-19	19	10469	215	-19	19	10469	215	-19	19	10469	215	-19	19	10469	215	-19	19	10469	215	-19	19	10469	215	-19	19	10469	215	-19	19	10469	215	-19	19	10469	215	-19	19	10469	215	-19	19	10469	215	-19	19	10469
216	-20	20	10489	216	-20	20	10489	216	-20	20	10489	216	-20	20	10489	216	-20	20	10489	216	-20	20	10489	216	-20	20	10489	216	-20	20	10489	216	-20	20	10489	216	-20	20	10489	216	-20	20	10489	216	-20	20	10489
217	-17	17	10506	217	-17	17	10506	217	-17	17	10506	217	-17	17	10506	217	-17	17	10506	217	-17	17	10506	217	-17	17	10506	217	-17	17	10506	217	-17	17	10506	217	-17	17	10506	217	-17	17	10506	217	-17	17	10506
218	-19	19	10525	218	-19	19	10525	218	-19	19	10525	218	-19	19	10525	218	-19	19	10525	218	-19	19	10525	218	-19	19	10525	218	-19	19	10525	218	-19	19	10525	218	-19	19	10525	218	-19	19	10525	218	-19	19	10525
219	-29	29	10554	219	-29	29	10554	219	-29	29	10554	219	-29	29	10554	219	-29	29	10554	219	-29	29	10554	219	-29	29	10554	219	-29	29	10554	219	-29	29	10554	219	-29	29	10554	219	-29	29	10554	219	-29	29	10554
220	-18	18	10572	220	-18	18	10572	220	-18	18	10572	220	-18	18	10572	220	-18	18	10572	220	-18	18	10572	220	-18	18	10572	220	-18	18	10572	220	-18	18	10572	220	-18	18	10572	220	-18	18	10572	220	-18	18	10572
221	-26	26	10598	221	-26	26	10598	221	-26	26	10598	221	-26	26	10598	221	-26	26	10598	221	-26	26	10598	221	-26	26	10598	221	-26	26	10598	221	-26	26	10598	221	-26	26	10598	221	-26	26	10598	221	-26	26	10598
222	-119	20	10618	222	-119	20	10618	222	-119	20	10618	222	-119	20	10618	222	-119	20	10618	222	-119	20	10618	222	-119	20	10618	222	-119	20	10618	222	-119	20	10618	222	-119	20	10618	222	-119	20	10618	222	-119	20	10618
223	-20	20	10638	223	-20	20	10638	223	-20	20	10638	223	-20	20	10638	223	-20	20	10638	223	-20	20	10638	223	-20	20	10638	223	-20	20	10638	223	-20	20	10638	223	-20	20	10638	223	-20	20	10638	223	-20	20	10638
