Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341	24	-195	96	3341
25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439	25	-98	98	3439
26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494	26	-55	55	3494
27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551	27	-156	57	3551
28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596	28	-45	45	3596
29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641	29	-45	45	3641
30	-116	116	3757	30	-116	116	3757	30	-116	116	3757	30	-116	116	3757	30	-116	116	3757	30	-116	116	3757	30	-116	116	3757	30	-116	116	3757	30	-116	116	3757	30	-116	116	3757	30	-116	116	3757	30	-116	116	3757
31	-100	100	3857	31	-100	100	3857	31	-100	100	3857	31	-100	100	3857	31	-100	100	3857	31	-100	100	3857	31	-100	100	3857	31	-100	100	3857	31	-100	100	3857	31	-100	100	3857	31	-100	100	3857	31	-100	100	3857
32	-38	38	3895	32	-38	38	3895	32	-38	38	3895	32	-38	38	3895	32	-38	38	3895	32	-38	38	3895	32	-38	38	3895	32	-38	38	3895	32	-38	38	3895	32	-38	38	3895	32	-38	38	3895	32	-38	38	3895
33	-66	66	3961	33	-66	66	3961	33	-66	66	3961	33	-66	66	3961	33	-66	66	3961	33	-66	66	3961	33	-66	66	3961	33	-66	66	3961	33	-66	66	3961	33	-66	66	3961	33	-66	66	3961	33	-66	66	3961
34	-53	53	4014	34	-53	53	4014	34	-53	53	4014	34	-53	53	4014	34	-53	53	4014	34	-53	53	4014	34	-53	53	4014	34	-53	53	4014	34	-53	53	4014	34	-53	53	4014	34	-53	53	4014	34	-53	53	4014
35	-62	62	4076	35	-62	62	4076	35	-62	62	4076	35	-62	62	4076	35	-62	62	4076	35	-62	62	4076	35	-62	62	4076	35	-62	62	4076	35	-62	62	4076	35	-62	62	4076	35	-62	62	4076	35	-62	62	4076
36	-193	94	4170	36	-193	94	4170	36	-193	94	4170	36	-193	94	4170	36	-193	94	4170	36	-193	94	4170	36	-193	94	4170	36	-193	94	4170	36	-193	94	4170	36	-193	94	4170	36	-193	94	4170	36	-193	94	4170
37	-50	50	4220	37	-50	50	4220	37	-50	50	4220	37	-50	50	4220	37	-50	50	4220	37	-50	50	4220	37	-50	50	4220	37	-50	50	4220	37	-50	50	4220	37	-50	50	4220	37	-50	50	4220	37	-50	50	4220
38	-123	123	4343	38	-123	123	4343	38	-123	123	4343	38	-123	123	4343	38	-123	123	4343	38	-123	123	4343	38	-123	123	4343	38	-123	123	4343	38	-123	123	4343	38	-123	123	4343	38	-123	123	4343	38	-123	123	4343
39	-29	29	4372	39	-29	29	4372	39	-29	29	4372	39	-29	29	4372	39	-29	29	4372	39	-29	29	4372	39	-29	29	4372	39	-29	29	4372	39	-29	29	4372	39	-29	29	4372	39	-29	29	4372	39	-29	29	4372
40	-65	65	4437	40	-65	65	4437	40	-65	65	4437	40	-65	65	4437	40	-65	65	4437	40	-65	65	4437	40	-65	65	4437	40	-65	65	4437	40	-65	65	4437	40	-65	65	4437	40	-65	65	4437	40	-65	65	4437
41	-60	60	4497	41	-60	60	4497	41	-60	60	4497	41	-60	60	4497	41	-60	60	4497	41	-60	60	4497	41	-60	60	4497	41	-60	60	4497	41	-60	60	4497	41	-60	60	4497	41	-60	60	4497	41	-60	60	4497
42	-192	93	4590	42	-192	93	4590	42	-192	93	4590	42	-192	93	4590	42	-192	93	4590	42	-192	93	4590	42	-192	93	4590	42	-192	93	4590	42	-192	93	4590	42	-192	93	4590	42	-192	93	4590	42	-192	93	4590
43	-36	36	4626	43	-36	36	4626	43	-36	36	4626	43	-36	36	4626	43	-36	36	4626	43	-36	36	4626	43	-36	36	4626	43	-36	36	4626	43	-36	36	4626	43	-36	36	4626	43	-36	36	4626	43	-36	36	4626
44	-253	55	4681	44	-253	55	4681	44	-253	55	4681	44	-253	55	4681	44	-253	55	4681	44	-253	55	4681	44	-253	55	4681	44	-253	55	4681	44	-253	55	4681	44	-253	55	4681	44	-253	55	4681	44	-253	55	4681
45	-164	65	4746	45	-164	65	4746	45	-164	65	4746	45	-164	65	4746	45	-164	65	4746	45	-164	65	4746	45	-164	65	4746	45	-164	65	4746	45	-164	65	4746	45	-164	65	4746	45	-164	65	4746	45	-164	65	4746
