Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
131	-149.0	149	22864	131	-149.0	149	22864
132	-142.0	142	23006	132	-142.0	142	23006
133	-132.0	132	23138	133	-132.0	132	23138
134	-106.0	106	23244	134	-106.0	106	23244
135	-147.0	147	23391	135	-147.0	147	23391
136	-149.0	149	23540	136	-149.0	149	23540
137	-148.0	148	23688	137	-148.0	148	23688
138	-111.0	111	23799	138	-111.0	111	23799
139	-147.0	147	23946	139	-147.0	147	23946
140	-143.0	143	24089	140	-143.0	143	24089
141	-142.0	142	24231	141	-142.0	142	24231
142	-130.0	130	24361	142	-130.0	130	24361
143	-134.0	134	24495	143	-134.0	134	24495
144	-108.0	108	24603	144	-108.0	108	24603
145	-131.0	131	24734	145	-131.0	131	24734
146	-136.0	136	24870	146	-136.0	136	24870
147	-186.0	186	25056	147	-186.0	186	25056
148	-215.0	215	25271	148	-215.0	215	25271
149	-212.0	212	25483	149	-212.0	212	25483
150	-189.0	189	25672	150	-189.0	189	25672
151	-187.0	187	25859	151	-187.0	187	25859
152	-183.0	183	26042	152	-183.0	183	26042
153	-204.0	204	26246	153	-204.0	204	26246
154	-181.0	181	26427	154	-181.0	181	26427
155	-178.0	178	26605	155	-178.0	178	26605
156	-184.0	184	26789	156	-184.0	184	26789
157	-146.0	146	26935	157	-146.0	146	26935
158	-149.0	149	27084	158	-149.0	149	27084
159	-215.0	215	27299	159	-215.0	215	27299
160	-147.0	147	27446	160	-147.0	147	27446
161	-223.0	223	27669	161	-223.0	223	27669
162	-213.0	213	27882	162	-213.0	213	27882
163	-219.0	219	28101	163	-219.0	219	28101
164	-228.0	228	28329	164	-228.0	228	28329
165	-161.0	161	28490	165	-161.0	161	28490
166	-143.0	143	28633	166	-143.0	143	28633
167	-114.0	114	28747	167	-114.0	114	28747
168	-115.0	115	28862	168	-115.0	115	28862
169	-112.0	112	28974	169	-112.0	112	28974
170	-92.0	92	29066	170	-92.0	92	29066
171	-108.0	108	29174	171	-108.0	108	29174
172	-114.0	114	29288	172	-114.0	114	29288
173	-116.0	116	29404	173	-116.0	116	29404
174	-108.0	108	29512	174	-108.0	108	29512
175	-153.0	153	29665	175	-153.0	153	29665
176	-91.0	91	29756	176	-91.0	91	29756
177	-131.0	131	29887	177	-131.0	131	29887
178	-171.0	171	30058	178	-171.0	171	30058
179	-214.0	214	30272	179	-214.0	214	30272
180	-140.0	140	30412	180	-140.0	140	30412
181	-271.0	271	30683	181	-271.0	271	30683
182	-230.0	230	30913	182	-230.0	230	30913
183	-170.0	170	31083	183	-170.0	170	31083
184	-153.0	153	31236	184	-153.0	153	31236
185	-164.0	164	31400	185	-164.0	164	31400
186	-245.0	245	31645	186	-245.0	245	31645
187	-153.0	153	31798	187	-153.0	153	31798
188	-150.0	150	31948	188	-150.0	150	31948
189	-148.0	148	32096	189	-148.0	148	32096
190	-158.0	158	32254	190	-158.0	158	32254
191	-140.0	140	32394	191	-140.0	140	32394
192	-153.0	153	32547	192	-153.0	153	32547
193	-153.0	153	32700	193	-153.0	153	32700
194	-205.0	205	32905	194	-205.0	205	32905
195	-140.0	140	33045	195	-140.0	140	33045
196	-150.0	150	33195	196	-150.0	150	33195
197	-258.0	258	33453	197	-258.0	258	33453
198	-200.0	200	33653	198	-200.0	200	33653
199	-214.0	214	33867	199	-214.0	214	33867
200	-261.0	261	34128	200	-261.0	261	34128
201	-152.0	152	34280	201	-152.0	152	34280
202	-177.0	177	34457	202	-177.0	177	34457
203	-155.0	155	34612	203	-155.0	155	34612
204	-155.0	155	34767	204	-155.0	155	34767
205	-199.0	199	34966	205	-199.0	199	34966
206	-196.0	196	35162	206	-196.0	196	35162
207	-209.0	209	35371	207	-209.0	209	35371
208	-190.0	190	35561	208	-190.0	190	35561
209	-212.0	212	35773	209	-212.0	212	35773
210	-158.0	158	35931	210	-158.0	158	35931
211	-138.0	138	36069	211	-138.0	138	36069
212	-114.0	114	36183	212	-114.0	114	36183
213	-111.0	111	36294	213	-111.0	111	36294
214	-113.0	113	36407	214	-113.0	113	36407
215	-111.0	111	36518	215	-111.0	111	36518
216	-129.0	129	36647	216	-129.0	129	36647
217	-150.0	150	36797	217	-150.0	150	36797
218	-156.0	156	36953	218	-156.0	156	36953
219	-163.0	163	37116	219	-163.0	163	37116
220	-173.0	173	37289	220	-173.0	173	37289
221	-166.0	166	37455	221	-166.0	166	37455
222	-212.0	212	37667	222	-212.0	212	37667
223	-176.0	176	37843	223	-176.0	176	37843
224	-232.0	232	38075	224	-232.0	232	38075
225	-115.0	115	38190	225	-115.0	115	38190
226	-132.0	132	38322	226	-132.0	132	38322
227	-135.0	135	38457	227	-135.0	135	38457
228	-132.0	132	38589	228	-132.0	132	38589
229	-131.0	131	38720	229	-131.0	131	38720
230	-123.0	123	38843	230	-123.0	123	38843
231	-163.0	163	39006	231	-163.0	163	39006
232	-107.0	107	39113	232	-107.0	107	39113
233	-168.0	168	39281	233	-168.0	168	39281
234	-154.0	154	39435	234	-154.0	154	39435
235	-133.0	133	39568	235	-133.0	133	39568
236	-106.0	106	39674	236	-106.0	106	39674
237	-91.0	91	39765	237	-91.0	91	39765
238	-124.0	124	39889	238	-124.0	124	39889
239	-157.0	157	40046	239	-157.0	157	40046
240	-106.0	106	40152	240	-106.0	106	40152
241	-137.0	137	40289	241	-137.0	137	40289
242	-143.0	143	40432	242	-143.0	143	40432
243	-109.0	109	40541	243	-109.0	109	40541
244	-130.0	130	40671	244	-130.0	130	40671
245	-136.0	136	40807	245	-136.0	136	40807
246	-134.0	134	40941	246	-134.0	134	40941
247	-141.0	141	41082	247	-141.0	141	41082
248	-174.0	174	41256	248	-174.0	174	41256
249	-190.0	190	41446	249	-190.0	190	41446
250	-421.0	421	41867	250	-421.0	421	41867
251	-146.0	146	42013	251	-146.0	146	42013
252	-144.0	144	42157	252	-144.0	144	42157
253	-142.0	142	42299	253	-142.0	142	42299
254	-136.0	136	42435	254	-136.0	136	42435
255	-104.0	104	42539	255	-104.0	104	42539
256	-135.0	135	42674	256	-135.0	135	42674
257	-140.0	140	42814	257	-140.0	140	42814
258	-116.0	116	42930	258	-116.0	116	42930
259	-122.0	122	43052	259	-122.0	122	43052
260	-129.0	129	43181	260	-129.0	129	43181
261	-110.0	110	43291	261	-110.0	110	43291
262	-132.0	132	43423	262	-132.0	132	43423
263	-185.0	185	43608	263	-185.0	185	43608
264	-132.0	132	43740	264	-132.0	132	43740
265	-154.0	154	43894	265	-154.0	154	43894
266	-163.0	163	44057	266	-163.0	163	44057
267	-212.0	212	44269	267	-212.0	212	44269
268	-171.0	171	44440	268	-171.0	171	44440
269	-226.0	226	44666	269	-226.0	226	44666
270	-356.0	356	45022	270	-356.0	356	45022
271	-185.0	185	45207	271	-185.0	185	45207
272	-187.0	187	45394	272	-187.0	187	45394
273	-183.0	183	45577	273	-183.0	183	45577
274	-233.0	233	45810	274	-233.0	233	45810
275	-232.0	232	46042	275	-232.0	232	46042
276	-241.0	241	46283	276	-241.0	241	46283
277	-242.0	242	46525	277	-242.0	242	46525
278	-173.0	173	46698	278	-173.0	173	46698
279	-176.0	176	46874	279	-176.0	176	46874
280	-193.0	193	47067	280	-193.0	193	47067
281	-137.0	137	47204	281	-137.0	137	47204
282	-134.0	134	47338	282	-134.0	134	47338
283	-132.0	132	47470	283	-132.0	132	47470
284	-132.0	132	47602	284	-132.0	132	47602
285	-186.0	186	47788	285	-186.0	186	47788
286	-369.0	369	48157	286	-369.0	369	48157
287	-134.0	134	48291	287	-134.0	134	48291
288	-135.0	135	48426	288	-135.0	135	48426
289	-134.0	134	48560	289	-134.0	134	48560
290	-133.0	133	48693	290	-133.0	133	48693
291	-133.0	133	48826	291	-133.0	133	48826
292	-137.0	137	48963	292	-137.0	137	48963
293	-154.0	154	49117	293	-154.0	154	49117
294	-217.0	217	49334	294	-217.0	217	49334
295	-146.0	146	49480	295	-146.0	146	49480
296	-151.0	151	49631	296	-151.0	151	49631
297	-138.0	138	49769	297	-138.0	138	49769
298	-228.0	228	49997	298	-228.0	228	49997
299	-206.0	206	50203	299	-206.0	206	50203
