Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
30	-77	77	4764	30	-77	77	4764	30	-77	77	4764	30	-77	77	4764	30	-77	77	4764	30	-77	77	4764	30	-77	77	4764	30	-77	77	4764	30	-77	77	4764	30	-77	77	4764
31	-63	63	4827	31	-63	63	4827	31	-63	63	4827	31	-63	63	4827	31	-63	63	4827	31	-63	63	4827	31	-63	63	4827	31	-63	63	4827	31	-63	63	4827	31	-63	63	4827
32	-197	98	4925	32	-197	98	4925	32	-197	98	4925	32	-197	98	4925	32	-197	98	4925	32	-197	98	4925	32	-197	98	4925	32	-197	98	4925	32	-197	98	4925	32	-197	98	4925
33	-75	75	5000	33	-75	75	5000	33	-75	75	5000	33	-75	75	5000	33	-75	75	5000	33	-75	75	5000	33	-75	75	5000	33	-75	75	5000	33	-75	75	5000	33	-75	75	5000
34	-64	64	5064	34	-64	64	5064	34	-64	64	5064	34	-64	64	5064	34	-64	64	5064	34	-64	64	5064	34	-64	64	5064	34	-64	64	5064	34	-64	64	5064	34	-64	64	5064
35	-149	50	5114	35	-149	50	5114	35	-149	50	5114	35	-149	50	5114	35	-149	50	5114	35	-149	50	5114	35	-149	50	5114	35	-149	50	5114	35	-149	50	5114	35	-149	50	5114
36	-90	90	5204	36	-90	90	5204	36	-90	90	5204	36	-90	90	5204	36	-90	90	5204	36	-90	90	5204	36	-90	90	5204	36	-90	90	5204	36	-90	90	5204	36	-90	90	5204
37	-50	50	5254	37	-50	50	5254	37	-50	50	5254	37	-50	50	5254	37	-50	50	5254	37	-50	50	5254	37	-50	50	5254	37	-50	50	5254	37	-50	50	5254	37	-50	50	5254
38	-64	64	5318	38	-64	64	5318	38	-64	64	5318	38	-64	64	5318	38	-64	64	5318	38	-64	64	5318	38	-64	64	5318	38	-64	64	5318	38	-64	64	5318	38	-64	64	5318
39	-138	39	5357	39	-138	39	5357	39	-138	39	5357	39	-138	39	5357	39	-138	39	5357	39	-138	39	5357	39	-138	39	5357	39	-138	39	5357	39	-138	39	5357	39	-138	39	5357
40	-80	80	5437	40	-80	80	5437	40	-80	80	5437	40	-80	80	5437	40	-80	80	5437	40	-80	80	5437	40	-80	80	5437	40	-80	80	5437	40	-80	80	5437	40	-80	80	5437
41	-55	55	5492	41	-55	55	5492	41	-55	55	5492	41	-55	55	5492	41	-55	55	5492	41	-55	55	5492	41	-55	55	5492	41	-55	55	5492	41	-55	55	5492	41	-55	55	5492
42	-42	42	5534	42	-42	42	5534	42	-42	42	5534	42	-42	42	5534	42	-42	42	5534	42	-42	42	5534	42	-42	42	5534	42	-42	42	5534	42	-42	42	5534	42	-42	42	5534
