Episode	Accumulated Reward	Length	Steps
0	1.0	164	164
1	1.0	688	852
2	1.0	852	1704
3	1.0	190	1894
4	1.0	46	1940
5	1.0	49	1989
6	1.0	59	2048
7	1.0	159	2207
8	1.0	120	2327
9	1.0	113	2440
10	1.0	77	2517
11	1.0	120	2637
12	1.0	59	2696
13	1.0	90	2786
14	1.0	112	2898
15	1.0	17	2915
16	1.0	24	2939
17	1.0	36	2975
18	1.0	41	3016
19	1.0	20	3036
20	1.0	31	3067
21	1.0	18	3085
22	1.0	33	3118
23	1.0	57	3175
24	1.0	23	3198
25	1.0	43	3241
26	1.0	92	3333
27	1.0	17	3350
28	1.0	55	3405
29	1.0	21	3426
30	1.0	24	3450
31	1.0	16	3466
32	1.0	18	3484
33	1.0	50	3534
34	1.0	18	3552
35	1.0	18	3570
36	1.0	16	3586
37	1.0	16	3602
38	1.0	14	3616
39	1.0	14	3630
40	1.0	14	3644
41	1.0	17	3661
42	1.0	15	3676
43	1.0	21	3697
44	1.0	22	3719
45	1.0	15	3734
46	1.0	22	3756
47	1.0	14	3770
48	1.0	16	3786
49	1.0	16	3802
