Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301	10	-63	63	1301
11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335	11	-34	34	1335
12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410	12	-174	75	1410
13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452	13	-42	42	1452
14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545	14	-192	93	1545
15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613	15	-167	68	1613
16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640	16	-27	27	1640
17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677	17	-37	37	1677
18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744	18	-67	67	1744
19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778	19	-34	34	1778
20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813	20	-35	35	1813
21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845	21	-32	32	1845
22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888	22	-43	43	1888
23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922	23	-34	34	1922
24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953	24	-31	31	1953
25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992	25	-39	39	1992
26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028	26	-36	36	2028
27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056	27	-28	28	2056
28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076	28	-20	20	2076
29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109	29	-33	33	2109
30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130	30	-21	21	2130
31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187	31	-57	57	2187
32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216	32	-29	29	2216
33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243	33	-27	27	2243
34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266	34	-23	23	2266
35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298	35	-32	32	2298
36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325	36	-27	27	2325
37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349	37	-24	24	2349
38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371	38	-22	22	2371
39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394	39	-23	23	2394
40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415	40	-21	21	2415
41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462	41	-245	47	2462
42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495	42	-33	33	2495
43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511	43	-16	16	2511
44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537	44	-26	26	2537
45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565	45	-28	28	2565
46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593	46	-28	28	2593
47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626	47	-33	33	2626
48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665	48	-39	39	2665
49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680	49	-15	15	2680
