Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670	10	-115	16	670
11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701	11	-31	31	701
12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718	12	-17	17	718
13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737	13	-19	19	737
14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763	14	-125	26	763
15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799	15	-135	36	799
16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815	16	-16	16	815
17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828	17	-13	13	828
18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842	18	-14	14	842
19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857	19	-15	15	857
20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876	20	-19	19	876
21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899	21	-221	23	899
22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922	22	-122	23	922
23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937	23	-15	15	937
24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952	24	-15	15	952
25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967	25	-15	15	967
26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980	26	-13	13	980
27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997	27	-17	17	997
28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025	28	-127	28	1025
29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039	29	-14	14	1039
30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054	30	-15	15	1054
31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073	31	-118	19	1073
32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088	32	-15	15	1088
33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101	33	-13	13	1101
34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114	34	-13	13	1114
35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127	35	-13	13	1127
36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143	36	-115	16	1143
37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158	37	-15	15	1158
38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171	38	-13	13	1171
39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184	39	-13	13	1184
40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197	40	-13	13	1197
41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210	41	-13	13	1210
42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237	42	-126	27	1237
43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250	43	-13	13	1250
44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263	44	-13	13	1263
45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282	45	-19	19	1282
46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297	46	-15	15	1297
47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310	47	-13	13	1310
48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323	48	-13	13	1323
49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336	49	-13	13	1336
