Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	992	992	0	1.0	992	992	0	1.0	992	992	0	1.0	992	992	0	1.0	992	992	0	1.0	992	992
1	1.0	298	1290	1	1.0	298	1290	1	1.0	298	1290	1	1.0	298	1290	1	1.0	298	1290	1	1.0	298	1290
2	1.0	918	2208	2	1.0	918	2208	2	1.0	918	2208	2	1.0	918	2208	2	1.0	918	2208	2	1.0	918	2208
3	1.0	54	2262	3	1.0	54	2262	3	1.0	54	2262	3	1.0	54	2262	3	1.0	54	2262	3	1.0	54	2262
4	1.0	75	2337	4	1.0	75	2337	4	1.0	75	2337	4	1.0	75	2337	4	1.0	75	2337	4	1.0	75	2337
5	1.0	316	2653	5	1.0	316	2653	5	1.0	316	2653	5	1.0	316	2653	5	1.0	316	2653	5	1.0	316	2653
6	1.0	465	3118	6	1.0	465	3118	6	1.0	465	3118	6	1.0	465	3118	6	1.0	465	3118	6	1.0	465	3118
7	1.0	323	3441	7	1.0	323	3441	7	1.0	323	3441	7	1.0	323	3441	7	1.0	323	3441	7	1.0	323	3441
8	1.0	102	3543	8	1.0	102	3543	8	1.0	102	3543	8	1.0	102	3543	8	1.0	102	3543	8	1.0	102	3543
9	1.0	236	3779	9	1.0	236	3779	9	1.0	236	3779	9	1.0	236	3779	9	1.0	236	3779	9	1.0	236	3779
10	1.0	31	3810	10	1.0	31	3810	10	1.0	31	3810	10	1.0	31	3810	10	1.0	31	3810	10	1.0	31	3810
11	1.0	81	3891	11	1.0	81	3891	11	1.0	81	3891	11	1.0	81	3891	11	1.0	81	3891	11	1.0	81	3891
12	1.0	36	3927	12	1.0	36	3927	12	1.0	36	3927	12	1.0	36	3927	12	1.0	36	3927	12	1.0	36	3927
13	1.0	51	3978	13	1.0	51	3978	13	1.0	51	3978	13	1.0	51	3978	13	1.0	51	3978	13	1.0	51	3978
14	1.0	39	4017	14	1.0	39	4017	14	1.0	39	4017	14	1.0	39	4017	14	1.0	39	4017	14	1.0	39	4017
15	1.0	39	4056	15	1.0	39	4056	15	1.0	39	4056	15	1.0	39	4056	15	1.0	39	4056	15	1.0	39	4056
16	1.0	91	4147	16	1.0	91	4147	16	1.0	91	4147	16	1.0	91	4147	16	1.0	91	4147	16	1.0	91	4147
17	1.0	256	4403	17	1.0	256	4403	17	1.0	256	4403	17	1.0	256	4403	17	1.0	256	4403	17	1.0	256	4403
18	1.0	42	4445	18	1.0	42	4445	18	1.0	42	4445	18	1.0	42	4445	18	1.0	42	4445	18	1.0	42	4445
19	1.0	31	4476	19	1.0	31	4476	19	1.0	31	4476	19	1.0	31	4476	19	1.0	31	4476	19	1.0	31	4476
20	1.0	45	4521	20	1.0	45	4521	20	1.0	45	4521	20	1.0	45	4521	20	1.0	45	4521	20	1.0	45	4521
21	1.0	15	4536	21	1.0	15	4536	21	1.0	15	4536	21	1.0	15	4536	21	1.0	15	4536	21	1.0	15	4536
22	1.0	35	4571	22	1.0	35	4571	22	1.0	35	4571	22	1.0	35	4571	22	1.0	35	4571	22	1.0	35	4571
23	1.0	32	4603	23	1.0	32	4603	23	1.0	32	4603	23	1.0	32	4603	23	1.0	32	4603	23	1.0	32	4603
24	1.0	17	4620	24	1.0	17	4620	24	1.0	17	4620	24	1.0	17	4620	24	1.0	17	4620	24	1.0	17	4620
25	1.0	26	4646	25	1.0	26	4646	25	1.0	26	4646	25	1.0	26	4646	25	1.0	26	4646	25	1.0	26	4646
26	1.0	61	4707	26	1.0	61	4707	26	1.0	61	4707	26	1.0	61	4707	26	1.0	61	4707	26	1.0	61	4707
27	1.0	14	4721	27	1.0	14	4721	27	1.0	14	4721	27	1.0	14	4721	27	1.0	14	4721	27	1.0	14	4721
28	1.0	23	4744	28	1.0	23	4744	28	1.0	23	4744	28	1.0	23	4744	28	1.0	23	4744	28	1.0	23	4744
29	1.0	16	4760	29	1.0	16	4760	29	1.0	16	4760	29	1.0	16	4760	29	1.0	16	4760	29	1.0	16	4760
30	1.0	15	4775	30	1.0	15	4775	30	1.0	15	4775	30	1.0	15	4775	30	1.0	15	4775	30	1.0	15	4775
31	1.0	15	4790	31	1.0	15	4790	31	1.0	15	4790	31	1.0	15	4790	31	1.0	15	4790	31	1.0	15	4790
32	1.0	14	4804	32	1.0	14	4804	32	1.0	14	4804	32	1.0	14	4804	32	1.0	14	4804	32	1.0	14	4804
33	1.0	18	4822	33	1.0	18	4822	33	1.0	18	4822	33	1.0	18	4822	33	1.0	18	4822	33	1.0	18	4822
34	1.0	18	4840	34	1.0	18	4840	34	1.0	18	4840	34	1.0	18	4840	34	1.0	18	4840	34	1.0	18	4840
35	1.0	16	4856	35	1.0	16	4856	35	1.0	16	4856	35	1.0	16	4856	35	1.0	16	4856	35	1.0	16	4856
36	1.0	15	4871	36	1.0	15	4871	36	1.0	15	4871	36	1.0	15	4871	36	1.0	15	4871	36	1.0	15	4871
37	1.0	17	4888	37	1.0	17	4888	37	1.0	17	4888	37	1.0	17	4888	37	1.0	17	4888	37	1.0	17	4888
38	1.0	14	4902	38	1.0	14	4902	38	1.0	14	4902	38	1.0	14	4902	38	1.0	14	4902	38	1.0	14	4902
39	1.0	24	4926	39	1.0	24	4926	39	1.0	24	4926	39	1.0	24	4926	39	1.0	24	4926	39	1.0	24	4926
40	1.0	16	4942	40	1.0	16	4942	40	1.0	16	4942	40	1.0	16	4942	40	1.0	16	4942	40	1.0	16	4942
41	1.0	14	4956	41	1.0	14	4956	41	1.0	14	4956	41	1.0	14	4956	41	1.0	14	4956	41	1.0	14	4956
42	1.0	16	4972	42	1.0	16	4972	42	1.0	16	4972	42	1.0	16	4972	42	1.0	16	4972	42	1.0	16	4972
43	1.0	14	4986	43	1.0	14	4986	43	1.0	14	4986	43	1.0	14	4986	43	1.0	14	4986	43	1.0	14	4986
44	1.0	18	5004	44	1.0	18	5004	44	1.0	18	5004	44	1.0	18	5004	44	1.0	18	5004	44	1.0	18	5004
45	1.0	23	5027	45	1.0	23	5027	45	1.0	23	5027	45	1.0	23	5027	45	1.0	23	5027	45	1.0	23	5027
46	1.0	14	5041	46	1.0	14	5041	46	1.0	14	5041	46	1.0	14	5041	46	1.0	14	5041	46	1.0	14	5041
47	1.0	14	5055	47	1.0	14	5055	47	1.0	14	5055	47	1.0	14	5055	47	1.0	14	5055	47	1.0	14	5055
48	1.0	21	5076	48	1.0	21	5076	48	1.0	21	5076	48	1.0	21	5076	48	1.0	21	5076	48	1.0	21	5076
49	1.0	16	5092	49	1.0	16	5092	49	1.0	16	5092	49	1.0	16	5092	49	1.0	16	5092	49	1.0	16	5092
