Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743	10	-29	29	743
11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768	11	-25	25	768
12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785	12	-17	17	785
13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806	13	-21	21	806
14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831	14	-25	25	831
15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856	15	-124	25	856
16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873	16	-17	17	873
17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897	17	-123	24	897
18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912	18	-15	15	912
19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937	19	-124	25	937
20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975	20	-137	38	975
21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990	21	-15	15	990
22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005	22	-15	15	1005
23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018	23	-13	13	1018
24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033	24	-15	15	1033
25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056	25	-122	23	1056
26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075	26	-19	19	1075
27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088	27	-13	13	1088
28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101	28	-13	13	1101
29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114	29	-13	13	1114
30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129	30	-15	15	1129
31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144	31	-15	15	1144
32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157	32	-13	13	1157
33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184	33	-225	27	1184
34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205	34	-21	21	1205
35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218	35	-13	13	1218
36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235	36	-17	17	1235
37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250	37	-15	15	1250
38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282	38	-230	32	1282
