Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459	10	1.0	65	2459
11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893	11	1.0	434	2893
12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116	12	1.0	223	3116
13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226	13	1.0	110	3226
14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264	14	1.0	38	3264
15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311	15	1.0	47	3311
16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551	16	1.0	240	3551
17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653	17	1.0	102	3653
18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713	18	1.0	60	3713
19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820	19	1.0	107	3820
20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921	20	1.0	101	3921
21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088	21	1.0	167	4088
22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139	22	1.0	51	4139
23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168	23	1.0	29	4168
24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199	24	1.0	31	4199
25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253	25	1.0	54	4253
26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277	26	1.0	24	4277
27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309	27	1.0	32	4309
28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343	28	1.0	34	4343
29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370	29	1.0	27	4370
30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389	30	1.0	19	4389
31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423	31	1.0	34	4423
32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461	32	1.0	38	4461
33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494	33	1.0	33	4494
34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514	34	1.0	20	4514
35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555	35	1.0	41	4555
36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577	36	1.0	22	4577
37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600	37	1.0	23	4600
38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627	38	1.0	27	4627
39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641	39	1.0	14	4641
40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655	40	1.0	14	4655
41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671	41	1.0	16	4671
42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685	42	1.0	14	4685
43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699	43	1.0	14	4699
44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715	44	1.0	16	4715
45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731	45	1.0	16	4731
46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745	46	1.0	14	4745
47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759	47	1.0	14	4759
48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775	48	1.0	16	4775
49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789	49	1.0	14	4789
