Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701	10	-194	95	1701
11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779	11	-177	78	1779
12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826	12	-47	47	1826
13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875	13	-49	49	1875
14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927	14	-52	52	1927
15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996	15	-69	69	1996
16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043	16	-47	47	2043
17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072	17	-29	29	2072
18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107	18	-35	35	2107
19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134	19	-27	27	2134
20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159	20	-25	25	2159
21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186	21	-27	27	2186
22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209	22	-23	23	2209
23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268	23	-59	59	2268
24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441	24	-371	173	2441
25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493	25	-52	52	2493
26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539	26	-244	46	2539
27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566	27	-27	27	2566
28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590	28	-24	24	2590
29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615	29	-25	25	2615
30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638	30	-23	23	2638
31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657	31	-19	19	2657
32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680	32	-23	23	2680
33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699	33	-19	19	2699
34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724	34	-25	25	2724
35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749	35	-25	25	2749
36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772	36	-23	23	2772
37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795	37	-23	23	2795
38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814	38	-19	19	2814
39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837	39	-23	23	2837
40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862	40	-25	25	2862
41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881	41	-19	19	2881
42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900	42	-19	19	2900
43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921	43	-21	21	2921
44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940	44	-19	19	2940
45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959	45	-19	19	2959
46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978	46	-19	19	2978
47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998	47	-20	20	2998
48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024	48	-26	26	3024
49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045	49	-21	21	3045
