Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
48	-19	19	821	48	-19	19	821	48	-19	19	821	48	-19	19	821	48	-19	19	821	48	-19	19	821	48	-19	19	821
49	-17	17	838	49	-17	17	838	49	-17	17	838	49	-17	17	838	49	-17	17	838	49	-17	17	838	49	-17	17	838
50	-25	25	863	50	-25	25	863	50	-25	25	863	50	-25	25	863	50	-25	25	863	50	-25	25	863	50	-25	25	863
51	-19	19	882	51	-19	19	882	51	-19	19	882	51	-19	19	882	51	-19	19	882	51	-19	19	882	51	-19	19	882
52	-16	16	898	52	-16	16	898	52	-16	16	898	52	-16	16	898	52	-16	16	898	52	-16	16	898	52	-16	16	898
53	-17	17	915	53	-17	17	915	53	-17	17	915	53	-17	17	915	53	-17	17	915	53	-17	17	915	53	-17	17	915
54	-17	17	932	54	-17	17	932	54	-17	17	932	54	-17	17	932	54	-17	17	932	54	-17	17	932	54	-17	17	932
55	-15	15	947	55	-15	15	947	55	-15	15	947	55	-15	15	947	55	-15	15	947	55	-15	15	947	55	-15	15	947
56	-15	15	962	56	-15	15	962	56	-15	15	962	56	-15	15	962	56	-15	15	962	56	-15	15	962	56	-15	15	962
57	-15	15	977	57	-15	15	977	57	-15	15	977	57	-15	15	977	57	-15	15	977	57	-15	15	977	57	-15	15	977
58	-18	18	995	58	-18	18	995	58	-18	18	995	58	-18	18	995	58	-18	18	995	58	-18	18	995	58	-18	18	995
59	-17	17	1012	59	-17	17	1012	59	-17	17	1012	59	-17	17	1012	59	-17	17	1012	59	-17	17	1012	59	-17	17	1012
60	-15	15	1027	60	-15	15	1027	60	-15	15	1027	60	-15	15	1027	60	-15	15	1027	60	-15	15	1027	60	-15	15	1027
61	-15	15	1042	61	-15	15	1042	61	-15	15	1042	61	-15	15	1042	61	-15	15	1042	61	-15	15	1042	61	-15	15	1042
62	-15	15	1057	62	-15	15	1057	62	-15	15	1057	62	-15	15	1057	62	-15	15	1057	62	-15	15	1057	62	-15	15	1057
63	-15	15	1072	63	-15	15	1072	63	-15	15	1072	63	-15	15	1072	63	-15	15	1072	63	-15	15	1072	63	-15	15	1072
64	-15	15	1087	64	-15	15	1087	64	-15	15	1087	64	-15	15	1087	64	-15	15	1087	64	-15	15	1087	64	-15	15	1087
65	-17	17	1104	65	-17	17	1104	65	-17	17	1104	65	-17	17	1104	65	-17	17	1104	65	-17	17	1104	65	-17	17	1104
