Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
33	-20	20	576	33	-20	20	576	33	-20	20	576	33	-20	20	576	33	-20	20	576	33	-20	20	576	33	-20	20	576	33	-20	20	576	33	-20	20	576	33	-20	20	576
34	-18	18	594	34	-18	18	594	34	-18	18	594	34	-18	18	594	34	-18	18	594	34	-18	18	594	34	-18	18	594	34	-18	18	594	34	-18	18	594	34	-18	18	594
35	-16	16	610	35	-16	16	610	35	-16	16	610	35	-16	16	610	35	-16	16	610	35	-16	16	610	35	-16	16	610	35	-16	16	610	35	-16	16	610	35	-16	16	610
36	-17	17	627	36	-17	17	627	36	-17	17	627	36	-17	17	627	36	-17	17	627	36	-17	17	627	36	-17	17	627	36	-17	17	627	36	-17	17	627	36	-17	17	627
37	-115	16	643	37	-115	16	643	37	-115	16	643	37	-115	16	643	37	-115	16	643	37	-115	16	643	37	-115	16	643	37	-115	16	643	37	-115	16	643	37	-115	16	643
38	-19	19	662	38	-19	19	662	38	-19	19	662	38	-19	19	662	38	-19	19	662	38	-19	19	662	38	-19	19	662	38	-19	19	662	38	-19	19	662	38	-19	19	662
39	-18	18	680	39	-18	18	680	39	-18	18	680	39	-18	18	680	39	-18	18	680	39	-18	18	680	39	-18	18	680	39	-18	18	680	39	-18	18	680	39	-18	18	680
40	-15	15	695	40	-15	15	695	40	-15	15	695	40	-15	15	695	40	-15	15	695	40	-15	15	695	40	-15	15	695	40	-15	15	695	40	-15	15	695	40	-15	15	695
41	-19	19	714	41	-19	19	714	41	-19	19	714	41	-19	19	714	41	-19	19	714	41	-19	19	714	41	-19	19	714	41	-19	19	714	41	-19	19	714	41	-19	19	714
42	-17	17	731	42	-17	17	731	42	-17	17	731	42	-17	17	731	42	-17	17	731	42	-17	17	731	42	-17	17	731	42	-17	17	731	42	-17	17	731	42	-17	17	731
43	-17	17	748	43	-17	17	748	43	-17	17	748	43	-17	17	748	43	-17	17	748	43	-17	17	748	43	-17	17	748	43	-17	17	748	43	-17	17	748	43	-17	17	748
44	-15	15	763	44	-15	15	763	44	-15	15	763	44	-15	15	763	44	-15	15	763	44	-15	15	763	44	-15	15	763	44	-15	15	763	44	-15	15	763	44	-15	15	763
45	-16	16	779	45	-16	16	779	45	-16	16	779	45	-16	16	779	45	-16	16	779	45	-16	16	779	45	-16	16	779	45	-16	16	779	45	-16	16	779	45	-16	16	779
46	-19	19	798	46	-19	19	798	46	-19	19	798	46	-19	19	798	46	-19	19	798	46	-19	19	798	46	-19	19	798	46	-19	19	798	46	-19	19	798	46	-19	19	798
47	-21	21	819	47	-21	21	819	47	-21	21	819	47	-21	21	819	47	-21	21	819	47	-21	21	819	47	-21	21	819	47	-21	21	819	47	-21	21	819	47	-21	21	819
48	-19	19	838	48	-19	19	838	48	-19	19	838	48	-19	19	838	48	-19	19	838	48	-19	19	838	48	-19	19	838	48	-19	19	838	48	-19	19	838	48	-19	19	838
49	-20	20	858	49	-20	20	858	49	-20	20	858	49	-20	20	858	49	-20	20	858	49	-20	20	858	49	-20	20	858	49	-20	20	858	49	-20	20	858	49	-20	20	858
50	-18	18	876	50	-18	18	876	50	-18	18	876	50	-18	18	876	50	-18	18	876	50	-18	18	876	50	-18	18	876	50	-18	18	876	50	-18	18	876	50	-18	18	876
51	-18	18	894	51	-18	18	894	51	-18	18	894	51	-18	18	894	51	-18	18	894	51	-18	18	894	51	-18	18	894	51	-18	18	894	51	-18	18	894	51	-18	18	894
52	-17	17	911	52	-17	17	911	52	-17	17	911	52	-17	17	911	52	-17	17	911	52	-17	17	911	52	-17	17	911	52	-17	17	911	52	-17	17	911	52	-17	17	911
53	-15	15	926	53	-15	15	926	53	-15	15	926	53	-15	15	926	53	-15	15	926	53	-15	15	926	53	-15	15	926	53	-15	15	926	53	-15	15	926	53	-15	15	926
54	-15	15	941	54	-15	15	941	54	-15	15	941	54	-15	15	941	54	-15	15	941	54	-15	15	941	54	-15	15	941	54	-15	15	941	54	-15	15	941	54	-15	15	941
55	-17	17	958	55	-17	17	958	55	-17	17	958	55	-17	17	958	55	-17	17	958	55	-17	17	958	55	-17	17	958	55	-17	17	958	55	-17	17	958	55	-17	17	958
56	-19	19	977	56	-19	19	977	56	-19	19	977	56	-19	19	977	56	-19	19	977	56	-19	19	977	56	-19	19	977	56	-19	19	977	56	-19	19	977	56	-19	19	977
57	-15	15	992	57	-15	15	992	57	-15	15	992	57	-15	15	992	57	-15	15	992	57	-15	15	992	57	-15	15	992	57	-15	15	992	57	-15	15	992	57	-15	15	992
58	-17	17	1009	58	-17	17	1009	58	-17	17	1009	58	-17	17	1009	58	-17	17	1009	58	-17	17	1009	58	-17	17	1009	58	-17	17	1009	58	-17	17	1009	58	-17	17	1009
59	-17	17	1026	59	-17	17	1026	59	-17	17	1026	59	-17	17	1026	59	-17	17	1026	59	-17	17	1026	59	-17	17	1026	59	-17	17	1026	59	-17	17	1026	59	-17	17	1026
60	-17	17	1043	60	-17	17	1043	60	-17	17	1043	60	-17	17	1043	60	-17	17	1043	60	-17	17	1043	60	-17	17	1043	60	-17	17	1043	60	-17	17	1043	60	-17	17	1043
61	-15	15	1058	61	-15	15	1058	61	-15	15	1058	61	-15	15	1058	61	-15	15	1058	61	-15	15	1058	61	-15	15	1058	61	-15	15	1058	61	-15	15	1058	61	-15	15	1058
62	-15	15	1073	62	-15	15	1073	62	-15	15	1073	62	-15	15	1073	62	-15	15	1073	62	-15	15	1073	62	-15	15	1073	62	-15	15	1073	62	-15	15	1073	62	-15	15	1073
63	-21	21	1094	63	-21	21	1094	63	-21	21	1094	63	-21	21	1094	63	-21	21	1094	63	-21	21	1094	63	-21	21	1094	63	-21	21	1094	63	-21	21	1094	63	-21	21	1094
