Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	1186	1186	0	1.0	1186	1186	0	1.0	1186	1186	0	1.0	1186	1186	0	1.0	1186	1186	0	1.0	1186	1186	0	1.0	1186	1186	0	1.0	1186	1186	0	1.0	1186	1186	0	1.0	1186	1186	0	1.0	1186	1186	0	1.0	1186	1186	0	1.0	1186	1186	0	1.0	1186	1186
1	1.0	184	1370	1	1.0	184	1370	1	1.0	184	1370	1	1.0	184	1370	1	1.0	184	1370	1	1.0	184	1370	1	1.0	184	1370	1	1.0	184	1370	1	1.0	184	1370	1	1.0	184	1370	1	1.0	184	1370	1	1.0	184	1370	1	1.0	184	1370	1	1.0	184	1370
2	1.0	167	1537	2	1.0	167	1537	2	1.0	167	1537	2	1.0	167	1537	2	1.0	167	1537	2	1.0	167	1537	2	1.0	167	1537	2	1.0	167	1537	2	1.0	167	1537	2	1.0	167	1537	2	1.0	167	1537	2	1.0	167	1537	2	1.0	167	1537	2	1.0	167	1537
3	1.0	60	1597	3	1.0	60	1597	3	1.0	60	1597	3	1.0	60	1597	3	1.0	60	1597	3	1.0	60	1597	3	1.0	60	1597	3	1.0	60	1597	3	1.0	60	1597	3	1.0	60	1597	3	1.0	60	1597	3	1.0	60	1597	3	1.0	60	1597	3	1.0	60	1597
4	1.0	44	1641	4	1.0	44	1641	4	1.0	44	1641	4	1.0	44	1641	4	1.0	44	1641	4	1.0	44	1641	4	1.0	44	1641	4	1.0	44	1641	4	1.0	44	1641	4	1.0	44	1641	4	1.0	44	1641	4	1.0	44	1641	4	1.0	44	1641	4	1.0	44	1641
5	1.0	29	1670	5	1.0	29	1670	5	1.0	29	1670	5	1.0	29	1670	5	1.0	29	1670	5	1.0	29	1670	5	1.0	29	1670	5	1.0	29	1670	5	1.0	29	1670	5	1.0	29	1670	5	1.0	29	1670	5	1.0	29	1670	5	1.0	29	1670	5	1.0	29	1670
6	1.0	21	1691	6	1.0	21	1691	6	1.0	21	1691	6	1.0	21	1691	6	1.0	21	1691	6	1.0	21	1691	6	1.0	21	1691	6	1.0	21	1691	6	1.0	21	1691	6	1.0	21	1691	6	1.0	21	1691	6	1.0	21	1691	6	1.0	21	1691	6	1.0	21	1691
7	1.0	37	1728	7	1.0	37	1728	7	1.0	37	1728	7	1.0	37	1728	7	1.0	37	1728	7	1.0	37	1728	7	1.0	37	1728	7	1.0	37	1728	7	1.0	37	1728	7	1.0	37	1728	7	1.0	37	1728	7	1.0	37	1728	7	1.0	37	1728	7	1.0	37	1728
8	1.0	20	1748	8	1.0	20	1748	8	1.0	20	1748	8	1.0	20	1748	8	1.0	20	1748	8	1.0	20	1748	8	1.0	20	1748	8	1.0	20	1748	8	1.0	20	1748	8	1.0	20	1748	8	1.0	20	1748	8	1.0	20	1748	8	1.0	20	1748	8	1.0	20	1748
9	1.0	21	1769	9	1.0	21	1769	9	1.0	21	1769	9	1.0	21	1769	9	1.0	21	1769	9	1.0	21	1769	9	1.0	21	1769	9	1.0	21	1769	9	1.0	21	1769	9	1.0	21	1769	9	1.0	21	1769	9	1.0	21	1769	9	1.0	21	1769	9	1.0	21	1769
10	1.0	16	1785	10	1.0	16	1785	10	1.0	16	1785	10	1.0	16	1785	10	1.0	16	1785	10	1.0	16	1785	10	1.0	16	1785	10	1.0	16	1785	10	1.0	16	1785	10	1.0	16	1785	10	1.0	16	1785	10	1.0	16	1785	10	1.0	16	1785	10	1.0	16	1785
11	1.0	18	1803	11	1.0	18	1803	11	1.0	18	1803	11	1.0	18	1803	11	1.0	18	1803	11	1.0	18	1803	11	1.0	18	1803	11	1.0	18	1803	11	1.0	18	1803	11	1.0	18	1803	11	1.0	18	1803	11	1.0	18	1803	11	1.0	18	1803	11	1.0	18	1803
