Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002	20	1.0	89	3002
21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024	21	1.0	22	3024
22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059	22	1.0	35	3059
23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084	23	1.0	25	3084
24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122	24	1.0	38	3122
25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172	25	1.0	50	3172
26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226	26	1.0	54	3226
27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264	27	1.0	38	3264
28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278	28	1.0	14	3278
29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297	29	1.0	19	3297
30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311	30	1.0	14	3311
31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325	31	1.0	14	3325
32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342	32	1.0	17	3342
33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358	33	1.0	16	3358
34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374	34	1.0	16	3374
35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388	35	1.0	14	3388
36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404	36	1.0	16	3404
37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420	37	1.0	16	3420
38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446	38	1.0	26	3446
39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460	39	1.0	14	3460
40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477	40	1.0	17	3477
41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497	41	1.0	20	3497
42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512	42	1.0	15	3512
43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527	43	1.0	15	3527
44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550	44	1.0	23	3550
45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565	45	1.0	15	3565
46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579	46	1.0	14	3579
47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596	47	1.0	17	3596
48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610	48	1.0	14	3610
49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628	49	1.0	18	3628
