Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131	0	1.0	131	131
1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568	1	1.0	437	568
2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720	2	1.0	152	720
3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898	3	1.0	178	898
4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207	4	1.0	309	1207
5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255	5	1.0	48	1255
6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502	6	1.0	247	1502
7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657	7	1.0	155	1657
8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924	8	1.0	267	1924
9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065	9	1.0	141	2065
10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226	10	1.0	161	2226
11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522	11	1.0	296	2522
12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548	12	1.0	26	2548
13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623	13	1.0	75	2623
14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655	14	1.0	32	2655
15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759	15	1.0	104	2759
16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779	16	1.0	20	2779
17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815	17	1.0	36	2815
18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864	18	1.0	49	2864
19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913	19	1.0	49	2913
