Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	672	672	0	1.0	672	672
1	1.0	467	1139	1	1.0	467	1139
2	1.0	240	1379	2	1.0	240	1379
3	1.0	1119	2498	3	1.0	1119	2498
4	1.0	291	2789	4	1.0	291	2789
5	1.0	328	3117	5	1.0	328	3117
6	1.0	143	3260	6	1.0	143	3260
7	1.0	77	3337	7	1.0	77	3337
8	1.0	111	3448	8	1.0	111	3448
9	1.0	154	3602	9	1.0	154	3602
10	1.0	257	3859	10	1.0	257	3859
11	1.0	46	3905	11	1.0	46	3905
12	1.0	31	3936	12	1.0	31	3936
13	1.0	89	4025	13	1.0	89	4025
14	1.0	123	4148	14	1.0	123	4148
15	1.0	106	4254	15	1.0	106	4254
16	1.0	33	4287	16	1.0	33	4287
17	1.0	91	4378	17	1.0	91	4378
18	1.0	47	4425	18	1.0	47	4425
19	1.0	116	4541	19	1.0	116	4541
20	1.0	33	4574	20	1.0	33	4574
21	1.0	30	4604	21	1.0	30	4604
22	1.0	31	4635	22	1.0	31	4635
23	1.0	98	4733	23	1.0	98	4733
24	1.0	19	4752	24	1.0	19	4752
25	1.0	75	4827	25	1.0	75	4827
26	1.0	131	4958	26	1.0	131	4958
27	1.0	38	4996	27	1.0	38	4996
28	1.0	65	5061	28	1.0	65	5061
29	1.0	47	5108	29	1.0	47	5108
30	1.0	58	5166	30	1.0	58	5166
31	1.0	19	5185	31	1.0	19	5185
32	1.0	63	5248	32	1.0	63	5248
33	1.0	25	5273	33	1.0	25	5273
34	1.0	32	5305	34	1.0	32	5305
35	1.0	22	5327	35	1.0	22	5327
36	1.0	35	5362	36	1.0	35	5362
37	1.0	37	5399	37	1.0	37	5399
38	1.0	62	5461	38	1.0	62	5461
39	1.0	25	5486	39	1.0	25	5486
40	1.0	27	5513	40	1.0	27	5513
41	1.0	19	5532	41	1.0	19	5532
42	1.0	26	5558	42	1.0	26	5558
43	1.0	21	5579	43	1.0	21	5579
44	1.0	18	5597	44	1.0	18	5597
45	1.0	16	5613	45	1.0	16	5613
46	1.0	19	5632	46	1.0	19	5632
47	1.0	20	5652	47	1.0	20	5652
48	1.0	18	5670	48	1.0	18	5670
49	1.0	20	5690	49	1.0	20	5690
