Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76	0	1.0	76	76
1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130	1	1.0	54	130
2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238	2	1.0	108	238
3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276	3	1.0	38	276
4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301	4	1.0	25	301
5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343	5	1.0	42	343
6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361	6	1.0	18	361
7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380	7	1.0	19	380
8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397	8	1.0	17	397
9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417	9	1.0	20	417
