Episode	Accumulated Reward	Length	Steps
265	-142.0	142	44491
266	-204.0	204	44695
267	-137.0	137	44832
268	-225.0	225	45057
269	-234.0	234	45291
270	-229.0	229	45520
271	-158.0	158	45678
272	-198.0	198	45876
273	-134.0	134	46010
274	-156.0	156	46166
275	-214.0	214	46380
276	-210.0	210	46590
277	-369.0	369	46959
278	-144.0	144	47103
279	-169.0	169	47272
280	-166.0	166	47438
281	-135.0	135	47573
282	-184.0	184	47757
283	-180.0	180	47937
284	-181.0	181	48118
285	-177.0	177	48295
286	-170.0	170	48465
287	-247.0	247	48712
288	-174.0	174	48886
289	-224.0	224	49110
290	-113.0	113	49223
291	-197.0	197	49420
292	-189.0	189	49609
293	-142.0	142	49751
294	-115.0	115	49866
295	-135.0	135	50001
296	-169.0	169	50170
297	-175.0	175	50345
298	-161.0	161	50506
299	-185.0	185	50691
