Episode	Accumulated Reward	Length	Steps
265	-158.0	158	43974
266	-158.0	158	44132
267	-185.0	185	44317
268	-149.0	149	44466
269	-110.0	110	44576
270	-130.0	130	44706
271	-113.0	113	44819
272	-120.0	120	44939
273	-111.0	111	45050
274	-112.0	112	45162
275	-186.0	186	45348
276	-140.0	140	45488
277	-139.0	139	45627
278	-179.0	179	45806
279	-136.0	136	45942
280	-164.0	164	46106
281	-151.0	151	46257
282	-172.0	172	46429
283	-217.0	217	46646
284	-206.0	206	46852
285	-182.0	182	47034
286	-169.0	169	47203
287	-178.0	178	47381
288	-133.0	133	47514
289	-242.0	242	47756
290	-182.0	182	47938
291	-198.0	198	48136
292	-178.0	178	48314
293	-168.0	168	48482
294	-225.0	225	48707
295	-215.0	215	48922
296	-176.0	176	49098
297	-173.0	173	49271
298	-227.0	227	49498
299	-194.0	194	49692
