Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
37	-15	15	685	37	-15	15	685	37	-15	15	685	37	-15	15	685	37	-15	15	685	37	-15	15	685	37	-15	15	685	37	-15	15	685	37	-15	15	685
38	-15	15	700	38	-15	15	700	38	-15	15	700	38	-15	15	700	38	-15	15	700	38	-15	15	700	38	-15	15	700	38	-15	15	700	38	-15	15	700
39	-17	17	717	39	-17	17	717	39	-17	17	717	39	-17	17	717	39	-17	17	717	39	-17	17	717	39	-17	17	717	39	-17	17	717	39	-17	17	717
40	-117	18	735	40	-117	18	735	40	-117	18	735	40	-117	18	735	40	-117	18	735	40	-117	18	735	40	-117	18	735	40	-117	18	735	40	-117	18	735
41	-16	16	751	41	-16	16	751	41	-16	16	751	41	-16	16	751	41	-16	16	751	41	-16	16	751	41	-16	16	751	41	-16	16	751	41	-16	16	751
42	-15	15	766	42	-15	15	766	42	-15	15	766	42	-15	15	766	42	-15	15	766	42	-15	15	766	42	-15	15	766	42	-15	15	766	42	-15	15	766
43	-17	17	783	43	-17	17	783	43	-17	17	783	43	-17	17	783	43	-17	17	783	43	-17	17	783	43	-17	17	783	43	-17	17	783	43	-17	17	783
44	-16	16	799	44	-16	16	799	44	-16	16	799	44	-16	16	799	44	-16	16	799	44	-16	16	799	44	-16	16	799	44	-16	16	799	44	-16	16	799
45	-17	17	816	45	-17	17	816	45	-17	17	816	45	-17	17	816	45	-17	17	816	45	-17	17	816	45	-17	17	816	45	-17	17	816	45	-17	17	816
46	-17	17	833	46	-17	17	833	46	-17	17	833	46	-17	17	833	46	-17	17	833	46	-17	17	833	46	-17	17	833	46	-17	17	833	46	-17	17	833
47	-17	17	850	47	-17	17	850	47	-17	17	850	47	-17	17	850	47	-17	17	850	47	-17	17	850	47	-17	17	850	47	-17	17	850	47	-17	17	850
48	-17	17	867	48	-17	17	867	48	-17	17	867	48	-17	17	867	48	-17	17	867	48	-17	17	867	48	-17	17	867	48	-17	17	867	48	-17	17	867
49	-21	21	888	49	-21	21	888	49	-21	21	888	49	-21	21	888	49	-21	21	888	49	-21	21	888	49	-21	21	888	49	-21	21	888	49	-21	21	888
50	-17	17	905	50	-17	17	905	50	-17	17	905	50	-17	17	905	50	-17	17	905	50	-17	17	905	50	-17	17	905	50	-17	17	905	50	-17	17	905
51	-17	17	922	51	-17	17	922	51	-17	17	922	51	-17	17	922	51	-17	17	922	51	-17	17	922	51	-17	17	922	51	-17	17	922	51	-17	17	922
52	-18	18	940	52	-18	18	940	52	-18	18	940	52	-18	18	940	52	-18	18	940	52	-18	18	940	52	-18	18	940	52	-18	18	940	52	-18	18	940
53	-15	15	955	53	-15	15	955	53	-15	15	955	53	-15	15	955	53	-15	15	955	53	-15	15	955	53	-15	15	955	53	-15	15	955	53	-15	15	955
54	-20	20	975	54	-20	20	975	54	-20	20	975	54	-20	20	975	54	-20	20	975	54	-20	20	975	54	-20	20	975	54	-20	20	975	54	-20	20	975
55	-17	17	992	55	-17	17	992	55	-17	17	992	55	-17	17	992	55	-17	17	992	55	-17	17	992	55	-17	17	992	55	-17	17	992	55	-17	17	992
56	-15	15	1007	56	-15	15	1007	56	-15	15	1007	56	-15	15	1007	56	-15	15	1007	56	-15	15	1007	56	-15	15	1007	56	-15	15	1007	56	-15	15	1007
57	-15	15	1022	57	-15	15	1022	57	-15	15	1022	57	-15	15	1022	57	-15	15	1022	57	-15	15	1022	57	-15	15	1022	57	-15	15	1022	57	-15	15	1022
58	-21	21	1043	58	-21	21	1043	58	-21	21	1043	58	-21	21	1043	58	-21	21	1043	58	-21	21	1043	58	-21	21	1043	58	-21	21	1043	58	-21	21	1043
59	-17	17	1060	59	-17	17	1060	59	-17	17	1060	59	-17	17	1060	59	-17	17	1060	59	-17	17	1060	59	-17	17	1060	59	-17	17	1060	59	-17	17	1060
60	-17	17	1077	60	-17	17	1077	60	-17	17	1077	60	-17	17	1077	60	-17	17	1077	60	-17	17	1077	60	-17	17	1077	60	-17	17	1077	60	-17	17	1077
