Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
14	1.0	18	969	14	1.0	18	969	14	1.0	18	969	14	1.0	18	969	14	1.0	18	969	14	1.0	18	969	14	1.0	18	969	14	1.0	18	969	14	1.0	18	969	14	1.0	18	969	14	1.0	18	969	14	1.0	18	969	14	1.0	18	969	14	1.0	18	969	14	1.0	18	969
15	1.0	18	987	15	1.0	18	987	15	1.0	18	987	15	1.0	18	987	15	1.0	18	987	15	1.0	18	987	15	1.0	18	987	15	1.0	18	987	15	1.0	18	987	15	1.0	18	987	15	1.0	18	987	15	1.0	18	987	15	1.0	18	987	15	1.0	18	987	15	1.0	18	987
16	1.0	19	1006	16	1.0	19	1006	16	1.0	19	1006	16	1.0	19	1006	16	1.0	19	1006	16	1.0	19	1006	16	1.0	19	1006	16	1.0	19	1006	16	1.0	19	1006	16	1.0	19	1006	16	1.0	19	1006	16	1.0	19	1006	16	1.0	19	1006	16	1.0	19	1006	16	1.0	19	1006
17	1.0	17	1023	17	1.0	17	1023	17	1.0	17	1023	17	1.0	17	1023	17	1.0	17	1023	17	1.0	17	1023	17	1.0	17	1023	17	1.0	17	1023	17	1.0	17	1023	17	1.0	17	1023	17	1.0	17	1023	17	1.0	17	1023	17	1.0	17	1023	17	1.0	17	1023	17	1.0	17	1023
18	1.0	22	1045	18	1.0	22	1045	18	1.0	22	1045	18	1.0	22	1045	18	1.0	22	1045	18	1.0	22	1045	18	1.0	22	1045	18	1.0	22	1045	18	1.0	22	1045	18	1.0	22	1045	18	1.0	22	1045	18	1.0	22	1045	18	1.0	22	1045	18	1.0	22	1045	18	1.0	22	1045
19	1.0	21	1066	19	1.0	21	1066	19	1.0	21	1066	19	1.0	21	1066	19	1.0	21	1066	19	1.0	21	1066	19	1.0	21	1066	19	1.0	21	1066	19	1.0	21	1066	19	1.0	21	1066	19	1.0	21	1066	19	1.0	21	1066	19	1.0	21	1066	19	1.0	21	1066	19	1.0	21	1066
20	1.0	17	1083	20	1.0	17	1083	20	1.0	17	1083	20	1.0	17	1083	20	1.0	17	1083	20	1.0	17	1083	20	1.0	17	1083	20	1.0	17	1083	20	1.0	17	1083	20	1.0	17	1083	20	1.0	17	1083	20	1.0	17	1083	20	1.0	17	1083	20	1.0	17	1083	20	1.0	17	1083
21	1.0	16	1099	21	1.0	16	1099	21	1.0	16	1099	21	1.0	16	1099	21	1.0	16	1099	21	1.0	16	1099	21	1.0	16	1099	21	1.0	16	1099	21	1.0	16	1099	21	1.0	16	1099	21	1.0	16	1099	21	1.0	16	1099	21	1.0	16	1099	21	1.0	16	1099	21	1.0	16	1099
22	1.0	21	1120	22	1.0	21	1120	22	1.0	21	1120	22	1.0	21	1120	22	1.0	21	1120	22	1.0	21	1120	22	1.0	21	1120	22	1.0	21	1120	22	1.0	21	1120	22	1.0	21	1120	22	1.0	21	1120	22	1.0	21	1120	22	1.0	21	1120	22	1.0	21	1120	22	1.0	21	1120
23	1.0	21	1141	23	1.0	21	1141	23	1.0	21	1141	23	1.0	21	1141	23	1.0	21	1141	23	1.0	21	1141	23	1.0	21	1141	23	1.0	21	1141	23	1.0	21	1141	23	1.0	21	1141	23	1.0	21	1141	23	1.0	21	1141	23	1.0	21	1141	23	1.0	21	1141	23	1.0	21	1141
24	1.0	16	1157	24	1.0	16	1157	24	1.0	16	1157	24	1.0	16	1157	24	1.0	16	1157	24	1.0	16	1157	24	1.0	16	1157	24	1.0	16	1157	24	1.0	16	1157	24	1.0	16	1157	24	1.0	16	1157	24	1.0	16	1157	24	1.0	16	1157	24	1.0	16	1157	24	1.0	16	1157
25	1.0	18	1175	25	1.0	18	1175	25	1.0	18	1175	25	1.0	18	1175	25	1.0	18	1175	25	1.0	18	1175	25	1.0	18	1175	25	1.0	18	1175	25	1.0	18	1175	25	1.0	18	1175	25	1.0	18	1175	25	1.0	18	1175	25	1.0	18	1175	25	1.0	18	1175	25	1.0	18	1175
26	1.0	16	1191	26	1.0	16	1191	26	1.0	16	1191	26	1.0	16	1191	26	1.0	16	1191	26	1.0	16	1191	26	1.0	16	1191	26	1.0	16	1191	26	1.0	16	1191	26	1.0	16	1191	26	1.0	16	1191	26	1.0	16	1191	26	1.0	16	1191	26	1.0	16	1191	26	1.0	16	1191
27	1.0	16	1207	27	1.0	16	1207	27	1.0	16	1207	27	1.0	16	1207	27	1.0	16	1207	27	1.0	16	1207	27	1.0	16	1207	27	1.0	16	1207	27	1.0	16	1207	27	1.0	16	1207	27	1.0	16	1207	27	1.0	16	1207	27	1.0	16	1207	27	1.0	16	1207	27	1.0	16	1207
28	1.0	16	1223	28	1.0	16	1223	28	1.0	16	1223	28	1.0	16	1223	28	1.0	16	1223	28	1.0	16	1223	28	1.0	16	1223	28	1.0	16	1223	28	1.0	16	1223	28	1.0	16	1223	28	1.0	16	1223	28	1.0	16	1223	28	1.0	16	1223	28	1.0	16	1223	28	1.0	16	1223
29	1.0	20	1243	29	1.0	20	1243	29	1.0	20	1243	29	1.0	20	1243	29	1.0	20	1243	29	1.0	20	1243	29	1.0	20	1243	29	1.0	20	1243	29	1.0	20	1243	29	1.0	20	1243	29	1.0	20	1243	29	1.0	20	1243	29	1.0	20	1243	29	1.0	20	1243	29	1.0	20	1243
30	1.0	16	1259	30	1.0	16	1259	30	1.0	16	1259	30	1.0	16	1259	30	1.0	16	1259	30	1.0	16	1259	30	1.0	16	1259	30	1.0	16	1259	30	1.0	16	1259	30	1.0	16	1259	30	1.0	16	1259	30	1.0	16	1259	30	1.0	16	1259	30	1.0	16	1259	30	1.0	16	1259
31	1.0	20	1279	31	1.0	20	1279	31	1.0	20	1279	31	1.0	20	1279	31	1.0	20	1279	31	1.0	20	1279	31	1.0	20	1279	31	1.0	20	1279	31	1.0	20	1279	31	1.0	20	1279	31	1.0	20	1279	31	1.0	20	1279	31	1.0	20	1279	31	1.0	20	1279	31	1.0	20	1279
32	1.0	18	1297	32	1.0	18	1297	32	1.0	18	1297	32	1.0	18	1297	32	1.0	18	1297	32	1.0	18	1297	32	1.0	18	1297	32	1.0	18	1297	32	1.0	18	1297	32	1.0	18	1297	32	1.0	18	1297	32	1.0	18	1297	32	1.0	18	1297	32	1.0	18	1297	32	1.0	18	1297
33	1.0	17	1314	33	1.0	17	1314	33	1.0	17	1314	33	1.0	17	1314	33	1.0	17	1314	33	1.0	17	1314	33	1.0	17	1314	33	1.0	17	1314	33	1.0	17	1314	33	1.0	17	1314	33	1.0	17	1314	33	1.0	17	1314	33	1.0	17	1314	33	1.0	17	1314	33	1.0	17	1314
34	1.0	20	1334	34	1.0	20	1334	34	1.0	20	1334	34	1.0	20	1334	34	1.0	20	1334	34	1.0	20	1334	34	1.0	20	1334	34	1.0	20	1334	34	1.0	20	1334	34	1.0	20	1334	34	1.0	20	1334	34	1.0	20	1334	34	1.0	20	1334	34	1.0	20	1334	34	1.0	20	1334
35	1.0	19	1353	35	1.0	19	1353	35	1.0	19	1353	35	1.0	19	1353	35	1.0	19	1353	35	1.0	19	1353	35	1.0	19	1353	35	1.0	19	1353	35	1.0	19	1353	35	1.0	19	1353	35	1.0	19	1353	35	1.0	19	1353	35	1.0	19	1353	35	1.0	19	1353	35	1.0	19	1353
36	1.0	18	1371	36	1.0	18	1371	36	1.0	18	1371	36	1.0	18	1371	36	1.0	18	1371	36	1.0	18	1371	36	1.0	18	1371	36	1.0	18	1371	36	1.0	18	1371	36	1.0	18	1371	36	1.0	18	1371	36	1.0	18	1371	36	1.0	18	1371	36	1.0	18	1371	36	1.0	18	1371
37	1.0	18	1389	37	1.0	18	1389	37	1.0	18	1389	37	1.0	18	1389	37	1.0	18	1389	37	1.0	18	1389	37	1.0	18	1389	37	1.0	18	1389	37	1.0	18	1389	37	1.0	18	1389	37	1.0	18	1389	37	1.0	18	1389	37	1.0	18	1389	37	1.0	18	1389	37	1.0	18	1389
38	1.0	16	1405	38	1.0	16	1405	38	1.0	16	1405	38	1.0	16	1405	38	1.0	16	1405	38	1.0	16	1405	38	1.0	16	1405	38	1.0	16	1405	38	1.0	16	1405	38	1.0	16	1405	38	1.0	16	1405	38	1.0	16	1405	38	1.0	16	1405	38	1.0	16	1405	38	1.0	16	1405
39	1.0	25	1430	39	1.0	25	1430	39	1.0	25	1430	39	1.0	25	1430	39	1.0	25	1430	39	1.0	25	1430	39	1.0	25	1430	39	1.0	25	1430	39	1.0	25	1430	39	1.0	25	1430	39	1.0	25	1430	39	1.0	25	1430	39	1.0	25	1430	39	1.0	25	1430	39	1.0	25	1430
40	1.0	17	1447	40	1.0	17	1447	40	1.0	17	1447	40	1.0	17	1447	40	1.0	17	1447	40	1.0	17	1447	40	1.0	17	1447	40	1.0	17	1447	40	1.0	17	1447	40	1.0	17	1447	40	1.0	17	1447	40	1.0	17	1447	40	1.0	17	1447	40	1.0	17	1447	40	1.0	17	1447
41	1.0	24	1471	41	1.0	24	1471	41	1.0	24	1471	41	1.0	24	1471	41	1.0	24	1471	41	1.0	24	1471	41	1.0	24	1471	41	1.0	24	1471	41	1.0	24	1471	41	1.0	24	1471	41	1.0	24	1471	41	1.0	24	1471	41	1.0	24	1471	41	1.0	24	1471	41	1.0	24	1471
42	1.0	20	1491	42	1.0	20	1491	42	1.0	20	1491	42	1.0	20	1491	42	1.0	20	1491	42	1.0	20	1491	42	1.0	20	1491	42	1.0	20	1491	42	1.0	20	1491	42	1.0	20	1491	42	1.0	20	1491	42	1.0	20	1491	42	1.0	20	1491	42	1.0	20	1491	42	1.0	20	1491
43	1.0	19	1510	43	1.0	19	1510	43	1.0	19	1510	43	1.0	19	1510	43	1.0	19	1510	43	1.0	19	1510	43	1.0	19	1510	43	1.0	19	1510	43	1.0	19	1510	43	1.0	19	1510	43	1.0	19	1510	43	1.0	19	1510	43	1.0	19	1510	43	1.0	19	1510	43	1.0	19	1510
44	1.0	16	1526	44	1.0	16	1526	44	1.0	16	1526	44	1.0	16	1526	44	1.0	16	1526	44	1.0	16	1526	44	1.0	16	1526	44	1.0	16	1526	44	1.0	16	1526	44	1.0	16	1526	44	1.0	16	1526	44	1.0	16	1526	44	1.0	16	1526	44	1.0	16	1526	44	1.0	16	1526
45	1.0	17	1543	45	1.0	17	1543	45	1.0	17	1543	45	1.0	17	1543	45	1.0	17	1543	45	1.0	17	1543	45	1.0	17	1543	45	1.0	17	1543	45	1.0	17	1543	45	1.0	17	1543	45	1.0	17	1543	45	1.0	17	1543	45	1.0	17	1543	45	1.0	17	1543	45	1.0	17	1543
46	1.0	22	1565	46	1.0	22	1565	46	1.0	22	1565	46	1.0	22	1565	46	1.0	22	1565	46	1.0	22	1565	46	1.0	22	1565	46	1.0	22	1565	46	1.0	22	1565	46	1.0	22	1565	46	1.0	22	1565	46	1.0	22	1565	46	1.0	22	1565	46	1.0	22	1565	46	1.0	22	1565
47	1.0	16	1581	47	1.0	16	1581	47	1.0	16	1581	47	1.0	16	1581	47	1.0	16	1581	47	1.0	16	1581	47	1.0	16	1581	47	1.0	16	1581	47	1.0	16	1581	47	1.0	16	1581	47	1.0	16	1581	47	1.0	16	1581	47	1.0	16	1581	47	1.0	16	1581	47	1.0	16	1581
48	1.0	16	1597	48	1.0	16	1597	48	1.0	16	1597	48	1.0	16	1597	48	1.0	16	1597	48	1.0	16	1597	48	1.0	16	1597	48	1.0	16	1597	48	1.0	16	1597	48	1.0	16	1597	48	1.0	16	1597	48	1.0	16	1597	48	1.0	16	1597	48	1.0	16	1597	48	1.0	16	1597
49	1.0	19	1616	49	1.0	19	1616	49	1.0	19	1616	49	1.0	19	1616	49	1.0	19	1616	49	1.0	19	1616	49	1.0	19	1616	49	1.0	19	1616	49	1.0	19	1616	49	1.0	19	1616	49	1.0	19	1616	49	1.0	19	1616	49	1.0	19	1616	49	1.0	19	1616	49	1.0	19	1616
