Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
157	-136	37	14798	157	-136	37	14798
158	-69	69	14867	158	-69	69	14867
159	-37	37	14904	159	-37	37	14904
160	-32	32	14936	160	-32	32	14936
161	-39	39	14975	161	-39	39	14975
162	-170	71	15046	162	-170	71	15046
163	-32	32	15078	163	-32	32	15078
164	-49	49	15127	164	-49	49	15127
165	-33	33	15160	165	-33	33	15160
166	-172	73	15233	166	-172	73	15233
167	-53	53	15286	167	-53	53	15286
168	-53	53	15339	168	-53	53	15339
169	-35	35	15374	169	-35	35	15374
170	-46	46	15420	170	-46	46	15420
171	-140	41	15461	171	-140	41	15461
172	-30	30	15491	172	-30	30	15491
173	-177	78	15569	173	-177	78	15569
174	-315	117	15686	174	-315	117	15686
175	-33	33	15719	175	-33	33	15719
176	-27	27	15746	176	-27	27	15746
177	-31	31	15777	177	-31	31	15777
178	-274	76	15853	178	-274	76	15853
179	-177	78	15931	179	-177	78	15931
180	-39	39	15970	180	-39	39	15970
181	-42	42	16012	181	-42	42	16012
182	-132	33	16045	182	-132	33	16045
183	-46	46	16091	183	-46	46	16091
184	-123	24	16115	184	-123	24	16115
185	-44	44	16159	185	-44	44	16159
186	-33	33	16192	186	-33	33	16192
187	-49	49	16241	187	-49	49	16241
188	-69	69	16310	188	-69	69	16310
189	-56	56	16366	189	-56	56	16366
190	-33	33	16399	190	-33	33	16399
191	-39	39	16438	191	-39	39	16438
192	-149	50	16488	192	-149	50	16488
193	-53	53	16541	193	-53	53	16541
194	-33	33	16574	194	-33	33	16574
195	-59	59	16633	195	-59	59	16633
196	-55	55	16688	196	-55	55	16688
197	-35	35	16723	197	-35	35	16723
198	-26	26	16749	198	-26	26	16749
199	-29	29	16778	199	-29	29	16778
200	-54	54	16832	200	-54	54	16832
201	-48	48	16880	201	-48	48	16880
202	-38	38	16918	202	-38	38	16918
203	-33	33	16951	203	-33	33	16951
204	-31	31	16982	204	-31	31	16982
205	-34	34	17016	205	-34	34	17016
206	-58	58	17074	206	-58	58	17074
207	-29	29	17103	207	-29	29	17103
208	-69	69	17172	208	-69	69	17172
209	-70	70	17242	209	-70	70	17242
210	-37	37	17279	210	-37	37	17279
211	-49	49	17328	211	-49	49	17328
212	-27	27	17355	212	-27	27	17355
213	-154	55	17410	213	-154	55	17410
214	-21	21	17431	214	-21	21	17431
215	-53	53	17484	215	-53	53	17484
216	-156	57	17541	216	-156	57	17541
217	-66	66	17607	217	-66	66	17607
218	-53	53	17660	218	-53	53	17660
219	-17	17	17677	219	-17	17	17677
220	-154	55	17732	220	-154	55	17732
221	-28	28	17760	221	-28	28	17760
222	-144	45	17805	222	-144	45	17805
223	-29	29	17834	223	-29	29	17834
224	-23	23	17857	224	-23	23	17857
225	-143	44	17901	225	-143	44	17901
226	-32	32	17933	226	-32	32	17933
227	-27	27	17960	227	-27	27	17960
228	-30	30	17990	228	-30	30	17990
229	-47	47	18037	229	-47	47	18037
230	-23	23	18060	230	-23	23	18060
231	-29	29	18089	231	-29	29	18089
232	-37	37	18126	232	-37	37	18126
233	-133	34	18160	233	-133	34	18160
234	-35	35	18195	234	-35	35	18195
235	-21	21	18216	235	-21	21	18216
236	-21	21	18237	236	-21	21	18237
237	-23	23	18260	237	-23	23	18260
238	-37	37	18297	238	-37	37	18297
239	-26	26	18323	239	-26	26	18323
240	-19	19	18342	240	-19	19	18342
241	-45	45	18387	241	-45	45	18387
242	-31	31	18418	242	-31	31	18418
243	-125	26	18444	243	-125	26	18444
244	-41	41	18485	244	-41	41	18485
245	-146	47	18532	245	-146	47	18532
246	-24	24	18556	246	-24	24	18556
247	-127	28	18584	247	-127	28	18584
248	-45	45	18629	248	-45	45	18629
249	-28	28	18657	249	-28	28	18657
250	-135	36	18693	250	-135	36	18693
251	-28	28	18721	251	-28	28	18721
252	-33	33	18754	252	-33	33	18754
253	-31	31	18785	253	-31	31	18785
254	-19	19	18804	254	-19	19	18804
255	-46	46	18850	255	-46	46	18850
256	-52	52	18902	256	-52	52	18902
257	-23	23	18925	257	-23	23	18925
258	-31	31	18956	258	-31	31	18956
259	-35	35	18991	259	-35	35	18991
260	-22	22	19013	260	-22	22	19013
261	-52	52	19065	261	-52	52	19065
262	-41	41	19106	262	-41	41	19106
263	-152	53	19159	263	-152	53	19159
264	-45	45	19204	264	-45	45	19204
265	-161	62	19266	265	-161	62	19266
266	-35	35	19301	266	-35	35	19301
267	-23	23	19324	267	-23	23	19324
268	-29	29	19353	268	-29	29	19353
269	-29	29	19382	269	-29	29	19382
270	-29	29	19411	270	-29	29	19411
271	-23	23	19434	271	-23	23	19434
272	-30	30	19464	272	-30	30	19464
273	-43	43	19507	273	-43	43	19507
274	-44	44	19551	274	-44	44	19551
275	-27	27	19578	275	-27	27	19578
276	-29	29	19607	276	-29	29	19607
277	-134	35	19642	277	-134	35	19642
278	-21	21	19663	278	-21	21	19663
279	-35	35	19698	279	-35	35	19698
280	-35	35	19733	280	-35	35	19733
281	-27	27	19760	281	-27	27	19760
282	-119	20	19780	282	-119	20	19780
283	-43	43	19823	283	-43	43	19823
284	-29	29	19852	284	-29	29	19852
285	-17	17	19869	285	-17	17	19869
286	-39	39	19908	286	-39	39	19908
287	-31	31	19939	287	-31	31	19939
288	-31	31	19970	288	-31	31	19970
289	-34	34	20004	289	-34	34	20004
290	-19	19	20023	290	-19	19	20023
291	-21	21	20044	291	-21	21	20044
292	-35	35	20079	292	-35	35	20079
293	-34	34	20113	293	-34	34	20113
294	-41	41	20154	294	-41	41	20154
295	-34	34	20188	295	-34	34	20188
296	-31	31	20219	296	-31	31	20219
297	-25	25	20244	297	-25	25	20244
298	-33	33	20277	298	-33	33	20277
299	-31	31	20308	299	-31	31	20308
300	-25	25	20333	300	-25	25	20333
301	-27	27	20360	301	-27	27	20360
302	-26	26	20386	302	-26	26	20386
303	-34	34	20420	303	-34	34	20420
304	-23	23	20443	304	-23	23	20443
305	-39	39	20482	305	-39	39	20482
306	-31	31	20513	306	-31	31	20513
307	-41	41	20554	307	-41	41	20554
308	-27	27	20581	308	-27	27	20581
309	-34	34	20615	309	-34	34	20615
310	-25	25	20640	310	-25	25	20640
311	-21	21	20661	311	-21	21	20661
312	-140	41	20702	312	-140	41	20702
313	-37	37	20739	313	-37	37	20739
314	-25	25	20764	314	-25	25	20764
315	-29	29	20793	315	-29	29	20793
316	-27	27	20820	316	-27	27	20820
317	-33	33	20853	317	-33	33	20853
318	-23	23	20876	318	-23	23	20876
319	-132	33	20909	319	-132	33	20909
320	-33	33	20942	320	-33	33	20942
321	-27	27	20969	321	-27	27	20969
322	-18	18	20987	322	-18	18	20987
323	-23	23	21010	323	-23	23	21010
324	-33	33	21043	324	-33	33	21043
325	-39	39	21082	325	-39	39	21082
326	-29	29	21111	326	-29	29	21111
327	-23	23	21134	327	-23	23	21134
328	-27	27	21161	328	-27	27	21161
329	-31	31	21192	329	-31	31	21192
330	-29	29	21221	330	-29	29	21221
331	-22	22	21243	331	-22	22	21243
332	-21	21	21264	332	-21	21	21264
333	-23	23	21287	333	-23	23	21287
334	-30	30	21317	334	-30	30	21317
335	-23	23	21340	335	-23	23	21340
336	-28	28	21368	336	-28	28	21368
337	-28	28	21396	337	-28	28	21396
338	-18	18	21414	338	-18	18	21414
339	-131	32	21446	339	-131	32	21446
340	-23	23	21469	340	-23	23	21469
341	-133	34	21503	341	-133	34	21503
342	-24	24	21527	342	-24	24	21527
343	-35	35	21562	343	-35	35	21562
344	-48	48	21610	344	-48	48	21610
345	-25	25	21635	345	-25	25	21635
346	-21	21	21656	346	-21	21	21656
347	-31	31	21687	347	-31	31	21687
348	-19	19	21706	348	-19	19	21706
349	-27	27	21733	349	-27	27	21733
350	-35	35	21768	350	-35	35	21768
351	-19	19	21787	351	-19	19	21787
352	-21	21	21808	352	-21	21	21808
353	-21	21	21829	353	-21	21	21829
354	-129	30	21859	354	-129	30	21859
355	-32	32	21891	355	-32	32	21891
356	-34	34	21925	356	-34	34	21925
357	-24	24	21949	357	-24	24	21949
358	-127	28	21977	358	-127	28	21977
359	-23	23	22000	359	-23	23	22000
360	-29	29	22029	360	-29	29	22029
361	-25	25	22054	361	-25	25	22054
362	-24	24	22078	362	-24	24	22078
363	-27	27	22105	363	-27	27	22105
364	-29	29	22134	364	-29	29	22134
365	-25	25	22159	365	-25	25	22159
366	-17	17	22176	366	-17	17	22176
367	-21	21	22197	367	-21	21	22197
368	-25	25	22222	368	-25	25	22222
369	-23	23	22245	369	-23	23	22245
370	-42	42	22287	370	-42	42	22287
