Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338	10	-194	95	1338
11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400	11	-62	62	1400
12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456	12	-56	56	1456
13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511	13	-55	55	1511
14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566	14	-55	55	1566
15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607	15	-41	41	1607
16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690	16	-83	83	1690
17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779	17	-287	89	1779
18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820	18	-41	41	1820
19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883	19	-63	63	1883
20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943	20	-60	60	1943
21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982	21	-39	39	1982
22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036	22	-54	54	2036
23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072	23	-36	36	2072
24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131	24	-59	59	2131
25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162	25	-31	31	2162
26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197	26	-35	35	2197
27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227	27	-30	30	2227
28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257	28	-129	30	2257
29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286	29	-128	29	2286
30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321	30	-134	35	2321
31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340	31	-19	19	2340
32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373	32	-33	33	2373
33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400	33	-27	27	2400
34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423	34	-23	23	2423
35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438	35	-15	15	2438
36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498	36	-60	60	2498
37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547	37	-247	49	2547
38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572	38	-25	25	2572
39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592	39	-20	20	2592
40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609	40	-17	17	2609
41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634	41	-124	25	2634
42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657	42	-23	23	2657
43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680	43	-23	23	2680
44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707	44	-27	27	2707
45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739	45	-32	32	2739
46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768	46	-29	29	2768
47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790	47	-22	22	2790
48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811	48	-21	21	2811
49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830	49	-19	19	2830
