Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
38	-17	17	665	38	-17	17	665	38	-17	17	665	38	-17	17	665	38	-17	17	665	38	-17	17	665	38	-17	17	665	38	-17	17	665	38	-17	17	665	38	-17	17	665	38	-17	17	665	38	-17	17	665	38	-17	17	665	38	-17	17	665
39	-13	13	678	39	-13	13	678	39	-13	13	678	39	-13	13	678	39	-13	13	678	39	-13	13	678	39	-13	13	678	39	-13	13	678	39	-13	13	678	39	-13	13	678	39	-13	13	678	39	-13	13	678	39	-13	13	678	39	-13	13	678
40	-15	15	693	40	-15	15	693	40	-15	15	693	40	-15	15	693	40	-15	15	693	40	-15	15	693	40	-15	15	693	40	-15	15	693	40	-15	15	693	40	-15	15	693	40	-15	15	693	40	-15	15	693	40	-15	15	693	40	-15	15	693
41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706
42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719
43	-121	22	741	43	-121	22	741	43	-121	22	741	43	-121	22	741	43	-121	22	741	43	-121	22	741	43	-121	22	741	43	-121	22	741	43	-121	22	741	43	-121	22	741	43	-121	22	741	43	-121	22	741	43	-121	22	741	43	-121	22	741
44	-13	13	754	44	-13	13	754	44	-13	13	754	44	-13	13	754	44	-13	13	754	44	-13	13	754	44	-13	13	754	44	-13	13	754	44	-13	13	754	44	-13	13	754	44	-13	13	754	44	-13	13	754	44	-13	13	754	44	-13	13	754
45	-15	15	769	45	-15	15	769	45	-15	15	769	45	-15	15	769	45	-15	15	769	45	-15	15	769	45	-15	15	769	45	-15	15	769	45	-15	15	769	45	-15	15	769	45	-15	15	769	45	-15	15	769	45	-15	15	769	45	-15	15	769
46	-13	13	782	46	-13	13	782	46	-13	13	782	46	-13	13	782	46	-13	13	782	46	-13	13	782	46	-13	13	782	46	-13	13	782	46	-13	13	782	46	-13	13	782	46	-13	13	782	46	-13	13	782	46	-13	13	782	46	-13	13	782
47	-15	15	797	47	-15	15	797	47	-15	15	797	47	-15	15	797	47	-15	15	797	47	-15	15	797	47	-15	15	797	47	-15	15	797	47	-15	15	797	47	-15	15	797	47	-15	15	797	47	-15	15	797	47	-15	15	797	47	-15	15	797
48	-130	31	828	48	-130	31	828	48	-130	31	828	48	-130	31	828	48	-130	31	828	48	-130	31	828	48	-130	31	828	48	-130	31	828	48	-130	31	828	48	-130	31	828	48	-130	31	828	48	-130	31	828	48	-130	31	828	48	-130	31	828
49	-15	15	843	49	-15	15	843	49	-15	15	843	49	-15	15	843	49	-15	15	843	49	-15	15	843	49	-15	15	843	49	-15	15	843	49	-15	15	843	49	-15	15	843	49	-15	15	843	49	-15	15	843	49	-15	15	843	49	-15	15	843
50	-15	15	858	50	-15	15	858	50	-15	15	858	50	-15	15	858	50	-15	15	858	50	-15	15	858	50	-15	15	858	50	-15	15	858	50	-15	15	858	50	-15	15	858	50	-15	15	858	50	-15	15	858	50	-15	15	858	50	-15	15	858
51	-13	13	871	51	-13	13	871	51	-13	13	871	51	-13	13	871	51	-13	13	871	51	-13	13	871	51	-13	13	871	51	-13	13	871	51	-13	13	871	51	-13	13	871	51	-13	13	871	51	-13	13	871	51	-13	13	871	51	-13	13	871
52	-17	17	888	52	-17	17	888	52	-17	17	888	52	-17	17	888	52	-17	17	888	52	-17	17	888	52	-17	17	888	52	-17	17	888	52	-17	17	888	52	-17	17	888	52	-17	17	888	52	-17	17	888	52	-17	17	888	52	-17	17	888
53	-16	16	904	53	-16	16	904	53	-16	16	904	53	-16	16	904	53	-16	16	904	53	-16	16	904	53	-16	16	904	53	-16	16	904	53	-16	16	904	53	-16	16	904	53	-16	16	904	53	-16	16	904	53	-16	16	904	53	-16	16	904
54	-17	17	921	54	-17	17	921	54	-17	17	921	54	-17	17	921	54	-17	17	921	54	-17	17	921	54	-17	17	921	54	-17	17	921	54	-17	17	921	54	-17	17	921	54	-17	17	921	54	-17	17	921	54	-17	17	921	54	-17	17	921
55	-13	13	934	55	-13	13	934	55	-13	13	934	55	-13	13	934	55	-13	13	934	55	-13	13	934	55	-13	13	934	55	-13	13	934	55	-13	13	934	55	-13	13	934	55	-13	13	934	55	-13	13	934	55	-13	13	934	55	-13	13	934
56	-21	21	955	56	-21	21	955	56	-21	21	955	56	-21	21	955	56	-21	21	955	56	-21	21	955	56	-21	21	955	56	-21	21	955	56	-21	21	955	56	-21	21	955	56	-21	21	955	56	-21	21	955	56	-21	21	955	56	-21	21	955
57	-117	18	973	57	-117	18	973	57	-117	18	973	57	-117	18	973	57	-117	18	973	57	-117	18	973	57	-117	18	973	57	-117	18	973	57	-117	18	973	57	-117	18	973	57	-117	18	973	57	-117	18	973	57	-117	18	973	57	-117	18	973
58	-16	16	989	58	-16	16	989	58	-16	16	989	58	-16	16	989	58	-16	16	989	58	-16	16	989	58	-16	16	989	58	-16	16	989	58	-16	16	989	58	-16	16	989	58	-16	16	989	58	-16	16	989	58	-16	16	989	58	-16	16	989
59	-13	13	1002	59	-13	13	1002	59	-13	13	1002	59	-13	13	1002	59	-13	13	1002	59	-13	13	1002	59	-13	13	1002	59	-13	13	1002	59	-13	13	1002	59	-13	13	1002	59	-13	13	1002	59	-13	13	1002	59	-13	13	1002	59	-13	13	1002
60	-13	13	1015	60	-13	13	1015	60	-13	13	1015	60	-13	13	1015	60	-13	13	1015	60	-13	13	1015	60	-13	13	1015	60	-13	13	1015	60	-13	13	1015	60	-13	13	1015	60	-13	13	1015	60	-13	13	1015	60	-13	13	1015	60	-13	13	1015
61	-13	13	1028	61	-13	13	1028	61	-13	13	1028	61	-13	13	1028	61	-13	13	1028	61	-13	13	1028	61	-13	13	1028	61	-13	13	1028	61	-13	13	1028	61	-13	13	1028	61	-13	13	1028	61	-13	13	1028	61	-13	13	1028	61	-13	13	1028
62	-13	13	1041	62	-13	13	1041	62	-13	13	1041	62	-13	13	1041	62	-13	13	1041	62	-13	13	1041	62	-13	13	1041	62	-13	13	1041	62	-13	13	1041	62	-13	13	1041	62	-13	13	1041	62	-13	13	1041	62	-13	13	1041	62	-13	13	1041
63	-118	19	1060	63	-118	19	1060	63	-118	19	1060	63	-118	19	1060	63	-118	19	1060	63	-118	19	1060	63	-118	19	1060	63	-118	19	1060	63	-118	19	1060	63	-118	19	1060	63	-118	19	1060	63	-118	19	1060	63	-118	19	1060	63	-118	19	1060
64	-17	17	1077	64	-17	17	1077	64	-17	17	1077	64	-17	17	1077	64	-17	17	1077	64	-17	17	1077	64	-17	17	1077	64	-17	17	1077	64	-17	17	1077	64	-17	17	1077	64	-17	17	1077	64	-17	17	1077	64	-17	17	1077	64	-17	17	1077
65	-16	16	1093	65	-16	16	1093	65	-16	16	1093	65	-16	16	1093	65	-16	16	1093	65	-16	16	1093	65	-16	16	1093	65	-16	16	1093	65	-16	16	1093	65	-16	16	1093	65	-16	16	1093	65	-16	16	1093	65	-16	16	1093	65	-16	16	1093
66	-15	15	1108	66	-15	15	1108	66	-15	15	1108	66	-15	15	1108	66	-15	15	1108	66	-15	15	1108	66	-15	15	1108	66	-15	15	1108	66	-15	15	1108	66	-15	15	1108	66	-15	15	1108	66	-15	15	1108	66	-15	15	1108	66	-15	15	1108
67	-15	15	1123	67	-15	15	1123	67	-15	15	1123	67	-15	15	1123	67	-15	15	1123	67	-15	15	1123	67	-15	15	1123	67	-15	15	1123	67	-15	15	1123	67	-15	15	1123	67	-15	15	1123	67	-15	15	1123	67	-15	15	1123	67	-15	15	1123
68	-20	20	1143	68	-20	20	1143	68	-20	20	1143	68	-20	20	1143	68	-20	20	1143	68	-20	20	1143	68	-20	20	1143	68	-20	20	1143	68	-20	20	1143	68	-20	20	1143	68	-20	20	1143	68	-20	20	1143	68	-20	20	1143	68	-20	20	1143
69	-13	13	1156	69	-13	13	1156	69	-13	13	1156	69	-13	13	1156	69	-13	13	1156	69	-13	13	1156	69	-13	13	1156	69	-13	13	1156	69	-13	13	1156	69	-13	13	1156	69	-13	13	1156	69	-13	13	1156	69	-13	13	1156	69	-13	13	1156
70	-13	13	1169	70	-13	13	1169	70	-13	13	1169	70	-13	13	1169	70	-13	13	1169	70	-13	13	1169	70	-13	13	1169	70	-13	13	1169	70	-13	13	1169	70	-13	13	1169	70	-13	13	1169	70	-13	13	1169	70	-13	13	1169	70	-13	13	1169
71	-226	28	1197	71	-226	28	1197	71	-226	28	1197	71	-226	28	1197	71	-226	28	1197	71	-226	28	1197	71	-226	28	1197	71	-226	28	1197	71	-226	28	1197	71	-226	28	1197	71	-226	28	1197	71	-226	28	1197	71	-226	28	1197	71	-226	28	1197
72	-13	13	1210	72	-13	13	1210	72	-13	13	1210	72	-13	13	1210	72	-13	13	1210	72	-13	13	1210	72	-13	13	1210	72	-13	13	1210	72	-13	13	1210	72	-13	13	1210	72	-13	13	1210	72	-13	13	1210	72	-13	13	1210	72	-13	13	1210
73	-337	40	1250	73	-337	40	1250	73	-337	40	1250	73	-337	40	1250	73	-337	40	1250	73	-337	40	1250	73	-337	40	1250	73	-337	40	1250	73	-337	40	1250	73	-337	40	1250	73	-337	40	1250	73	-337	40	1250	73	-337	40	1250	73	-337	40	1250
74	-15	15	1265	74	-15	15	1265	74	-15	15	1265	74	-15	15	1265	74	-15	15	1265	74	-15	15	1265	74	-15	15	1265	74	-15	15	1265	74	-15	15	1265	74	-15	15	1265	74	-15	15	1265	74	-15	15	1265	74	-15	15	1265	74	-15	15	1265
75	-16	16	1281	75	-16	16	1281	75	-16	16	1281	75	-16	16	1281	75	-16	16	1281	75	-16	16	1281	75	-16	16	1281	75	-16	16	1281	75	-16	16	1281	75	-16	16	1281	75	-16	16	1281	75	-16	16	1281	75	-16	16	1281	75	-16	16	1281
76	-14	14	1295	76	-14	14	1295	76	-14	14	1295	76	-14	14	1295	76	-14	14	1295	76	-14	14	1295	76	-14	14	1295	76	-14	14	1295	76	-14	14	1295	76	-14	14	1295	76	-14	14	1295	76	-14	14	1295	76	-14	14	1295	76	-14	14	1295
77	-17	17	1312	77	-17	17	1312	77	-17	17	1312	77	-17	17	1312	77	-17	17	1312	77	-17	17	1312	77	-17	17	1312	77	-17	17	1312	77	-17	17	1312	77	-17	17	1312	77	-17	17	1312	77	-17	17	1312	77	-17	17	1312	77	-17	17	1312
78	-14	14	1326	78	-14	14	1326	78	-14	14	1326	78	-14	14	1326	78	-14	14	1326	78	-14	14	1326	78	-14	14	1326	78	-14	14	1326	78	-14	14	1326	78	-14	14	1326	78	-14	14	1326	78	-14	14	1326	78	-14	14	1326	78	-14	14	1326
79	-13	13	1339	79	-13	13	1339	79	-13	13	1339	79	-13	13	1339	79	-13	13	1339	79	-13	13	1339	79	-13	13	1339	79	-13	13	1339	79	-13	13	1339	79	-13	13	1339	79	-13	13	1339	79	-13	13	1339	79	-13	13	1339	79	-13	13	1339
80	-15	15	1354	80	-15	15	1354	80	-15	15	1354	80	-15	15	1354	80	-15	15	1354	80	-15	15	1354	80	-15	15	1354	80	-15	15	1354	80	-15	15	1354	80	-15	15	1354	80	-15	15	1354	80	-15	15	1354	80	-15	15	1354	80	-15	15	1354
81	-20	20	1374	81	-20	20	1374	81	-20	20	1374	81	-20	20	1374	81	-20	20	1374	81	-20	20	1374	81	-20	20	1374	81	-20	20	1374	81	-20	20	1374	81	-20	20	1374	81	-20	20	1374	81	-20	20	1374	81	-20	20	1374	81	-20	20	1374
82	-13	13	1387	82	-13	13	1387	82	-13	13	1387	82	-13	13	1387	82	-13	13	1387	82	-13	13	1387	82	-13	13	1387	82	-13	13	1387	82	-13	13	1387	82	-13	13	1387	82	-13	13	1387	82	-13	13	1387	82	-13	13	1387	82	-13	13	1387
83	-17	17	1404	83	-17	17	1404	83	-17	17	1404	83	-17	17	1404	83	-17	17	1404	83	-17	17	1404	83	-17	17	1404	83	-17	17	1404	83	-17	17	1404	83	-17	17	1404	83	-17	17	1404	83	-17	17	1404	83	-17	17	1404	83	-17	17	1404
84	-15	15	1419	84	-15	15	1419	84	-15	15	1419	84	-15	15	1419	84	-15	15	1419	84	-15	15	1419	84	-15	15	1419	84	-15	15	1419	84	-15	15	1419	84	-15	15	1419	84	-15	15	1419	84	-15	15	1419	84	-15	15	1419	84	-15	15	1419
85	-13	13	1432	85	-13	13	1432	85	-13	13	1432	85	-13	13	1432	85	-13	13	1432	85	-13	13	1432	85	-13	13	1432	85	-13	13	1432	85	-13	13	1432	85	-13	13	1432	85	-13	13	1432	85	-13	13	1432	85	-13	13	1432	85	-13	13	1432
86	-15	15	1447	86	-15	15	1447	86	-15	15	1447	86	-15	15	1447	86	-15	15	1447	86	-15	15	1447	86	-15	15	1447	86	-15	15	1447	86	-15	15	1447	86	-15	15	1447	86	-15	15	1447	86	-15	15	1447	86	-15	15	1447	86	-15	15	1447
87	-117	18	1465	87	-117	18	1465	87	-117	18	1465	87	-117	18	1465	87	-117	18	1465	87	-117	18	1465	87	-117	18	1465	87	-117	18	1465	87	-117	18	1465	87	-117	18	1465	87	-117	18	1465	87	-117	18	1465	87	-117	18	1465	87	-117	18	1465
88	-15	15	1480	88	-15	15	1480	88	-15	15	1480	88	-15	15	1480	88	-15	15	1480	88	-15	15	1480	88	-15	15	1480	88	-15	15	1480	88	-15	15	1480	88	-15	15	1480	88	-15	15	1480	88	-15	15	1480	88	-15	15	1480	88	-15	15	1480
89	-15	15	1495	89	-15	15	1495	89	-15	15	1495	89	-15	15	1495	89	-15	15	1495	89	-15	15	1495	89	-15	15	1495	89	-15	15	1495	89	-15	15	1495	89	-15	15	1495	89	-15	15	1495	89	-15	15	1495	89	-15	15	1495	89	-15	15	1495
90	-17	17	1512	90	-17	17	1512	90	-17	17	1512	90	-17	17	1512	90	-17	17	1512	90	-17	17	1512	90	-17	17	1512	90	-17	17	1512	90	-17	17	1512	90	-17	17	1512	90	-17	17	1512	90	-17	17	1512	90	-17	17	1512	90	-17	17	1512
91	-125	26	1538	91	-125	26	1538	91	-125	26	1538	91	-125	26	1538	91	-125	26	1538	91	-125	26	1538	91	-125	26	1538	91	-125	26	1538	91	-125	26	1538	91	-125	26	1538	91	-125	26	1538	91	-125	26	1538	91	-125	26	1538	91	-125	26	1538
92	-13	13	1551	92	-13	13	1551	92	-13	13	1551	92	-13	13	1551	92	-13	13	1551	92	-13	13	1551	92	-13	13	1551	92	-13	13	1551	92	-13	13	1551	92	-13	13	1551	92	-13	13	1551	92	-13	13	1551	92	-13	13	1551	92	-13	13	1551
93	-15	15	1566	93	-15	15	1566	93	-15	15	1566	93	-15	15	1566	93	-15	15	1566	93	-15	15	1566	93	-15	15	1566	93	-15	15	1566	93	-15	15	1566	93	-15	15	1566	93	-15	15	1566	93	-15	15	1566	93	-15	15	1566	93	-15	15	1566
94	-15	15	1581	94	-15	15	1581	94	-15	15	1581	94	-15	15	1581	94	-15	15	1581	94	-15	15	1581	94	-15	15	1581	94	-15	15	1581	94	-15	15	1581	94	-15	15	1581	94	-15	15	1581	94	-15	15	1581	94	-15	15	1581	94	-15	15	1581
95	-15	15	1596	95	-15	15	1596	95	-15	15	1596	95	-15	15	1596	95	-15	15	1596	95	-15	15	1596	95	-15	15	1596	95	-15	15	1596	95	-15	15	1596	95	-15	15	1596	95	-15	15	1596	95	-15	15	1596	95	-15	15	1596	95	-15	15	1596
96	-13	13	1609	96	-13	13	1609	96	-13	13	1609	96	-13	13	1609	96	-13	13	1609	96	-13	13	1609	96	-13	13	1609	96	-13	13	1609	96	-13	13	1609	96	-13	13	1609	96	-13	13	1609	96	-13	13	1609	96	-13	13	1609	96	-13	13	1609
97	-17	17	1626	97	-17	17	1626	97	-17	17	1626	97	-17	17	1626	97	-17	17	1626	97	-17	17	1626	97	-17	17	1626	97	-17	17	1626	97	-17	17	1626	97	-17	17	1626	97	-17	17	1626	97	-17	17	1626	97	-17	17	1626	97	-17	17	1626
98	-20	20	1646	98	-20	20	1646	98	-20	20	1646	98	-20	20	1646	98	-20	20	1646	98	-20	20	1646	98	-20	20	1646	98	-20	20	1646	98	-20	20	1646	98	-20	20	1646	98	-20	20	1646	98	-20	20	1646	98	-20	20	1646	98	-20	20	1646
99	-17	17	1663	99	-17	17	1663	99	-17	17	1663	99	-17	17	1663	99	-17	17	1663	99	-17	17	1663	99	-17	17	1663	99	-17	17	1663	99	-17	17	1663	99	-17	17	1663	99	-17	17	1663	99	-17	17	1663	99	-17	17	1663	99	-17	17	1663
100	-15	15	1678	100	-15	15	1678	100	-15	15	1678	100	-15	15	1678	100	-15	15	1678	100	-15	15	1678	100	-15	15	1678	100	-15	15	1678	100	-15	15	1678	100	-15	15	1678	100	-15	15	1678	100	-15	15	1678	100	-15	15	1678	100	-15	15	1678
