Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167	35	1.0	16	3167
36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184	36	1.0	17	3184
37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202	37	1.0	18	3202
38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219	38	1.0	17	3219
39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235	39	1.0	16	3235
40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261	40	1.0	26	3261
41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307	41	1.0	46	3307
42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329	42	1.0	22	3329
43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346	43	1.0	17	3346
44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365	44	1.0	19	3365
45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383	45	1.0	18	3383
46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399	46	1.0	16	3399
47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418	47	1.0	19	3418
48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447	48	1.0	29	3447
49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464	49	1.0	17	3464
