Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
131	-142.0	142	22983	131	-142.0	142	22983
132	-140.0	140	23123	132	-140.0	140	23123
133	-194.0	194	23317	133	-194.0	194	23317
134	-140.0	140	23457	134	-140.0	140	23457
135	-164.0	164	23621	135	-164.0	164	23621
136	-148.0	148	23769	136	-148.0	148	23769
137	-144.0	144	23913	137	-144.0	144	23913
138	-146.0	146	24059	138	-146.0	146	24059
139	-141.0	141	24200	139	-141.0	141	24200
140	-144.0	144	24344	140	-144.0	144	24344
141	-142.0	142	24486	141	-142.0	142	24486
142	-142.0	142	24628	142	-142.0	142	24628
143	-139.0	139	24767	143	-139.0	139	24767
144	-149.0	149	24916	144	-149.0	149	24916
145	-148.0	148	25064	145	-148.0	148	25064
146	-176.0	176	25240	146	-176.0	176	25240
147	-150.0	150	25390	147	-150.0	150	25390
148	-142.0	142	25532	148	-142.0	142	25532
149	-149.0	149	25681	149	-149.0	149	25681
150	-148.0	148	25829	150	-148.0	148	25829
151	-142.0	142	25971	151	-142.0	142	25971
152	-132.0	132	26103	152	-132.0	132	26103
153	-139.0	139	26242	153	-139.0	139	26242
154	-139.0	139	26381	154	-139.0	139	26381
155	-115.0	115	26496	155	-115.0	115	26496
156	-138.0	138	26634	156	-138.0	138	26634
157	-156.0	156	26790	157	-156.0	156	26790
158	-159.0	159	26949	158	-159.0	159	26949
159	-137.0	137	27086	159	-137.0	137	27086
160	-110.0	110	27196	160	-110.0	110	27196
161	-136.0	136	27332	161	-136.0	136	27332
162	-137.0	137	27469	162	-137.0	137	27469
163	-149.0	149	27618	163	-149.0	149	27618
164	-146.0	146	27764	164	-146.0	146	27764
165	-114.0	114	27878	165	-114.0	114	27878
166	-136.0	136	28014	166	-136.0	136	28014
167	-118.0	118	28132	167	-118.0	118	28132
168	-119.0	119	28251	168	-119.0	119	28251
169	-111.0	111	28362	169	-111.0	111	28362
170	-139.0	139	28501	170	-139.0	139	28501
171	-118.0	118	28619	171	-118.0	118	28619
172	-174.0	174	28793	172	-174.0	174	28793
173	-129.0	129	28922	173	-129.0	129	28922
174	-133.0	133	29055	174	-133.0	133	29055
175	-193.0	193	29248	175	-193.0	193	29248
176	-170.0	170	29418	176	-170.0	170	29418
177	-142.0	142	29560	177	-142.0	142	29560
178	-208.0	208	29768	178	-208.0	208	29768
179	-123.0	123	29891	179	-123.0	123	29891
180	-135.0	135	30026	180	-135.0	135	30026
181	-190.0	190	30216	181	-190.0	190	30216
182	-179.0	179	30395	182	-179.0	179	30395
183	-148.0	148	30543	183	-148.0	148	30543
184	-121.0	121	30664	184	-121.0	121	30664
185	-135.0	135	30799	185	-135.0	135	30799
186	-132.0	132	30931	186	-132.0	132	30931
187	-133.0	133	31064	187	-133.0	133	31064
188	-174.0	174	31238	188	-174.0	174	31238
189	-137.0	137	31375	189	-137.0	137	31375
190	-142.0	142	31517	190	-142.0	142	31517
191	-174.0	174	31691	191	-174.0	174	31691
192	-148.0	148	31839	192	-148.0	148	31839
193	-170.0	170	32009	193	-170.0	170	32009
194	-169.0	169	32178	194	-169.0	169	32178
195	-166.0	166	32344	195	-166.0	166	32344
196	-176.0	176	32520	196	-176.0	176	32520
197	-199.0	199	32719	197	-199.0	199	32719
198	-228.0	228	32947	198	-228.0	228	32947
199	-165.0	165	33112	199	-165.0	165	33112
200	-142.0	142	33254	200	-142.0	142	33254
201	-161.0	161	33415	201	-161.0	161	33415
202	-162.0	162	33577	202	-162.0	162	33577
203	-152.0	152	33729	203	-152.0	152	33729
204	-139.0	139	33868	204	-139.0	139	33868
205	-151.0	151	34019	205	-151.0	151	34019
206	-115.0	115	34134	206	-115.0	115	34134
207	-110.0	110	34244	207	-110.0	110	34244
208	-111.0	111	34355	208	-111.0	111	34355
209	-158.0	158	34513	209	-158.0	158	34513
210	-107.0	107	34620	210	-107.0	107	34620
211	-108.0	108	34728	211	-108.0	108	34728
212	-148.0	148	34876	212	-148.0	148	34876
213	-142.0	142	35018	213	-142.0	142	35018
214	-132.0	132	35150	214	-132.0	132	35150
215	-114.0	114	35264	215	-114.0	114	35264
216	-137.0	137	35401	216	-137.0	137	35401
217	-112.0	112	35513	217	-112.0	112	35513
218	-134.0	134	35647	218	-134.0	134	35647
219	-136.0	136	35783	219	-136.0	136	35783
220	-135.0	135	35918	220	-135.0	135	35918
221	-251.0	251	36169	221	-251.0	251	36169
222	-139.0	139	36308	222	-139.0	139	36308
223	-218.0	218	36526	223	-218.0	218	36526
224	-153.0	153	36679	224	-153.0	153	36679
225	-136.0	136	36815	225	-136.0	136	36815
226	-193.0	193	37008	226	-193.0	193	37008
227	-112.0	112	37120	227	-112.0	112	37120
