Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816	10	-32	32	1816
11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839	11	-23	23	1839
12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931	12	-191	92	1931
13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128	13	-296	197	2128
14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184	14	-56	56	2184
15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225	15	-41	41	2225
16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246	16	-21	21	2246
17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318	17	-72	72	2318
18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335	18	-17	17	2335
19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354	19	-19	19	2354
20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373	20	-19	19	2373
21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390	21	-17	17	2390
22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409	22	-19	19	2409
23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431	23	-22	22	2431
24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451	24	-119	20	2451
25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502	25	-51	51	2502
26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520	26	-18	18	2520
27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542	27	-22	22	2542
28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561	28	-19	19	2561
29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578	29	-17	17	2578
30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597	30	-19	19	2597
31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616	31	-19	19	2616
32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633	32	-17	17	2633
33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980	33	-446	347	2980
34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057	34	-77	77	3057
35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108	35	-51	51	3108
36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155	36	-47	47	3155
37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181	37	-26	26	3181
38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212	38	-31	31	3212
39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337	39	-224	125	3337
40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396	40	-59	59	3396
41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499	41	-103	103	3499
42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529	42	-30	30	3529
43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555	43	-26	26	3555
44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575	44	-20	20	3575
