Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042	25	-13	13	1042
26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055	26	-13	13	1055
27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075	27	-119	20	1075
28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090	28	-15	15	1090
29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103	29	-13	13	1103
30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118	30	-15	15	1118
31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133	31	-15	15	1133
32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146	32	-13	13	1146
33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161	33	-15	15	1161
34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177	34	-16	16	1177
35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193	35	-16	16	1193
36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206	36	-13	13	1206
37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219	37	-13	13	1219
38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257	38	-335	38	1257
39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272	39	-15	15	1272
40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289	40	-17	17	1289
41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307	41	-117	18	1307
42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321	42	-113	14	1321
43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340	43	-19	19	1340
44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379	44	-237	39	1379
45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392	45	-13	13	1392
