Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
27	-46	46	2980	27	-46	46	2980	27	-46	46	2980	27	-46	46	2980	27	-46	46	2980	27	-46	46	2980	27	-46	46	2980	27	-46	46	2980	27	-46	46	2980	27	-46	46	2980	27	-46	46	2980
28	-69	69	3049	28	-69	69	3049	28	-69	69	3049	28	-69	69	3049	28	-69	69	3049	28	-69	69	3049	28	-69	69	3049	28	-69	69	3049	28	-69	69	3049	28	-69	69	3049	28	-69	69	3049
29	-141	42	3091	29	-141	42	3091	29	-141	42	3091	29	-141	42	3091	29	-141	42	3091	29	-141	42	3091	29	-141	42	3091	29	-141	42	3091	29	-141	42	3091	29	-141	42	3091	29	-141	42	3091
30	-63	63	3154	30	-63	63	3154	30	-63	63	3154	30	-63	63	3154	30	-63	63	3154	30	-63	63	3154	30	-63	63	3154	30	-63	63	3154	30	-63	63	3154	30	-63	63	3154	30	-63	63	3154
31	-128	29	3183	31	-128	29	3183	31	-128	29	3183	31	-128	29	3183	31	-128	29	3183	31	-128	29	3183	31	-128	29	3183	31	-128	29	3183	31	-128	29	3183	31	-128	29	3183	31	-128	29	3183
32	-61	61	3244	32	-61	61	3244	32	-61	61	3244	32	-61	61	3244	32	-61	61	3244	32	-61	61	3244	32	-61	61	3244	32	-61	61	3244	32	-61	61	3244	32	-61	61	3244	32	-61	61	3244
33	-40	40	3284	33	-40	40	3284	33	-40	40	3284	33	-40	40	3284	33	-40	40	3284	33	-40	40	3284	33	-40	40	3284	33	-40	40	3284	33	-40	40	3284	33	-40	40	3284	33	-40	40	3284
34	-33	33	3317	34	-33	33	3317	34	-33	33	3317	34	-33	33	3317	34	-33	33	3317	34	-33	33	3317	34	-33	33	3317	34	-33	33	3317	34	-33	33	3317	34	-33	33	3317	34	-33	33	3317
35	-39	39	3356	35	-39	39	3356	35	-39	39	3356	35	-39	39	3356	35	-39	39	3356	35	-39	39	3356	35	-39	39	3356	35	-39	39	3356	35	-39	39	3356	35	-39	39	3356	35	-39	39	3356
36	-40	40	3396	36	-40	40	3396	36	-40	40	3396	36	-40	40	3396	36	-40	40	3396	36	-40	40	3396	36	-40	40	3396	36	-40	40	3396	36	-40	40	3396	36	-40	40	3396	36	-40	40	3396
