Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
51	-133	133	6458	51	-133	133	6458	51	-133	133	6458	51	-133	133	6458	51	-133	133	6458	51	-133	133	6458
52	-91	91	6549	52	-91	91	6549	52	-91	91	6549	52	-91	91	6549	52	-91	91	6549	52	-91	91	6549
53	-60	60	6609	53	-60	60	6609	53	-60	60	6609	53	-60	60	6609	53	-60	60	6609	53	-60	60	6609
54	-46	46	6655	54	-46	46	6655	54	-46	46	6655	54	-46	46	6655	54	-46	46	6655	54	-46	46	6655
55	-28	28	6683	55	-28	28	6683	55	-28	28	6683	55	-28	28	6683	55	-28	28	6683	55	-28	28	6683
56	-127	127	6810	56	-127	127	6810	56	-127	127	6810	56	-127	127	6810	56	-127	127	6810	56	-127	127	6810
57	-47	47	6857	57	-47	47	6857	57	-47	47	6857	57	-47	47	6857	57	-47	47	6857	57	-47	47	6857
58	-236	137	6994	58	-236	137	6994	58	-236	137	6994	58	-236	137	6994	58	-236	137	6994	58	-236	137	6994
59	-71	71	7065	59	-71	71	7065	59	-71	71	7065	59	-71	71	7065	59	-71	71	7065	59	-71	71	7065
60	-42	42	7107	60	-42	42	7107	60	-42	42	7107	60	-42	42	7107	60	-42	42	7107	60	-42	42	7107
61	-143	143	7250	61	-143	143	7250	61	-143	143	7250	61	-143	143	7250	61	-143	143	7250	61	-143	143	7250
62	-52	52	7302	62	-52	52	7302	62	-52	52	7302	62	-52	52	7302	62	-52	52	7302	62	-52	52	7302
63	-72	72	7374	63	-72	72	7374	63	-72	72	7374	63	-72	72	7374	63	-72	72	7374	63	-72	72	7374
64	-114	114	7488	64	-114	114	7488	64	-114	114	7488	64	-114	114	7488	64	-114	114	7488	64	-114	114	7488
65	-108	108	7596	65	-108	108	7596	65	-108	108	7596	65	-108	108	7596	65	-108	108	7596	65	-108	108	7596
66	-63	63	7659	66	-63	63	7659	66	-63	63	7659	66	-63	63	7659	66	-63	63	7659	66	-63	63	7659
67	-38	38	7697	67	-38	38	7697	67	-38	38	7697	67	-38	38	7697	67	-38	38	7697	67	-38	38	7697
68	-68	68	7765	68	-68	68	7765	68	-68	68	7765	68	-68	68	7765	68	-68	68	7765	68	-68	68	7765
69	-69	69	7834	69	-69	69	7834	69	-69	69	7834	69	-69	69	7834	69	-69	69	7834	69	-69	69	7834
70	-66	66	7900	70	-66	66	7900	70	-66	66	7900	70	-66	66	7900	70	-66	66	7900	70	-66	66	7900
71	-74	74	7974	71	-74	74	7974	71	-74	74	7974	71	-74	74	7974	71	-74	74	7974	71	-74	74	7974
72	-66	66	8040	72	-66	66	8040	72	-66	66	8040	72	-66	66	8040	72	-66	66	8040	72	-66	66	8040
73	-199	100	8140	73	-199	100	8140	73	-199	100	8140	73	-199	100	8140	73	-199	100	8140	73	-199	100	8140
74	-42	42	8182	74	-42	42	8182	74	-42	42	8182	74	-42	42	8182	74	-42	42	8182	74	-42	42	8182
75	-59	59	8241	75	-59	59	8241	75	-59	59	8241	75	-59	59	8241	75	-59	59	8241	75	-59	59	8241
76	-76	76	8317	76	-76	76	8317	76	-76	76	8317	76	-76	76	8317	76	-76	76	8317	76	-76	76	8317
77	-35	35	8352	77	-35	35	8352	77	-35	35	8352	77	-35	35	8352	77	-35	35	8352	77	-35	35	8352
78	-53	53	8405	78	-53	53	8405	78	-53	53	8405	78	-53	53	8405	78	-53	53	8405	78	-53	53	8405
79	-46	46	8451	79	-46	46	8451	79	-46	46	8451	79	-46	46	8451	79	-46	46	8451	79	-46	46	8451
80	-38	38	8489	80	-38	38	8489	80	-38	38	8489	80	-38	38	8489	80	-38	38	8489	80	-38	38	8489
81	-38	38	8527	81	-38	38	8527	81	-38	38	8527	81	-38	38	8527	81	-38	38	8527	81	-38	38	8527
82	-72	72	8599	82	-72	72	8599	82	-72	72	8599	82	-72	72	8599	82	-72	72	8599	82	-72	72	8599
83	-30	30	8629	83	-30	30	8629	83	-30	30	8629	83	-30	30	8629	83	-30	30	8629	83	-30	30	8629
84	-42	42	8671	84	-42	42	8671	84	-42	42	8671	84	-42	42	8671	84	-42	42	8671	84	-42	42	8671
85	-47	47	8718	85	-47	47	8718	85	-47	47	8718	85	-47	47	8718	85	-47	47	8718	85	-47	47	8718
86	-26	26	8744	86	-26	26	8744	86	-26	26	8744	86	-26	26	8744	86	-26	26	8744	86	-26	26	8744
87	-18	18	8762	87	-18	18	8762	87	-18	18	8762	87	-18	18	8762	87	-18	18	8762	87	-18	18	8762
88	-43	43	8805	88	-43	43	8805	88	-43	43	8805	88	-43	43	8805	88	-43	43	8805	88	-43	43	8805
89	-37	37	8842	89	-37	37	8842	89	-37	37	8842	89	-37	37	8842	89	-37	37	8842	89	-37	37	8842
90	-129	30	8872	90	-129	30	8872	90	-129	30	8872	90	-129	30	8872	90	-129	30	8872	90	-129	30	8872
91	-20	20	8892	91	-20	20	8892	91	-20	20	8892	91	-20	20	8892	91	-20	20	8892	91	-20	20	8892
92	-21	21	8913	92	-21	21	8913	92	-21	21	8913	92	-21	21	8913	92	-21	21	8913	92	-21	21	8913
93	-31	31	8944	93	-31	31	8944	93	-31	31	8944	93	-31	31	8944	93	-31	31	8944	93	-31	31	8944
94	-27	27	8971	94	-27	27	8971	94	-27	27	8971	94	-27	27	8971	94	-27	27	8971	94	-27	27	8971
95	-19	19	8990	95	-19	19	8990	95	-19	19	8990	95	-19	19	8990	95	-19	19	8990	95	-19	19	8990
96	-33	33	9023	96	-33	33	9023	96	-33	33	9023	96	-33	33	9023	96	-33	33	9023	96	-33	33	9023
97	-25	25	9048	97	-25	25	9048	97	-25	25	9048	97	-25	25	9048	97	-25	25	9048	97	-25	25	9048
98	-23	23	9071	98	-23	23	9071	98	-23	23	9071	98	-23	23	9071	98	-23	23	9071	98	-23	23	9071
99	-18	18	9089	99	-18	18	9089	99	-18	18	9089	99	-18	18	9089	99	-18	18	9089	99	-18	18	9089
100	-18	18	9107	100	-18	18	9107	100	-18	18	9107	100	-18	18	9107	100	-18	18	9107	100	-18	18	9107
101	-136	37	9144	101	-136	37	9144	101	-136	37	9144	101	-136	37	9144	101	-136	37	9144	101	-136	37	9144
102	-30	30	9174	102	-30	30	9174	102	-30	30	9174	102	-30	30	9174	102	-30	30	9174	102	-30	30	9174
103	-31	31	9205	103	-31	31	9205	103	-31	31	9205	103	-31	31	9205	103	-31	31	9205	103	-31	31	9205
104	-32	32	9237	104	-32	32	9237	104	-32	32	9237	104	-32	32	9237	104	-32	32	9237	104	-32	32	9237
105	-39	39	9276	105	-39	39	9276	105	-39	39	9276	105	-39	39	9276	105	-39	39	9276	105	-39	39	9276
106	-30	30	9306	106	-30	30	9306	106	-30	30	9306	106	-30	30	9306	106	-30	30	9306	106	-30	30	9306
107	-39	39	9345	107	-39	39	9345	107	-39	39	9345	107	-39	39	9345	107	-39	39	9345	107	-39	39	9345
108	-36	36	9381	108	-36	36	9381	108	-36	36	9381	108	-36	36	9381	108	-36	36	9381	108	-36	36	9381
109	-32	32	9413	109	-32	32	9413	109	-32	32	9413	109	-32	32	9413	109	-32	32	9413	109	-32	32	9413
110	-44	44	9457	110	-44	44	9457	110	-44	44	9457	110	-44	44	9457	110	-44	44	9457	110	-44	44	9457
111	-56	56	9513	111	-56	56	9513	111	-56	56	9513	111	-56	56	9513	111	-56	56	9513	111	-56	56	9513
112	-30	30	9543	112	-30	30	9543	112	-30	30	9543	112	-30	30	9543	112	-30	30	9543	112	-30	30	9543
113	-35	35	9578	113	-35	35	9578	113	-35	35	9578	113	-35	35	9578	113	-35	35	9578	113	-35	35	9578
114	-26	26	9604	114	-26	26	9604	114	-26	26	9604	114	-26	26	9604	114	-26	26	9604	114	-26	26	9604
115	-40	40	9644	115	-40	40	9644	115	-40	40	9644	115	-40	40	9644	115	-40	40	9644	115	-40	40	9644
116	-34	34	9678	116	-34	34	9678	116	-34	34	9678	116	-34	34	9678	116	-34	34	9678	116	-34	34	9678
117	-27	27	9705	117	-27	27	9705	117	-27	27	9705	117	-27	27	9705	117	-27	27	9705	117	-27	27	9705
118	-23	23	9728	118	-23	23	9728	118	-23	23	9728	118	-23	23	9728	118	-23	23	9728	118	-23	23	9728
119	-154	55	9783	119	-154	55	9783	119	-154	55	9783	119	-154	55	9783	119	-154	55	9783	119	-154	55	9783
120	-161	62	9845	120	-161	62	9845	120	-161	62	9845	120	-161	62	9845	120	-161	62	9845	120	-161	62	9845
121	-66	66	9911	121	-66	66	9911	121	-66	66	9911	121	-66	66	9911	121	-66	66	9911	121	-66	66	9911
122	-21	21	9932	122	-21	21	9932	122	-21	21	9932	122	-21	21	9932	122	-21	21	9932	122	-21	21	9932
