Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	496	496	0	1.0	496	496	0	1.0	496	496	0	1.0	496	496
1	1.0	304	800	1	1.0	304	800	1	1.0	304	800	1	1.0	304	800
2	1.0	177	977	2	1.0	177	977	2	1.0	177	977	2	1.0	177	977
3	1.0	89	1066	3	1.0	89	1066	3	1.0	89	1066	3	1.0	89	1066
4	1.0	94	1160	4	1.0	94	1160	4	1.0	94	1160	4	1.0	94	1160
5	1.0	33	1193	5	1.0	33	1193	5	1.0	33	1193	5	1.0	33	1193
6	1.0	65	1258	6	1.0	65	1258	6	1.0	65	1258	6	1.0	65	1258
7	1.0	23	1281	7	1.0	23	1281	7	1.0	23	1281	7	1.0	23	1281
8	1.0	17	1298	8	1.0	17	1298	8	1.0	17	1298	8	1.0	17	1298
9	1.0	20	1318	9	1.0	20	1318	9	1.0	20	1318	9	1.0	20	1318
10	1.0	16	1334	10	1.0	16	1334	10	1.0	16	1334	10	1.0	16	1334
11	1.0	24	1358	11	1.0	24	1358	11	1.0	24	1358	11	1.0	24	1358
12	1.0	21	1379	12	1.0	21	1379	12	1.0	21	1379	12	1.0	21	1379
13	1.0	21	1400	13	1.0	21	1400	13	1.0	21	1400	13	1.0	21	1400
14	1.0	16	1416	14	1.0	16	1416	14	1.0	16	1416	14	1.0	16	1416
15	1.0	21	1437	15	1.0	21	1437	15	1.0	21	1437	15	1.0	21	1437
16	1.0	16	1453	16	1.0	16	1453	16	1.0	16	1453	16	1.0	16	1453
17	1.0	18	1471	17	1.0	18	1471	17	1.0	18	1471	17	1.0	18	1471
18	1.0	16	1487	18	1.0	16	1487	18	1.0	16	1487	18	1.0	16	1487
19	1.0	20	1507	19	1.0	20	1507	19	1.0	20	1507	19	1.0	20	1507
20	1.0	16	1523	20	1.0	16	1523	20	1.0	16	1523	20	1.0	16	1523
21	1.0	16	1539	21	1.0	16	1539	21	1.0	16	1539	21	1.0	16	1539
22	1.0	16	1555	22	1.0	16	1555	22	1.0	16	1555	22	1.0	16	1555
23	1.0	18	1573	23	1.0	18	1573	23	1.0	18	1573	23	1.0	18	1573
24	1.0	25	1598	24	1.0	25	1598	24	1.0	25	1598	24	1.0	25	1598
25	1.0	20	1618	25	1.0	20	1618	25	1.0	20	1618	25	1.0	20	1618
26	1.0	18	1636	26	1.0	18	1636	26	1.0	18	1636	26	1.0	18	1636
27	1.0	16	1652	27	1.0	16	1652	27	1.0	16	1652	27	1.0	16	1652
28	1.0	18	1670	28	1.0	18	1670	28	1.0	18	1670	28	1.0	18	1670
29	1.0	16	1686	29	1.0	16	1686	29	1.0	16	1686	29	1.0	16	1686
30	1.0	24	1710	30	1.0	24	1710	30	1.0	24	1710	30	1.0	24	1710
31	1.0	18	1728	31	1.0	18	1728	31	1.0	18	1728	31	1.0	18	1728
32	1.0	21	1749	32	1.0	21	1749	32	1.0	21	1749	32	1.0	21	1749
33	1.0	22	1771	33	1.0	22	1771	33	1.0	22	1771	33	1.0	22	1771
34	1.0	16	1787	34	1.0	16	1787	34	1.0	16	1787	34	1.0	16	1787
35	1.0	16	1803	35	1.0	16	1803	35	1.0	16	1803	35	1.0	16	1803
36	1.0	16	1819	36	1.0	16	1819	36	1.0	16	1819	36	1.0	16	1819
37	1.0	20	1839	37	1.0	20	1839	37	1.0	20	1839	37	1.0	20	1839
38	1.0	22	1861	38	1.0	22	1861	38	1.0	22	1861	38	1.0	22	1861
39	1.0	16	1877	39	1.0	16	1877	39	1.0	16	1877	39	1.0	16	1877
40	1.0	16	1893	40	1.0	16	1893	40	1.0	16	1893	40	1.0	16	1893
41	1.0	16	1909	41	1.0	16	1909	41	1.0	16	1909	41	1.0	16	1909
42	1.0	21	1930	42	1.0	21	1930	42	1.0	21	1930	42	1.0	21	1930
43	1.0	18	1948	43	1.0	18	1948	43	1.0	18	1948	43	1.0	18	1948
44	1.0	18	1966	44	1.0	18	1966	44	1.0	18	1966	44	1.0	18	1966
45	1.0	16	1982	45	1.0	16	1982	45	1.0	16	1982	45	1.0	16	1982
46	1.0	20	2002	46	1.0	20	2002	46	1.0	20	2002	46	1.0	20	2002
47	1.0	16	2018	47	1.0	16	2018	47	1.0	16	2018	47	1.0	16	2018
48	1.0	16	2034	48	1.0	16	2034	48	1.0	16	2034	48	1.0	16	2034
49	1.0	16	2050	49	1.0	16	2050	49	1.0	16	2050	49	1.0	16	2050
