Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
158	-17	17	6671	158	-17	17	6671
159	-19	19	6690	159	-19	19	6690
160	-19	19	6709	160	-19	19	6709
161	-21	21	6730	161	-21	21	6730
162	-17	17	6747	162	-17	17	6747
163	-19	19	6766	163	-19	19	6766
164	-17	17	6783	164	-17	17	6783
165	-19	19	6802	165	-19	19	6802
166	-17	17	6819	166	-17	17	6819
167	-18	18	6837	167	-18	18	6837
168	-17	17	6854	168	-17	17	6854
169	-17	17	6871	169	-17	17	6871
170	-19	19	6890	170	-19	19	6890
171	-22	22	6912	171	-22	22	6912
172	-18	18	6930	172	-18	18	6930
173	-19	19	6949	173	-19	19	6949
174	-23	23	6972	174	-23	23	6972
175	-22	22	6994	175	-22	22	6994
176	-19	19	7013	176	-19	19	7013
177	-19	19	7032	177	-19	19	7032
178	-19	19	7051	178	-19	19	7051
179	-19	19	7070	179	-19	19	7070
180	-17	17	7087	180	-17	17	7087
181	-17	17	7104	181	-17	17	7104
182	-17	17	7121	182	-17	17	7121
183	-17	17	7138	183	-17	17	7138
184	-17	17	7155	184	-17	17	7155
185	-18	18	7173	185	-18	18	7173
186	-17	17	7190	186	-17	17	7190
187	-17	17	7207	187	-17	17	7207
188	-17	17	7224	188	-17	17	7224
189	-19	19	7243	189	-19	19	7243
190	-27	27	7270	190	-27	27	7270
191	-21	21	7291	191	-21	21	7291
192	-20	20	7311	192	-20	20	7311
193	-19	19	7330	193	-19	19	7330
194	-21	21	7351	194	-21	21	7351
195	-19	19	7370	195	-19	19	7370
196	-24	24	7394	196	-24	24	7394
197	-20	20	7414	197	-20	20	7414
198	-18	18	7432	198	-18	18	7432
199	-123	24	7456	199	-123	24	7456
200	-23	23	7479	200	-23	23	7479
201	-20	20	7499	201	-20	20	7499
202	-17	17	7516	202	-17	17	7516
203	-20	20	7536	203	-20	20	7536
204	-20	20	7556	204	-20	20	7556
205	-19	19	7575	205	-19	19	7575
206	-21	21	7596	206	-21	21	7596
207	-19	19	7615	207	-19	19	7615
208	-18	18	7633	208	-18	18	7633
209	-21	21	7654	209	-21	21	7654
210	-18	18	7672	210	-18	18	7672
211	-17	17	7689	211	-17	17	7689
212	-18	18	7707	212	-18	18	7707
213	-20	20	7727	213	-20	20	7727
214	-20	20	7747	214	-20	20	7747
215	-18	18	7765	215	-18	18	7765
216	-20	20	7785	216	-20	20	7785
217	-39	39	7824	217	-39	39	7824
218	-18	18	7842	218	-18	18	7842
219	-17	17	7859	219	-17	17	7859
220	-19	19	7878	220	-19	19	7878
221	-19	19	7897	221	-19	19	7897
222	-21	21	7918	222	-21	21	7918
223	-20	20	7938	223	-20	20	7938
224	-19	19	7957	224	-19	19	7957
225	-17	17	7974	225	-17	17	7974
226	-17	17	7991	226	-17	17	7991
227	-19	19	8010	227	-19	19	8010
228	-19	19	8029	228	-19	19	8029
229	-17	17	8046	229	-17	17	8046
230	-18	18	8064	230	-18	18	8064
231	-21	21	8085	231	-21	21	8085
232	-17	17	8102	232	-17	17	8102
233	-17	17	8119	233	-17	17	8119
234	-20	20	8139	234	-20	20	8139
235	-17	17	8156	235	-17	17	8156
236	-21	21	8177	236	-21	21	8177
237	-19	19	8196	237	-19	19	8196
238	-19	19	8215	238	-19	19	8215
239	-17	17	8232	239	-17	17	8232
240	-23	23	8255	240	-23	23	8255
241	-19	19	8274	241	-19	19	8274
242	-18	18	8292	242	-18	18	8292
243	-27	27	8319	243	-27	27	8319
244	-22	22	8341	244	-22	22	8341
245	-19	19	8360	245	-19	19	8360
246	-21	21	8381	246	-21	21	8381
247	-15	15	8396	247	-15	15	8396
248	-15	15	8411	248	-15	15	8411
249	-19	19	8430	249	-19	19	8430
250	-18	18	8448	250	-18	18	8448
251	-15	15	8463	251	-15	15	8463
252	-15	15	8478	252	-15	15	8478
253	-18	18	8496	253	-18	18	8496
254	-19	19	8515	254	-19	19	8515
255	-17	17	8532	255	-17	17	8532
256	-16	16	8548	256	-16	16	8548
257	-17	17	8565	257	-17	17	8565
258	-17	17	8582	258	-17	17	8582
259	-15	15	8597	259	-15	15	8597
260	-15	15	8612	260	-15	15	8612
261	-22	22	8634	261	-22	22	8634
262	-16	16	8650	262	-16	16	8650
263	-19	19	8669	263	-19	19	8669
264	-21	21	8690	264	-21	21	8690
265	-19	19	8709	265	-19	19	8709
266	-23	23	8732	266	-23	23	8732
267	-17	17	8749	267	-17	17	8749
268	-20	20	8769	268	-20	20	8769
269	-19	19	8788	269	-19	19	8788
270	-19	19	8807	270	-19	19	8807
271	-19	19	8826	271	-19	19	8826
272	-15	15	8841	272	-15	15	8841
273	-125	26	8867	273	-125	26	8867
274	-15	15	8882	274	-15	15	8882
275	-15	15	8897	275	-15	15	8897
276	-18	18	8915	276	-18	18	8915
277	-17	17	8932	277	-17	17	8932
278	-15	15	8947	278	-15	15	8947
279	-16	16	8963	279	-16	16	8963
280	-21	21	8984	280	-21	21	8984
281	-18	18	9002	281	-18	18	9002
282	-15	15	9017	282	-15	15	9017
283	-19	19	9036	283	-19	19	9036
284	-17	17	9053	284	-17	17	9053
285	-17	17	9070	285	-17	17	9070
286	-19	19	9089	286	-19	19	9089
287	-17	17	9106	287	-17	17	9106
288	-17	17	9123	288	-17	17	9123
289	-15	15	9138	289	-15	15	9138
290	-18	18	9156	290	-18	18	9156
291	-16	16	9172	291	-16	16	9172
292	-17	17	9189	292	-17	17	9189
293	-15	15	9204	293	-15	15	9204
294	-115	16	9220	294	-115	16	9220
295	-23	23	9243	295	-23	23	9243
296	-21	21	9264	296	-21	21	9264
297	-15	15	9279	297	-15	15	9279
298	-17	17	9296	298	-17	17	9296
299	-15	15	9311	299	-15	15	9311
300	-16	16	9327	300	-16	16	9327
301	-19	19	9346	301	-19	19	9346
302	-15	15	9361	302	-15	15	9361
303	-15	15	9376	303	-15	15	9376
304	-15	15	9391	304	-15	15	9391
305	-15	15	9406	305	-15	15	9406
306	-15	15	9421	306	-15	15	9421
