Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	326	326	0	1.0	326	326	0	1.0	326	326	0	1.0	326	326	0	1.0	326	326	0	1.0	326	326	0	1.0	326	326	0	1.0	326	326	0	1.0	326	326	0	1.0	326	326	0	1.0	326	326	0	1.0	326	326	0	1.0	326	326
1	1.0	140	466	1	1.0	140	466	1	1.0	140	466	1	1.0	140	466	1	1.0	140	466	1	1.0	140	466	1	1.0	140	466	1	1.0	140	466	1	1.0	140	466	1	1.0	140	466	1	1.0	140	466	1	1.0	140	466	1	1.0	140	466
2	1.0	71	537	2	1.0	71	537	2	1.0	71	537	2	1.0	71	537	2	1.0	71	537	2	1.0	71	537	2	1.0	71	537	2	1.0	71	537	2	1.0	71	537	2	1.0	71	537	2	1.0	71	537	2	1.0	71	537	2	1.0	71	537
3	1.0	106	643	3	1.0	106	643	3	1.0	106	643	3	1.0	106	643	3	1.0	106	643	3	1.0	106	643	3	1.0	106	643	3	1.0	106	643	3	1.0	106	643	3	1.0	106	643	3	1.0	106	643	3	1.0	106	643	3	1.0	106	643
4	1.0	75	718	4	1.0	75	718	4	1.0	75	718	4	1.0	75	718	4	1.0	75	718	4	1.0	75	718	4	1.0	75	718	4	1.0	75	718	4	1.0	75	718	4	1.0	75	718	4	1.0	75	718	4	1.0	75	718	4	1.0	75	718
5	1.0	93	811	5	1.0	93	811	5	1.0	93	811	5	1.0	93	811	5	1.0	93	811	5	1.0	93	811	5	1.0	93	811	5	1.0	93	811	5	1.0	93	811	5	1.0	93	811	5	1.0	93	811	5	1.0	93	811	5	1.0	93	811
6	1.0	50	861	6	1.0	50	861	6	1.0	50	861	6	1.0	50	861	6	1.0	50	861	6	1.0	50	861	6	1.0	50	861	6	1.0	50	861	6	1.0	50	861	6	1.0	50	861	6	1.0	50	861	6	1.0	50	861	6	1.0	50	861
7	1.0	57	918	7	1.0	57	918	7	1.0	57	918	7	1.0	57	918	7	1.0	57	918	7	1.0	57	918	7	1.0	57	918	7	1.0	57	918	7	1.0	57	918	7	1.0	57	918	7	1.0	57	918	7	1.0	57	918	7	1.0	57	918
8	1.0	45	963	8	1.0	45	963	8	1.0	45	963	8	1.0	45	963	8	1.0	45	963	8	1.0	45	963	8	1.0	45	963	8	1.0	45	963	8	1.0	45	963	8	1.0	45	963	8	1.0	45	963	8	1.0	45	963	8	1.0	45	963
9	1.0	76	1039	9	1.0	76	1039	9	1.0	76	1039	9	1.0	76	1039	9	1.0	76	1039	9	1.0	76	1039	9	1.0	76	1039	9	1.0	76	1039	9	1.0	76	1039	9	1.0	76	1039	9	1.0	76	1039	9	1.0	76	1039	9	1.0	76	1039
10	1.0	47	1086	10	1.0	47	1086	10	1.0	47	1086	10	1.0	47	1086	10	1.0	47	1086	10	1.0	47	1086	10	1.0	47	1086	10	1.0	47	1086	10	1.0	47	1086	10	1.0	47	1086	10	1.0	47	1086	10	1.0	47	1086	10	1.0	47	1086
11	1.0	36	1122	11	1.0	36	1122	11	1.0	36	1122	11	1.0	36	1122	11	1.0	36	1122	11	1.0	36	1122	11	1.0	36	1122	11	1.0	36	1122	11	1.0	36	1122	11	1.0	36	1122	11	1.0	36	1122	11	1.0	36	1122	11	1.0	36	1122
12	1.0	42	1164	12	1.0	42	1164	12	1.0	42	1164	12	1.0	42	1164	12	1.0	42	1164	12	1.0	42	1164	12	1.0	42	1164	12	1.0	42	1164	12	1.0	42	1164	12	1.0	42	1164	12	1.0	42	1164	12	1.0	42	1164	12	1.0	42	1164
13	1.0	87	1251	13	1.0	87	1251	13	1.0	87	1251	13	1.0	87	1251	13	1.0	87	1251	13	1.0	87	1251	13	1.0	87	1251	13	1.0	87	1251	13	1.0	87	1251	13	1.0	87	1251	13	1.0	87	1251	13	1.0	87	1251	13	1.0	87	1251
14	1.0	44	1295	14	1.0	44	1295	14	1.0	44	1295	14	1.0	44	1295	14	1.0	44	1295	14	1.0	44	1295	14	1.0	44	1295	14	1.0	44	1295	14	1.0	44	1295	14	1.0	44	1295	14	1.0	44	1295	14	1.0	44	1295	14	1.0	44	1295
15	1.0	22	1317	15	1.0	22	1317	15	1.0	22	1317	15	1.0	22	1317	15	1.0	22	1317	15	1.0	22	1317	15	1.0	22	1317	15	1.0	22	1317	15	1.0	22	1317	15	1.0	22	1317	15	1.0	22	1317	15	1.0	22	1317	15	1.0	22	1317
16	1.0	25	1342	16	1.0	25	1342	16	1.0	25	1342	16	1.0	25	1342	16	1.0	25	1342	16	1.0	25	1342	16	1.0	25	1342	16	1.0	25	1342	16	1.0	25	1342	16	1.0	25	1342	16	1.0	25	1342	16	1.0	25	1342	16	1.0	25	1342
17	1.0	30	1372	17	1.0	30	1372	17	1.0	30	1372	17	1.0	30	1372	17	1.0	30	1372	17	1.0	30	1372	17	1.0	30	1372	17	1.0	30	1372	17	1.0	30	1372	17	1.0	30	1372	17	1.0	30	1372	17	1.0	30	1372	17	1.0	30	1372
18	1.0	32	1404	18	1.0	32	1404	18	1.0	32	1404	18	1.0	32	1404	18	1.0	32	1404	18	1.0	32	1404	18	1.0	32	1404	18	1.0	32	1404	18	1.0	32	1404	18	1.0	32	1404	18	1.0	32	1404	18	1.0	32	1404	18	1.0	32	1404
19	1.0	27	1431	19	1.0	27	1431	19	1.0	27	1431	19	1.0	27	1431	19	1.0	27	1431	19	1.0	27	1431	19	1.0	27	1431	19	1.0	27	1431	19	1.0	27	1431	19	1.0	27	1431	19	1.0	27	1431	19	1.0	27	1431	19	1.0	27	1431
20	1.0	23	1454	20	1.0	23	1454	20	1.0	23	1454	20	1.0	23	1454	20	1.0	23	1454	20	1.0	23	1454	20	1.0	23	1454	20	1.0	23	1454	20	1.0	23	1454	20	1.0	23	1454	20	1.0	23	1454	20	1.0	23	1454	20	1.0	23	1454
21	1.0	23	1477	21	1.0	23	1477	21	1.0	23	1477	21	1.0	23	1477	21	1.0	23	1477	21	1.0	23	1477	21	1.0	23	1477	21	1.0	23	1477	21	1.0	23	1477	21	1.0	23	1477	21	1.0	23	1477	21	1.0	23	1477	21	1.0	23	1477
22	1.0	25	1502	22	1.0	25	1502	22	1.0	25	1502	22	1.0	25	1502	22	1.0	25	1502	22	1.0	25	1502	22	1.0	25	1502	22	1.0	25	1502	22	1.0	25	1502	22	1.0	25	1502	22	1.0	25	1502	22	1.0	25	1502	22	1.0	25	1502
23	1.0	22	1524	23	1.0	22	1524	23	1.0	22	1524	23	1.0	22	1524	23	1.0	22	1524	23	1.0	22	1524	23	1.0	22	1524	23	1.0	22	1524	23	1.0	22	1524	23	1.0	22	1524	23	1.0	22	1524	23	1.0	22	1524	23	1.0	22	1524
24	1.0	22	1546	24	1.0	22	1546	24	1.0	22	1546	24	1.0	22	1546	24	1.0	22	1546	24	1.0	22	1546	24	1.0	22	1546	24	1.0	22	1546	24	1.0	22	1546	24	1.0	22	1546	24	1.0	22	1546	24	1.0	22	1546	24	1.0	22	1546
25	1.0	27	1573	25	1.0	27	1573	25	1.0	27	1573	25	1.0	27	1573	25	1.0	27	1573	25	1.0	27	1573	25	1.0	27	1573	25	1.0	27	1573	25	1.0	27	1573	25	1.0	27	1573	25	1.0	27	1573	25	1.0	27	1573	25	1.0	27	1573
