Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700	10	1.0	20	700
11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716	11	1.0	16	716
12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735	12	1.0	19	735
13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751	13	1.0	16	751
14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768	14	1.0	17	768
15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788	15	1.0	20	788
16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804	16	1.0	16	804
17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825	17	1.0	21	825
18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843	18	1.0	18	843
19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865	19	1.0	22	865
20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881	20	1.0	16	881
21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898	21	1.0	17	898
22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918	22	1.0	20	918
23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935	23	1.0	17	935
24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954	24	1.0	19	954
25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971	25	1.0	17	971
26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993	26	1.0	22	993
27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012	27	1.0	19	1012
28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030	28	1.0	18	1030
29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048	29	1.0	18	1048
30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072	30	1.0	24	1072
31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092	31	1.0	20	1092
32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108	32	1.0	16	1108
33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129	33	1.0	21	1129
34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147	34	1.0	18	1147
35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163	35	1.0	16	1163
36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179	36	1.0	16	1179
37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195	37	1.0	16	1195
38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212	38	1.0	17	1212
39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233	39	1.0	21	1233
40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249	40	1.0	16	1249
41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267	41	1.0	18	1267
42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287	42	1.0	20	1287
43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308	43	1.0	21	1308
44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324	44	1.0	16	1324
45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342	45	1.0	18	1342
46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360	46	1.0	18	1360
47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379	47	1.0	19	1379
48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397	48	1.0	18	1397
49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414	49	1.0	17	1414
