Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
31	1.0	14	1232	31	1.0	14	1232	31	1.0	14	1232	31	1.0	14	1232	31	1.0	14	1232	31	1.0	14	1232	31	1.0	14	1232	31	1.0	14	1232	31	1.0	14	1232
32	1.0	16	1248	32	1.0	16	1248	32	1.0	16	1248	32	1.0	16	1248	32	1.0	16	1248	32	1.0	16	1248	32	1.0	16	1248	32	1.0	16	1248	32	1.0	16	1248
33	1.0	14	1262	33	1.0	14	1262	33	1.0	14	1262	33	1.0	14	1262	33	1.0	14	1262	33	1.0	14	1262	33	1.0	14	1262	33	1.0	14	1262	33	1.0	14	1262
34	1.0	14	1276	34	1.0	14	1276	34	1.0	14	1276	34	1.0	14	1276	34	1.0	14	1276	34	1.0	14	1276	34	1.0	14	1276	34	1.0	14	1276	34	1.0	14	1276
35	1.0	20	1296	35	1.0	20	1296	35	1.0	20	1296	35	1.0	20	1296	35	1.0	20	1296	35	1.0	20	1296	35	1.0	20	1296	35	1.0	20	1296	35	1.0	20	1296
36	1.0	14	1310	36	1.0	14	1310	36	1.0	14	1310	36	1.0	14	1310	36	1.0	14	1310	36	1.0	14	1310	36	1.0	14	1310	36	1.0	14	1310	36	1.0	14	1310
37	1.0	15	1325	37	1.0	15	1325	37	1.0	15	1325	37	1.0	15	1325	37	1.0	15	1325	37	1.0	15	1325	37	1.0	15	1325	37	1.0	15	1325	37	1.0	15	1325
38	1.0	14	1339	38	1.0	14	1339	38	1.0	14	1339	38	1.0	14	1339	38	1.0	14	1339	38	1.0	14	1339	38	1.0	14	1339	38	1.0	14	1339	38	1.0	14	1339
39	1.0	16	1355	39	1.0	16	1355	39	1.0	16	1355	39	1.0	16	1355	39	1.0	16	1355	39	1.0	16	1355	39	1.0	16	1355	39	1.0	16	1355	39	1.0	16	1355
40	1.0	16	1371	40	1.0	16	1371	40	1.0	16	1371	40	1.0	16	1371	40	1.0	16	1371	40	1.0	16	1371	40	1.0	16	1371	40	1.0	16	1371	40	1.0	16	1371
41	1.0	17	1388	41	1.0	17	1388	41	1.0	17	1388	41	1.0	17	1388	41	1.0	17	1388	41	1.0	17	1388	41	1.0	17	1388	41	1.0	17	1388	41	1.0	17	1388
42	1.0	15	1403	42	1.0	15	1403	42	1.0	15	1403	42	1.0	15	1403	42	1.0	15	1403	42	1.0	15	1403	42	1.0	15	1403	42	1.0	15	1403	42	1.0	15	1403
43	1.0	17	1420	43	1.0	17	1420	43	1.0	17	1420	43	1.0	17	1420	43	1.0	17	1420	43	1.0	17	1420	43	1.0	17	1420	43	1.0	17	1420	43	1.0	17	1420
44	1.0	16	1436	44	1.0	16	1436	44	1.0	16	1436	44	1.0	16	1436	44	1.0	16	1436	44	1.0	16	1436	44	1.0	16	1436	44	1.0	16	1436	44	1.0	16	1436
45	1.0	14	1450	45	1.0	14	1450	45	1.0	14	1450	45	1.0	14	1450	45	1.0	14	1450	45	1.0	14	1450	45	1.0	14	1450	45	1.0	14	1450	45	1.0	14	1450
46	1.0	20	1470	46	1.0	20	1470	46	1.0	20	1470	46	1.0	20	1470	46	1.0	20	1470	46	1.0	20	1470	46	1.0	20	1470	46	1.0	20	1470	46	1.0	20	1470
47	1.0	19	1489	47	1.0	19	1489	47	1.0	19	1489	47	1.0	19	1489	47	1.0	19	1489	47	1.0	19	1489	47	1.0	19	1489	47	1.0	19	1489	47	1.0	19	1489
48	1.0	18	1507	48	1.0	18	1507	48	1.0	18	1507	48	1.0	18	1507	48	1.0	18	1507	48	1.0	18	1507	48	1.0	18	1507	48	1.0	18	1507	48	1.0	18	1507
49	1.0	16	1523	49	1.0	16	1523	49	1.0	16	1523	49	1.0	16	1523	49	1.0	16	1523	49	1.0	16	1523	49	1.0	16	1523	49	1.0	16	1523	49	1.0	16	1523
