Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
12	1.0	16	1255	12	1.0	16	1255	12	1.0	16	1255	12	1.0	16	1255	12	1.0	16	1255	12	1.0	16	1255	12	1.0	16	1255	12	1.0	16	1255	12	1.0	16	1255	12	1.0	16	1255	12	1.0	16	1255	12	1.0	16	1255	12	1.0	16	1255	12	1.0	16	1255
13	1.0	14	1269	13	1.0	14	1269	13	1.0	14	1269	13	1.0	14	1269	13	1.0	14	1269	13	1.0	14	1269	13	1.0	14	1269	13	1.0	14	1269	13	1.0	14	1269	13	1.0	14	1269	13	1.0	14	1269	13	1.0	14	1269	13	1.0	14	1269	13	1.0	14	1269
14	1.0	16	1285	14	1.0	16	1285	14	1.0	16	1285	14	1.0	16	1285	14	1.0	16	1285	14	1.0	16	1285	14	1.0	16	1285	14	1.0	16	1285	14	1.0	16	1285	14	1.0	16	1285	14	1.0	16	1285	14	1.0	16	1285	14	1.0	16	1285	14	1.0	16	1285
15	1.0	14	1299	15	1.0	14	1299	15	1.0	14	1299	15	1.0	14	1299	15	1.0	14	1299	15	1.0	14	1299	15	1.0	14	1299	15	1.0	14	1299	15	1.0	14	1299	15	1.0	14	1299	15	1.0	14	1299	15	1.0	14	1299	15	1.0	14	1299	15	1.0	14	1299
16	1.0	16	1315	16	1.0	16	1315	16	1.0	16	1315	16	1.0	16	1315	16	1.0	16	1315	16	1.0	16	1315	16	1.0	16	1315	16	1.0	16	1315	16	1.0	16	1315	16	1.0	16	1315	16	1.0	16	1315	16	1.0	16	1315	16	1.0	16	1315	16	1.0	16	1315
17	1.0	16	1331	17	1.0	16	1331	17	1.0	16	1331	17	1.0	16	1331	17	1.0	16	1331	17	1.0	16	1331	17	1.0	16	1331	17	1.0	16	1331	17	1.0	16	1331	17	1.0	16	1331	17	1.0	16	1331	17	1.0	16	1331	17	1.0	16	1331	17	1.0	16	1331
18	1.0	15	1346	18	1.0	15	1346	18	1.0	15	1346	18	1.0	15	1346	18	1.0	15	1346	18	1.0	15	1346	18	1.0	15	1346	18	1.0	15	1346	18	1.0	15	1346	18	1.0	15	1346	18	1.0	15	1346	18	1.0	15	1346	18	1.0	15	1346	18	1.0	15	1346
19	1.0	14	1360	19	1.0	14	1360	19	1.0	14	1360	19	1.0	14	1360	19	1.0	14	1360	19	1.0	14	1360	19	1.0	14	1360	19	1.0	14	1360	19	1.0	14	1360	19	1.0	14	1360	19	1.0	14	1360	19	1.0	14	1360	19	1.0	14	1360	19	1.0	14	1360
20	1.0	14	1374	20	1.0	14	1374	20	1.0	14	1374	20	1.0	14	1374	20	1.0	14	1374	20	1.0	14	1374	20	1.0	14	1374	20	1.0	14	1374	20	1.0	14	1374	20	1.0	14	1374	20	1.0	14	1374	20	1.0	14	1374	20	1.0	14	1374	20	1.0	14	1374
21	1.0	14	1388	21	1.0	14	1388	21	1.0	14	1388	21	1.0	14	1388	21	1.0	14	1388	21	1.0	14	1388	21	1.0	14	1388	21	1.0	14	1388	21	1.0	14	1388	21	1.0	14	1388	21	1.0	14	1388	21	1.0	14	1388	21	1.0	14	1388	21	1.0	14	1388
22	1.0	16	1404	22	1.0	16	1404	22	1.0	16	1404	22	1.0	16	1404	22	1.0	16	1404	22	1.0	16	1404	22	1.0	16	1404	22	1.0	16	1404	22	1.0	16	1404	22	1.0	16	1404	22	1.0	16	1404	22	1.0	16	1404	22	1.0	16	1404	22	1.0	16	1404
23	1.0	20	1424	23	1.0	20	1424	23	1.0	20	1424	23	1.0	20	1424	23	1.0	20	1424	23	1.0	20	1424	23	1.0	20	1424	23	1.0	20	1424	23	1.0	20	1424	23	1.0	20	1424	23	1.0	20	1424	23	1.0	20	1424	23	1.0	20	1424	23	1.0	20	1424
24	1.0	15	1439	24	1.0	15	1439	24	1.0	15	1439	24	1.0	15	1439	24	1.0	15	1439	24	1.0	15	1439	24	1.0	15	1439	24	1.0	15	1439	24	1.0	15	1439	24	1.0	15	1439	24	1.0	15	1439	24	1.0	15	1439	24	1.0	15	1439	24	1.0	15	1439
25	1.0	16	1455	25	1.0	16	1455	25	1.0	16	1455	25	1.0	16	1455	25	1.0	16	1455	25	1.0	16	1455	25	1.0	16	1455	25	1.0	16	1455	25	1.0	16	1455	25	1.0	16	1455	25	1.0	16	1455	25	1.0	16	1455	25	1.0	16	1455	25	1.0	16	1455
26	1.0	15	1470	26	1.0	15	1470	26	1.0	15	1470	26	1.0	15	1470	26	1.0	15	1470	26	1.0	15	1470	26	1.0	15	1470	26	1.0	15	1470	26	1.0	15	1470	26	1.0	15	1470	26	1.0	15	1470	26	1.0	15	1470	26	1.0	15	1470	26	1.0	15	1470
27	1.0	14	1484	27	1.0	14	1484	27	1.0	14	1484	27	1.0	14	1484	27	1.0	14	1484	27	1.0	14	1484	27	1.0	14	1484	27	1.0	14	1484	27	1.0	14	1484	27	1.0	14	1484	27	1.0	14	1484	27	1.0	14	1484	27	1.0	14	1484	27	1.0	14	1484
28	1.0	18	1502	28	1.0	18	1502	28	1.0	18	1502	28	1.0	18	1502	28	1.0	18	1502	28	1.0	18	1502	28	1.0	18	1502	28	1.0	18	1502	28	1.0	18	1502	28	1.0	18	1502	28	1.0	18	1502	28	1.0	18	1502	28	1.0	18	1502	28	1.0	18	1502
29	1.0	14	1516	29	1.0	14	1516	29	1.0	14	1516	29	1.0	14	1516	29	1.0	14	1516	29	1.0	14	1516	29	1.0	14	1516	29	1.0	14	1516	29	1.0	14	1516	29	1.0	14	1516	29	1.0	14	1516	29	1.0	14	1516	29	1.0	14	1516	29	1.0	14	1516
30	1.0	14	1530	30	1.0	14	1530	30	1.0	14	1530	30	1.0	14	1530	30	1.0	14	1530	30	1.0	14	1530	30	1.0	14	1530	30	1.0	14	1530	30	1.0	14	1530	30	1.0	14	1530	30	1.0	14	1530	30	1.0	14	1530	30	1.0	14	1530	30	1.0	14	1530
31	1.0	14	1544	31	1.0	14	1544	31	1.0	14	1544	31	1.0	14	1544	31	1.0	14	1544	31	1.0	14	1544	31	1.0	14	1544	31	1.0	14	1544	31	1.0	14	1544	31	1.0	14	1544	31	1.0	14	1544	31	1.0	14	1544	31	1.0	14	1544	31	1.0	14	1544
32	1.0	15	1559	32	1.0	15	1559	32	1.0	15	1559	32	1.0	15	1559	32	1.0	15	1559	32	1.0	15	1559	32	1.0	15	1559	32	1.0	15	1559	32	1.0	15	1559	32	1.0	15	1559	32	1.0	15	1559	32	1.0	15	1559	32	1.0	15	1559	32	1.0	15	1559
33	1.0	14	1573	33	1.0	14	1573	33	1.0	14	1573	33	1.0	14	1573	33	1.0	14	1573	33	1.0	14	1573	33	1.0	14	1573	33	1.0	14	1573	33	1.0	14	1573	33	1.0	14	1573	33	1.0	14	1573	33	1.0	14	1573	33	1.0	14	1573	33	1.0	14	1573
34	1.0	14	1587	34	1.0	14	1587	34	1.0	14	1587	34	1.0	14	1587	34	1.0	14	1587	34	1.0	14	1587	34	1.0	14	1587	34	1.0	14	1587	34	1.0	14	1587	34	1.0	14	1587	34	1.0	14	1587	34	1.0	14	1587	34	1.0	14	1587	34	1.0	14	1587
35	1.0	14	1601	35	1.0	14	1601	35	1.0	14	1601	35	1.0	14	1601	35	1.0	14	1601	35	1.0	14	1601	35	1.0	14	1601	35	1.0	14	1601	35	1.0	14	1601	35	1.0	14	1601	35	1.0	14	1601	35	1.0	14	1601	35	1.0	14	1601	35	1.0	14	1601
36	1.0	17	1618	36	1.0	17	1618	36	1.0	17	1618	36	1.0	17	1618	36	1.0	17	1618	36	1.0	17	1618	36	1.0	17	1618	36	1.0	17	1618	36	1.0	17	1618	36	1.0	17	1618	36	1.0	17	1618	36	1.0	17	1618	36	1.0	17	1618	36	1.0	17	1618
37	1.0	16	1634	37	1.0	16	1634	37	1.0	16	1634	37	1.0	16	1634	37	1.0	16	1634	37	1.0	16	1634	37	1.0	16	1634	37	1.0	16	1634	37	1.0	16	1634	37	1.0	16	1634	37	1.0	16	1634	37	1.0	16	1634	37	1.0	16	1634	37	1.0	16	1634
38	1.0	17	1651	38	1.0	17	1651	38	1.0	17	1651	38	1.0	17	1651	38	1.0	17	1651	38	1.0	17	1651	38	1.0	17	1651	38	1.0	17	1651	38	1.0	17	1651	38	1.0	17	1651	38	1.0	17	1651	38	1.0	17	1651	38	1.0	17	1651	38	1.0	17	1651
39	1.0	16	1667	39	1.0	16	1667	39	1.0	16	1667	39	1.0	16	1667	39	1.0	16	1667	39	1.0	16	1667	39	1.0	16	1667	39	1.0	16	1667	39	1.0	16	1667	39	1.0	16	1667	39	1.0	16	1667	39	1.0	16	1667	39	1.0	16	1667	39	1.0	16	1667
40	1.0	16	1683	40	1.0	16	1683	40	1.0	16	1683	40	1.0	16	1683	40	1.0	16	1683	40	1.0	16	1683	40	1.0	16	1683	40	1.0	16	1683	40	1.0	16	1683	40	1.0	16	1683	40	1.0	16	1683	40	1.0	16	1683	40	1.0	16	1683	40	1.0	16	1683
41	1.0	18	1701	41	1.0	18	1701	41	1.0	18	1701	41	1.0	18	1701	41	1.0	18	1701	41	1.0	18	1701	41	1.0	18	1701	41	1.0	18	1701	41	1.0	18	1701	41	1.0	18	1701	41	1.0	18	1701	41	1.0	18	1701	41	1.0	18	1701	41	1.0	18	1701
42	1.0	18	1719	42	1.0	18	1719	42	1.0	18	1719	42	1.0	18	1719	42	1.0	18	1719	42	1.0	18	1719	42	1.0	18	1719	42	1.0	18	1719	42	1.0	18	1719	42	1.0	18	1719	42	1.0	18	1719	42	1.0	18	1719	42	1.0	18	1719	42	1.0	18	1719
43	1.0	16	1735	43	1.0	16	1735	43	1.0	16	1735	43	1.0	16	1735	43	1.0	16	1735	43	1.0	16	1735	43	1.0	16	1735	43	1.0	16	1735	43	1.0	16	1735	43	1.0	16	1735	43	1.0	16	1735	43	1.0	16	1735	43	1.0	16	1735	43	1.0	16	1735
44	1.0	16	1751	44	1.0	16	1751	44	1.0	16	1751	44	1.0	16	1751	44	1.0	16	1751	44	1.0	16	1751	44	1.0	16	1751	44	1.0	16	1751	44	1.0	16	1751	44	1.0	16	1751	44	1.0	16	1751	44	1.0	16	1751	44	1.0	16	1751	44	1.0	16	1751
45	1.0	14	1765	45	1.0	14	1765	45	1.0	14	1765	45	1.0	14	1765	45	1.0	14	1765	45	1.0	14	1765	45	1.0	14	1765	45	1.0	14	1765	45	1.0	14	1765	45	1.0	14	1765	45	1.0	14	1765	45	1.0	14	1765	45	1.0	14	1765	45	1.0	14	1765
46	1.0	16	1781	46	1.0	16	1781	46	1.0	16	1781	46	1.0	16	1781	46	1.0	16	1781	46	1.0	16	1781	46	1.0	16	1781	46	1.0	16	1781	46	1.0	16	1781	46	1.0	16	1781	46	1.0	16	1781	46	1.0	16	1781	46	1.0	16	1781	46	1.0	16	1781
47	1.0	16	1797	47	1.0	16	1797	47	1.0	16	1797	47	1.0	16	1797	47	1.0	16	1797	47	1.0	16	1797	47	1.0	16	1797	47	1.0	16	1797	47	1.0	16	1797	47	1.0	16	1797	47	1.0	16	1797	47	1.0	16	1797	47	1.0	16	1797	47	1.0	16	1797
48	1.0	14	1811	48	1.0	14	1811	48	1.0	14	1811	48	1.0	14	1811	48	1.0	14	1811	48	1.0	14	1811	48	1.0	14	1811	48	1.0	14	1811	48	1.0	14	1811	48	1.0	14	1811	48	1.0	14	1811	48	1.0	14	1811	48	1.0	14	1811	48	1.0	14	1811
49	1.0	18	1829	49	1.0	18	1829	49	1.0	18	1829	49	1.0	18	1829	49	1.0	18	1829	49	1.0	18	1829	49	1.0	18	1829	49	1.0	18	1829	49	1.0	18	1829	49	1.0	18	1829	49	1.0	18	1829	49	1.0	18	1829	49	1.0	18	1829	49	1.0	18	1829
