Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	995	995	0	1.0	995	995	0	1.0	995	995	0	1.0	995	995	0	1.0	995	995	0	1.0	995	995	0	1.0	995	995	0	1.0	995	995	0	1.0	995	995
1	1.0	178	1173	1	1.0	178	1173	1	1.0	178	1173	1	1.0	178	1173	1	1.0	178	1173	1	1.0	178	1173	1	1.0	178	1173	1	1.0	178	1173	1	1.0	178	1173
2	1.0	98	1271	2	1.0	98	1271	2	1.0	98	1271	2	1.0	98	1271	2	1.0	98	1271	2	1.0	98	1271	2	1.0	98	1271	2	1.0	98	1271	2	1.0	98	1271
3	1.0	18	1289	3	1.0	18	1289	3	1.0	18	1289	3	1.0	18	1289	3	1.0	18	1289	3	1.0	18	1289	3	1.0	18	1289	3	1.0	18	1289	3	1.0	18	1289
4	1.0	35	1324	4	1.0	35	1324	4	1.0	35	1324	4	1.0	35	1324	4	1.0	35	1324	4	1.0	35	1324	4	1.0	35	1324	4	1.0	35	1324	4	1.0	35	1324
5	1.0	47	1371	5	1.0	47	1371	5	1.0	47	1371	5	1.0	47	1371	5	1.0	47	1371	5	1.0	47	1371	5	1.0	47	1371	5	1.0	47	1371	5	1.0	47	1371
6	1.0	34	1405	6	1.0	34	1405	6	1.0	34	1405	6	1.0	34	1405	6	1.0	34	1405	6	1.0	34	1405	6	1.0	34	1405	6	1.0	34	1405	6	1.0	34	1405
7	1.0	26	1431	7	1.0	26	1431	7	1.0	26	1431	7	1.0	26	1431	7	1.0	26	1431	7	1.0	26	1431	7	1.0	26	1431	7	1.0	26	1431	7	1.0	26	1431
8	1.0	15	1446	8	1.0	15	1446	8	1.0	15	1446	8	1.0	15	1446	8	1.0	15	1446	8	1.0	15	1446	8	1.0	15	1446	8	1.0	15	1446	8	1.0	15	1446
9	1.0	14	1460	9	1.0	14	1460	9	1.0	14	1460	9	1.0	14	1460	9	1.0	14	1460	9	1.0	14	1460	9	1.0	14	1460	9	1.0	14	1460	9	1.0	14	1460
10	1.0	19	1479	10	1.0	19	1479	10	1.0	19	1479	10	1.0	19	1479	10	1.0	19	1479	10	1.0	19	1479	10	1.0	19	1479	10	1.0	19	1479	10	1.0	19	1479
11	1.0	27	1506	11	1.0	27	1506	11	1.0	27	1506	11	1.0	27	1506	11	1.0	27	1506	11	1.0	27	1506	11	1.0	27	1506	11	1.0	27	1506	11	1.0	27	1506
12	1.0	16	1522	12	1.0	16	1522	12	1.0	16	1522	12	1.0	16	1522	12	1.0	16	1522	12	1.0	16	1522	12	1.0	16	1522	12	1.0	16	1522	12	1.0	16	1522
13	1.0	14	1536	13	1.0	14	1536	13	1.0	14	1536	13	1.0	14	1536	13	1.0	14	1536	13	1.0	14	1536	13	1.0	14	1536	13	1.0	14	1536	13	1.0	14	1536
14	1.0	19	1555	14	1.0	19	1555	14	1.0	19	1555	14	1.0	19	1555	14	1.0	19	1555	14	1.0	19	1555	14	1.0	19	1555	14	1.0	19	1555	14	1.0	19	1555
15	1.0	14	1569	15	1.0	14	1569	15	1.0	14	1569	15	1.0	14	1569	15	1.0	14	1569	15	1.0	14	1569	15	1.0	14	1569	15	1.0	14	1569	15	1.0	14	1569
16	1.0	16	1585	16	1.0	16	1585	16	1.0	16	1585	16	1.0	16	1585	16	1.0	16	1585	16	1.0	16	1585	16	1.0	16	1585	16	1.0	16	1585	16	1.0	16	1585
17	1.0	15	1600	17	1.0	15	1600	17	1.0	15	1600	17	1.0	15	1600	17	1.0	15	1600	17	1.0	15	1600	17	1.0	15	1600	17	1.0	15	1600	17	1.0	15	1600
18	1.0	14	1614	18	1.0	14	1614	18	1.0	14	1614	18	1.0	14	1614	18	1.0	14	1614	18	1.0	14	1614	18	1.0	14	1614	18	1.0	14	1614	18	1.0	14	1614
19	1.0	15	1629	19	1.0	15	1629	19	1.0	15	1629	19	1.0	15	1629	19	1.0	15	1629	19	1.0	15	1629	19	1.0	15	1629	19	1.0	15	1629	19	1.0	15	1629
20	1.0	15	1644	20	1.0	15	1644	20	1.0	15	1644	20	1.0	15	1644	20	1.0	15	1644	20	1.0	15	1644	20	1.0	15	1644	20	1.0	15	1644	20	1.0	15	1644
21	1.0	14	1658	21	1.0	14	1658	21	1.0	14	1658	21	1.0	14	1658	21	1.0	14	1658	21	1.0	14	1658	21	1.0	14	1658	21	1.0	14	1658	21	1.0	14	1658
22	1.0	16	1674	22	1.0	16	1674	22	1.0	16	1674	22	1.0	16	1674	22	1.0	16	1674	22	1.0	16	1674	22	1.0	16	1674	22	1.0	16	1674	22	1.0	16	1674
23	1.0	17	1691	23	1.0	17	1691	23	1.0	17	1691	23	1.0	17	1691	23	1.0	17	1691	23	1.0	17	1691	23	1.0	17	1691	23	1.0	17	1691	23	1.0	17	1691
24	1.0	16	1707	24	1.0	16	1707	24	1.0	16	1707	24	1.0	16	1707	24	1.0	16	1707	24	1.0	16	1707	24	1.0	16	1707	24	1.0	16	1707	24	1.0	16	1707
25	1.0	19	1726	25	1.0	19	1726	25	1.0	19	1726	25	1.0	19	1726	25	1.0	19	1726	25	1.0	19	1726	25	1.0	19	1726	25	1.0	19	1726	25	1.0	19	1726
26	1.0	17	1743	26	1.0	17	1743	26	1.0	17	1743	26	1.0	17	1743	26	1.0	17	1743	26	1.0	17	1743	26	1.0	17	1743	26	1.0	17	1743	26	1.0	17	1743
27	1.0	16	1759	27	1.0	16	1759	27	1.0	16	1759	27	1.0	16	1759	27	1.0	16	1759	27	1.0	16	1759	27	1.0	16	1759	27	1.0	16	1759	27	1.0	16	1759
28	1.0	15	1774	28	1.0	15	1774	28	1.0	15	1774	28	1.0	15	1774	28	1.0	15	1774	28	1.0	15	1774	28	1.0	15	1774	28	1.0	15	1774	28	1.0	15	1774
29	1.0	14	1788	29	1.0	14	1788	29	1.0	14	1788	29	1.0	14	1788	29	1.0	14	1788	29	1.0	14	1788	29	1.0	14	1788	29	1.0	14	1788	29	1.0	14	1788
30	1.0	14	1802	30	1.0	14	1802	30	1.0	14	1802	30	1.0	14	1802	30	1.0	14	1802	30	1.0	14	1802	30	1.0	14	1802	30	1.0	14	1802	30	1.0	14	1802
31	1.0	14	1816	31	1.0	14	1816	31	1.0	14	1816	31	1.0	14	1816	31	1.0	14	1816	31	1.0	14	1816	31	1.0	14	1816	31	1.0	14	1816	31	1.0	14	1816
32	1.0	17	1833	32	1.0	17	1833	32	1.0	17	1833	32	1.0	17	1833	32	1.0	17	1833	32	1.0	17	1833	32	1.0	17	1833	32	1.0	17	1833	32	1.0	17	1833
33	1.0	16	1849	33	1.0	16	1849	33	1.0	16	1849	33	1.0	16	1849	33	1.0	16	1849	33	1.0	16	1849	33	1.0	16	1849	33	1.0	16	1849	33	1.0	16	1849
34	1.0	17	1866	34	1.0	17	1866	34	1.0	17	1866	34	1.0	17	1866	34	1.0	17	1866	34	1.0	17	1866	34	1.0	17	1866	34	1.0	17	1866	34	1.0	17	1866
35	1.0	17	1883	35	1.0	17	1883	35	1.0	17	1883	35	1.0	17	1883	35	1.0	17	1883	35	1.0	17	1883	35	1.0	17	1883	35	1.0	17	1883	35	1.0	17	1883
36	1.0	17	1900	36	1.0	17	1900	36	1.0	17	1900	36	1.0	17	1900	36	1.0	17	1900	36	1.0	17	1900	36	1.0	17	1900	36	1.0	17	1900	36	1.0	17	1900
37	1.0	18	1918	37	1.0	18	1918	37	1.0	18	1918	37	1.0	18	1918	37	1.0	18	1918	37	1.0	18	1918	37	1.0	18	1918	37	1.0	18	1918	37	1.0	18	1918
38	1.0	23	1941	38	1.0	23	1941	38	1.0	23	1941	38	1.0	23	1941	38	1.0	23	1941	38	1.0	23	1941	38	1.0	23	1941	38	1.0	23	1941	38	1.0	23	1941
39	1.0	14	1955	39	1.0	14	1955	39	1.0	14	1955	39	1.0	14	1955	39	1.0	14	1955	39	1.0	14	1955	39	1.0	14	1955	39	1.0	14	1955	39	1.0	14	1955
40	1.0	16	1971	40	1.0	16	1971	40	1.0	16	1971	40	1.0	16	1971	40	1.0	16	1971	40	1.0	16	1971	40	1.0	16	1971	40	1.0	16	1971	40	1.0	16	1971
41	1.0	14	1985	41	1.0	14	1985	41	1.0	14	1985	41	1.0	14	1985	41	1.0	14	1985	41	1.0	14	1985	41	1.0	14	1985	41	1.0	14	1985	41	1.0	14	1985
42	1.0	16	2001	42	1.0	16	2001	42	1.0	16	2001	42	1.0	16	2001	42	1.0	16	2001	42	1.0	16	2001	42	1.0	16	2001	42	1.0	16	2001	42	1.0	16	2001
43	1.0	16	2017	43	1.0	16	2017	43	1.0	16	2017	43	1.0	16	2017	43	1.0	16	2017	43	1.0	16	2017	43	1.0	16	2017	43	1.0	16	2017	43	1.0	16	2017
44	1.0	16	2033	44	1.0	16	2033	44	1.0	16	2033	44	1.0	16	2033	44	1.0	16	2033	44	1.0	16	2033	44	1.0	16	2033	44	1.0	16	2033	44	1.0	16	2033
45	1.0	19	2052	45	1.0	19	2052	45	1.0	19	2052	45	1.0	19	2052	45	1.0	19	2052	45	1.0	19	2052	45	1.0	19	2052	45	1.0	19	2052	45	1.0	19	2052
46	1.0	16	2068	46	1.0	16	2068	46	1.0	16	2068	46	1.0	16	2068	46	1.0	16	2068	46	1.0	16	2068	46	1.0	16	2068	46	1.0	16	2068	46	1.0	16	2068
47	1.0	17	2085	47	1.0	17	2085	47	1.0	17	2085	47	1.0	17	2085	47	1.0	17	2085	47	1.0	17	2085	47	1.0	17	2085	47	1.0	17	2085	47	1.0	17	2085
48	1.0	14	2099	48	1.0	14	2099	48	1.0	14	2099	48	1.0	14	2099	48	1.0	14	2099	48	1.0	14	2099	48	1.0	14	2099	48	1.0	14	2099	48	1.0	14	2099
49	1.0	15	2114	49	1.0	15	2114	49	1.0	15	2114	49	1.0	15	2114	49	1.0	15	2114	49	1.0	15	2114	49	1.0	15	2114	49	1.0	15	2114	49	1.0	15	2114
