Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	1.0	394	394	0	1.0	394	394	0	1.0	394	394	0	1.0	394	394	0	1.0	394	394	0	1.0	394	394	0	1.0	394	394
1	1.0	238	632	1	1.0	238	632	1	1.0	238	632	1	1.0	238	632	1	1.0	238	632	1	1.0	238	632	1	1.0	238	632
2	1.0	589	1221	2	1.0	589	1221	2	1.0	589	1221	2	1.0	589	1221	2	1.0	589	1221	2	1.0	589	1221	2	1.0	589	1221
3	1.0	351	1572	3	1.0	351	1572	3	1.0	351	1572	3	1.0	351	1572	3	1.0	351	1572	3	1.0	351	1572	3	1.0	351	1572
4	1.0	46	1618	4	1.0	46	1618	4	1.0	46	1618	4	1.0	46	1618	4	1.0	46	1618	4	1.0	46	1618	4	1.0	46	1618
5	1.0	259	1877	5	1.0	259	1877	5	1.0	259	1877	5	1.0	259	1877	5	1.0	259	1877	5	1.0	259	1877	5	1.0	259	1877
6	1.0	385	2262	6	1.0	385	2262	6	1.0	385	2262	6	1.0	385	2262	6	1.0	385	2262	6	1.0	385	2262	6	1.0	385	2262
7	1.0	140	2402	7	1.0	140	2402	7	1.0	140	2402	7	1.0	140	2402	7	1.0	140	2402	7	1.0	140	2402	7	1.0	140	2402
8	1.0	42	2444	8	1.0	42	2444	8	1.0	42	2444	8	1.0	42	2444	8	1.0	42	2444	8	1.0	42	2444	8	1.0	42	2444
9	1.0	75	2519	9	1.0	75	2519	9	1.0	75	2519	9	1.0	75	2519	9	1.0	75	2519	9	1.0	75	2519	9	1.0	75	2519
10	1.0	221	2740	10	1.0	221	2740	10	1.0	221	2740	10	1.0	221	2740	10	1.0	221	2740	10	1.0	221	2740	10	1.0	221	2740
11	1.0	53	2793	11	1.0	53	2793	11	1.0	53	2793	11	1.0	53	2793	11	1.0	53	2793	11	1.0	53	2793	11	1.0	53	2793
12	1.0	29	2822	12	1.0	29	2822	12	1.0	29	2822	12	1.0	29	2822	12	1.0	29	2822	12	1.0	29	2822	12	1.0	29	2822
13	1.0	45	2867	13	1.0	45	2867	13	1.0	45	2867	13	1.0	45	2867	13	1.0	45	2867	13	1.0	45	2867	13	1.0	45	2867
14	1.0	28	2895	14	1.0	28	2895	14	1.0	28	2895	14	1.0	28	2895	14	1.0	28	2895	14	1.0	28	2895	14	1.0	28	2895
15	1.0	67	2962	15	1.0	67	2962	15	1.0	67	2962	15	1.0	67	2962	15	1.0	67	2962	15	1.0	67	2962	15	1.0	67	2962
16	1.0	32	2994	16	1.0	32	2994	16	1.0	32	2994	16	1.0	32	2994	16	1.0	32	2994	16	1.0	32	2994	16	1.0	32	2994
17	1.0	144	3138	17	1.0	144	3138	17	1.0	144	3138	17	1.0	144	3138	17	1.0	144	3138	17	1.0	144	3138	17	1.0	144	3138
