Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432	10	-13	13	432
11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445	11	-13	13	445
12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458	12	-13	13	458
13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483	13	-124	25	483
14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496	14	-13	13	496
15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509	15	-13	13	509
16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522	16	-13	13	522
17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535	17	-13	13	535
18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550	18	-15	15	550
19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563	19	-13	13	563
20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576	20	-13	13	576
21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589	21	-13	13	589
22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618	22	-227	29	618
23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631	23	-13	13	631
24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646	24	-15	15	646
25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659	25	-13	13	659
26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674	26	-15	15	674
27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691	27	-17	17	691
28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704	28	-13	13	704
29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727	29	-122	23	727
30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742	30	-15	15	742
31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757	31	-15	15	757
32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774	32	-17	17	774
33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789	33	-15	15	789
